Category: All categories

Day,Charlie Puth: (Philippines)
2022-05-27,3
2022-05-28,3
2022-05-29,2
2022-05-30,0
2022-05-31,0
2022-06-01,5
2022-06-02,15
2022-06-03,4
2022-06-04,2
2022-06-05,4
2022-06-06,4
2022-06-07,5
2022-06-08,2
2022-06-09,5
2022-06-10,4
2022-06-11,2
2022-06-12,3
2022-06-13,3
2022-06-14,0
2022-06-15,2
2022-06-16,6
2022-06-17,13
2022-06-18,13
2022-06-19,14
2022-06-20,3
2022-06-21,7
2022-06-22,4
2022-06-23,19
2022-06-24,100
2022-06-25,39
2022-06-26,40
2022-06-27,27
2022-06-28,27
2022-06-29,20
2022-06-30,24
2022-07-01,24
2022-07-02,25
2022-07-03,28
2022-07-04,25
2022-07-05,26
2022-07-06,20
2022-07-07,19
2022-07-08,21
2022-07-09,21
2022-07-10,19
2022-07-11,17
2022-07-12,13
2022-07-13,18
2022-07-14,16
2022-07-15,16
2022-07-16,17
2022-07-17,13
2022-07-18,6
2022-07-19,12
2022-07-20,15
2022-07-21,10
2022-07-22,10
2022-07-23,13
2022-07-24,11
2022-07-25,6
2022-07-26,9
2022-07-27,3
2022-07-28,9
2022-07-29,11
2022-07-30,7
2022-07-31,4
2022-08-01,7
2022-08-02,8
2022-08-03,7
2022-08-04,7
