Category: All categories

Day,South Border: (Philippines)
2022-05-27,64
2022-05-28,75
2022-05-29,40
2022-05-30,31
2022-05-31,24
2022-06-01,38
2022-06-02,30
2022-06-03,22
2022-06-04,21
2022-06-05,23
2022-06-06,25
2022-06-07,14
2022-06-08,38
2022-06-09,24
2022-06-10,16
2022-06-11,22
2022-06-12,14
2022-06-13,26
2022-06-14,37
2022-06-15,16
2022-06-16,0
2022-06-17,45
2022-06-18,33
2022-06-19,33
2022-06-20,27
2022-06-21,37
2022-06-22,28
2022-06-23,28
2022-06-24,33
2022-06-25,14
2022-06-26,42
2022-06-27,28
2022-06-28,28
2022-06-29,0
2022-06-30,23
2022-07-01,33
2022-07-02,35
2022-07-03,21
2022-07-04,32
2022-07-05,0
2022-07-06,50
2022-07-07,32
2022-07-08,36
2022-07-09,34
2022-07-10,29
2022-07-11,15
2022-07-12,0
2022-07-13,18
2022-07-14,13
2022-07-15,30
2022-07-16,63
2022-07-17,0
2022-07-18,25
2022-07-19,42
2022-07-20,12
2022-07-21,26
2022-07-22,25
2022-07-23,100
2022-07-24,27
2022-07-25,28
2022-07-26,9
2022-07-27,21
2022-07-28,28
2022-07-29,20
2022-07-30,13
2022-07-31,50
2022-08-01,24
2022-08-02,27
2022-08-03,24
2022-08-04,49
