Category: All categories

Day,Taylor Swift: (Philippines)
2022-05-27,35
2022-05-28,37
2022-05-29,38
2022-05-30,33
2022-05-31,35
2022-06-01,37
2022-06-02,32
2022-06-03,35
2022-06-04,31
2022-06-05,40
2022-06-06,39
2022-06-07,35
2022-06-08,38
2022-06-09,32
2022-06-10,32
2022-06-11,37
2022-06-12,42
2022-06-13,31
2022-06-14,34
2022-06-15,36
2022-06-16,31
2022-06-17,34
2022-06-18,34
2022-06-19,47
2022-06-20,33
2022-06-21,41
2022-06-22,32
2022-06-23,35
2022-06-24,50
2022-06-25,41
2022-06-26,42
2022-06-27,35
2022-06-28,29
2022-06-29,37
2022-06-30,34
2022-07-01,35
2022-07-02,37
2022-07-03,38
2022-07-04,38
2022-07-05,36
2022-07-06,37
2022-07-07,36
2022-07-08,37
2022-07-09,44
2022-07-10,36
2022-07-11,35
2022-07-12,33
2022-07-13,33
2022-07-14,32
2022-07-15,35
2022-07-16,34
2022-07-17,46
2022-07-18,35
2022-07-19,37
2022-07-20,35
2022-07-21,35
2022-07-22,56
2022-07-23,57
2022-07-24,55
2022-07-25,38
2022-07-26,39
2022-07-27,45
2022-07-28,38
2022-07-29,41
2022-07-30,55
2022-07-31,100
2022-08-01,83
2022-08-02,52
2022-08-03,59
2022-08-04,40
