rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:7oDd86yk8itslrA9HRP2ki","The Weeknd, Ariana Grande","Die For You - Remix","XO / Republic Records",1,-1,1,"4597039"
2,"spotify:track:0uZFcsx96wzbixsULmrg8o","SunKissed Lola","Pasilyo","Independent",1,1,11,"4303718"
3,"spotify:track:1Qrg8KqiBpW07V7PNxwwwL","SZA","Kill Bill","Top Dawg Entertainment/RCA Records",1,2,12,"3556460"
4,"spotify:track:4iZ4pt7kvcaH6Yo8UoZ4s2","SZA","Snooze","Top Dawg Entertainment/RCA Records",3,3,10,"3153954"
5,"spotify:track:65FftemJ1DbbZ45DUfHJXE","NewJeans","OMG","ADOR",4,4,9,"2471894"
6,"spotify:track:37F0uwRSrdzkBiuj0D5UHI","The Weeknd","Reminder","Universal Republic Records",6,7,6,"2313823"
7,"spotify:track:78Sw5GDo6AlGwTwanjXbGh","d4vd","Here With Me","Darkroom/Interscope Records",3,5,20,"2240082"
8,"spotify:track:47sq83n5WN22ZzYnGn8aTy","Adie, Janine Berdin","Mahika","O/C Records",1,6,39,"2029040"
9,"spotify:track:0yLdNVWF3Srea0uzk55zFn","Miley Cyrus","Flowers","Columbia",2,8,7,"2017932"
10,"spotify:track:2LBqCSwhJGcFQeTHMVGwy3","The Weeknd","Die For You","Universal Republic Records",10,12,79,"1922434"
11,"spotify:track:4AULw1VRyJP17zMvwgTIUs","Calein","Umaasa","O/C Records",7,9,23,"1899656"
12,"spotify:track:6AQbmUe0Qwf5PZnt4HmTXv","PinkPantheress, Ice Spice","Boy's a liar Pt. 2","Warner Records",12,13,3,"1800512"
13,"spotify:track:0V3wPSX9ygBnCm8psDIegu","Taylor Swift","Anti-Hero","Taylor Swift",1,11,19,"1728940"
14,"spotify:track:3r8RuvgbX9s7ammBn07D3W","NewJeans","Ditto","ADOR",3,10,11,"1579318"
15,"spotify:track:6dgUya35uo964z7GZXM07g","Sabrina Carpenter","Nonsense","Island Records",8,18,14,"1538237"
16,"spotify:track:2dHHgzDwk4BJdRwy9uXhTO","Metro Boomin, The Weeknd, 21 Savage","Creepin' (with The Weeknd & 21 Savage)","Republic Records",16,20,13,"1500850"
17,"spotify:track:4mc3rUoMwwiNTHA4al9nNd","Lola Amour","Fallen","Warner Music Philippines",10,17,35,"1478429"
18,"spotify:track:0kDeE8TezXDY1QadpjAQQq","Kenaniah","Bahala Na","O/C Records",13,15,21,"1464437"
19,"spotify:track:0HAG6nIiEKd75yGpovuSJQ","Arthur Nery","Isa lang","Viva Records",2,16,63,"1438631"
20,"spotify:track:16iRlyUMJVPqz62DlomMre","NOBITA","Ikaw Lang","IndieTV",2,19,92,"1431551"
21,"spotify:track:5uCax9HTNlzGybIStD3vDh","James Arthur","Say You Won't Let Go","Columbia",1,14,323,"1372292"
22,"spotify:track:4Dvkj6JhhA12EX05fT7y2e","Harry Styles","As It Was","Columbia",4,21,48,"1318830"
23,"spotify:track:1AuxZd50Dpaz0cCWphYryh","iluna","panaginip","evosound",22,22,8,"1295030"
24,"spotify:track:3rWDp9tBPQR9z6U5YyRSK4","Taylor Swift","Midnight Rain","Taylor Swift",2,25,19,"1280080"
25,"spotify:track:0NZPBYD5qbEWRs3PrGiRkT","Sam Smith, Kim Petras","Unholy (feat. Kim Petras)","Capitol Records UK / EMI",7,23,23,"1274150"
26,"spotify:track:5xwBIieMMFUmLDgvG4DjFe","Stacey Ryan","Fall In Love Alone","Island Records",17,26,20,"1270424"
27,"spotify:track:08MFgEQeVLF37EyZ7jcwLc","Zack Tabudlo","Pano","Universal Music Philippines Inc.",1,28,64,"1241252"
28,"spotify:track:50x1Ic8CaXkYNvjmxe3WXy","New West","Those Eyes","Republic Records",28,40,34,"1211505"
29,"spotify:track:0JXXNGljqupsJaZsgSbMZV","Miguel","Sure Thing","Jive",9,27,14,"1208381"
30,"spotify:track:5Y35SjAfXjjG0sFQ3KOxmm","SZA","Nobody Gets Me","Top Dawg Entertainment/RCA Records",15,34,12,"1205583"
31,"spotify:track:3W4U7TEgILGpq0EmquurtH","yuji, putri dahlia","Old Love","yuji",23,29,26,"1196589"
32,"spotify:track:2e7iqtA42EPXTtiiAlblC1","Moira Dela Torre","Babalik Sa'yo (from ""2 Good 2 Be True"")","ABS-CBN Music",2,24,28,"1194832"
33,"spotify:track:6UN73IYd0hZxLi8wFPMQij","Coi Leray","Players","Uptown / Republic Records",32,32,4,"1183069"
34,"spotify:track:2jbf9EytR7fzpSrPWAYCf9","Adie","Paraluman","O/C Records",3,30,95,"1153887"
35,"spotify:track:2vnd3JVvcLs2LxRFwC6mKu","Shanti Dope","City Girl","Universal Records",22,31,13,"1125246"
36,"spotify:track:3iBgrkexCzVuPy4O9vx7Mf","beabadoobee","Glue Song","Dirty Hit",36,36,3,"1108844"
37,"spotify:track:1gH1h30wkQdd9zhY3j7a8T","Rex Orange County","THE SHADE","Rex Orange County",3,35,35,"1106769"
38,"spotify:track:5IgjP7X4th6nMNDh4akUHb","Chris Brown","Under The Influence","Chris Brown Entertainment/RCA Records",3,37,31,"1106108"
39,"spotify:track:1Y3LN4zO1Edc2EluIoSPJN","Stephen Sanchez, Em Beihold","Until I Found You (with Em Beihold) - Em Beihold Version","Republic Records",11,42,18,"1089052"
40,"spotify:track:4z7xboLD3PqY9dOUscS2ly","mrld","Ikaw Pa Rin","O/C Records",35,38,21,"1078589"
41,"spotify:track:0a4MMyCrzT0En247IhqZbD","NewJeans","Hype Boy","ADOR",19,33,30,"1064642"
42,"spotify:track:5CUQnKjA6nlteCnxMKsjIu","Adie","Tahanan","O/C Records",6,39,65,"1033433"
43,"spotify:track:5odlY52u43F5BjByhxg7wg","JVKE","golden hour","JVKE",30,44,26,"1030018"
44,"spotify:track:0QzuaeCEEOV40Pn7IvKEny","dhruv","double take","Little Worry/RCA Records",1,50,88,"1020293"
45,"spotify:track:0mL82sxCRjrs3br407IdJh","The Weeknd","Is There Someone Else?","XO / Republic Records",45,62,44,"1001997"
46,"spotify:track:5TTXEcfsYLh6fTarLaevTi","NIKI","lowkey","88rising Music",26,49,163,"1001735"
47,"spotify:track:1oFAF1hdPOickyHgbuRjyX","The Weeknd, Ariana Grande","Save Your Tears (Remix) (with Ariana Grande) - Bonus Track","XO / Republic Records",11,149,97,"998429"
