rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,stream_category
1,spotify:track:0mBP9X2gPCuapvpZ7TGDk3,"Charlie Puth, Jung Kook, BTS",Left and Right (Feat. Jung Kook of BTS),Atlantic Records,1,-1,1,2719454,10
2,spotify:track:6xGruZOHLs39ZbVccQTuPZ,Joji,Glimpse of Us,88rising Music/Warner Records,1,1,3,2550685,10
3,spotify:track:47sq83n5WN22ZzYnGn8aTy,"Adie, Janine Berdin",Mahika,O/C Records,3,4,4,2059196,10
4,spotify:track:2m6Ko3CY1qXNNja8AlugNc,Troye Sivan,Angel Baby,EMI Recorded Music Australia Pty Ltd,1,3,42,2051183,10
5,spotify:track:1oYQtNQUxSODedcc5hPmp9,Ace Banzuelo,Muli,Sony Music Entertainment,2,2,7,2049464,10
6,spotify:track:0HAG6nIiEKd75yGpovuSJQ,Arthur Nery,Isa lang,Viva Records,2,5,28,1805837,10
7,spotify:track:0WZqHCoOBXqgCCIsUZLC2a,Arthur Nery,Pagsamo,Viva Records,1,7,39,1547219,9
8,spotify:track:2jbf9EytR7fzpSrPWAYCf9,Adie,Paraluman,O/C Records,3,9,60,1511086,9
9,spotify:track:2BDrpeAnTxCurLt38yDSrE,Lo ki,Kagome,DRP Records,6,6,16,1500073,9
10,spotify:track:16iRlyUMJVPqz62DlomMre,NOBITA,Ikaw Lang,IndieTV,2,11,57,1476497,9
11,spotify:track:0T5iIrXA4p5GsubkhuBIKV,Stephen Sanchez,Until I Found You,Republic Records,7,10,8,1439604,9
12,spotify:track:769Ld8demNhMgVLAQcjTDn,anees,sun and moon,Anees LLC,1,8,12,1419607,9
13,spotify:track:5rJ7bdPmr8nfmm2JQ8xHOz,NAYEON,POP!,Republic Records – NAYEON (TWICE),13,-1,1,1402050,9
14,spotify:track:4Dvkj6JhhA12EX05fT7y2e,Harry Styles,As It Was,Columbia,4,12,13,1304492,9
15,spotify:track:08MFgEQeVLF37EyZ7jcwLc,Zack Tabudlo,Pano,Universal Music Philippines Inc.,1,14,29,1271710,9
16,spotify:track:5CUQnKjA6nlteCnxMKsjIu,Adie,Tahanan,O/C Records,6,15,30,1228414,9
17,spotify:track:4tyEfRWLgYkWQaowoHXoba,Moira Dela Torre,Kumpas - Theme of “2 Good 2 Be True”,Star Music,17,39,4,1165051,9
18,spotify:track:7ArVzlFsFsQXNseVXmdOyk,Denise Julia,NVMD,Denise Julia,16,16,10,1139903,9
19,spotify:track:63bmIgH9sS6sX5Sc7MetGq,Zack Tabudlo,Habang Buhay,Universal Music Philippines Inc.,2,19,40,1103994,9
20,spotify:track:5MYPzdIWgx3pMLRGlq2fVq,Zack Tabudlo,Asan Ka Na Ba,Universal Music Philippines Inc.,6,17,14,1082745,9
21,spotify:track:10SRMwb9EuVS1K9rYsBfHQ,BTS,Yet To Come,BIGHIT MUSIC,3,13,3,1073169,9
22,spotify:track:6I3mqTwhRpn34SLVafSH7G,Justin Bieber,Ghost,RBMG/Def Jam,6,18,41,1073034,9
23,spotify:track:5NvOZCjZaGGGL597exlQWv,Ricky Montgomery,Line Without a Hook,Warner Records,10,20,43,993920,9
24,spotify:track:68HocO7fx9z0MgDU0ZPHro,NIKI,Every Summertime,"MARVEL/Hollywood Records, Inc./Interscope Records",2,21,28,975609,9
25,spotify:track:4iRRAvxPPWXQp3mV1rAbPF,NOBITA,Unang Sayaw,Sony Music Entertainment,12,22,37,948429,8
26,spotify:track:55RMhrPQYA6vLu5YMgXxFD,Zack Tabudlo,Binibini,Universal Music Philippines Inc.,1,24,65,907227,8
27,spotify:track:1PckUlxKqWQs3RlWXVBLw3,Lizzo,About Damn Time,Nice Life/Atlantic,18,23,8,893342,8
28,spotify:track:5d9Rka4T0szdC1MobhtXrV,Ben&Ben,Paninindigan Kita,Sony Music Entertainment,25,25,9,885706,8
29,spotify:track:75FEaRjZTKLhTrFGsfMUXR,Kate Bush,Running Up That Hill (A Deal With God),Parlophone UK,29,34,5,883624,8
30,spotify:track:7gfrASeOt73YWvpIv1fU8E,Arthur Nery,Higa,O/C Records,10,27,108,879731,8
31,spotify:track:4IeuTj1pEHuL9vJSiEqEfR,mrld,Ligaya,O/C Records,18,26,30,853262,8
32,spotify:track:7C9Knp9FzLY6RwgktmW9Ge,"Because, Leslie",BMW,Viva Records,4,30,41,851644,8
33,spotify:track:0QzuaeCEEOV40Pn7IvKEny,dhruv,double take,Little Worry/RCA Records,1,31,53,819010,7
34,spotify:track:1dcNEEtODRVZEevQ20Cgmy,Zack Tabudlo,Nangangamba,Universal Music Philippines Inc.,4,33,65,796378,7
35,spotify:track:3PgjBOoA5OytNGkglObpOd,Ben&Ben,Sa Susunod na Habang Buhay,Sony Music Entertainment,2,32,122,789462,7
36,spotify:track:0EA8jl8Wje9ALRKC8Qlzyt,"Arthur Nery, Jason Dhakal",Happy w u,Viva Records,21,36,50,787392,7
37,spotify:track:5yu0lVVW68f5VIzdjIJVQ6,"Arthur Miguel, Trisha Macapagal",Ang Wakas (feat. Trisha Macapagal),Warner Music Philippines,22,29,13,786177,7
38,spotify:track:4IaxDf2FixiQXq0mW7key9,Jessi,ZOOM,P NATION,8,28,11,777824,7
39,spotify:track:3afkJSKX0EAMsJXTZnDXXJ,Troye Sivan,Strawberries & Cigarettes,EMI Recorded Music Australia Pty Ltd,22,38,132,752340,7
40,spotify:track:0xaKCWpX4CBSqwh7CQa4EG,Al James,PSG,Al James,9,40,24,740373,6
41,spotify:track:3pCt2wRdBDa2kCisIdHWgF,Pamungkas,To the Bone,Mas Pam Records,5,42,56,735279,6
42,spotify:track:152sJgmftB46Q6IsDTUDLN,Sam Concepcion,Diwata (Miss Universe Philippines 2021),Old School Records,7,35,19,734100,6
43,spotify:track:5F1ZmucV0uJY14y2dYKePa,Joji,Sanctuary,88rising Music/Warner Records,17,41,118,734019,6
