rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:0mBP9X2gPCuapvpZ7TGDk3","Charlie Puth, Jung Kook, BTS","Left and Right (Feat. Jung Kook of BTS)","Atlantic Records",1,1,5,"2516847"
2,"spotify:track:47sq83n5WN22ZzYnGn8aTy","Adie, Janine Berdin","Mahika","O/C Records",2,2,8,"2403605"
3,"spotify:track:6xGruZOHLs39ZbVccQTuPZ","Joji","Glimpse of Us","88rising Music/Warner Records",1,3,7,"2086382"
4,"spotify:track:1oYQtNQUxSODedcc5hPmp9","Ace Banzuelo","Muli","Sony Music Entertainment",2,4,11,"2005129"
5,"spotify:track:1gH1h30wkQdd9zhY3j7a8T","Rex Orange County","THE SHADE","Rex Orange County",5,14,4,"1925228"
6,"spotify:track:2m6Ko3CY1qXNNja8AlugNc","Troye Sivan","Angel Baby","EMI Recorded Music Australia Pty Ltd",1,5,46,"1831373"
7,"spotify:track:0HAG6nIiEKd75yGpovuSJQ","Arthur Nery","Isa lang","Viva Records",2,6,32,"1549753"
8,"spotify:track:4tyEfRWLgYkWQaowoHXoba","Moira Dela Torre","Kumpas - Theme of “2 Good 2 Be True”","Star Music",8,9,8,"1487122"
9,"spotify:track:16iRlyUMJVPqz62DlomMre","NOBITA","Ikaw Lang","IndieTV",2,7,61,"1463040"
10,"spotify:track:2jbf9EytR7fzpSrPWAYCf9","Adie","Paraluman","O/C Records",3,10,64,"1444820"
11,"spotify:track:2BDrpeAnTxCurLt38yDSrE","Lo ki","Kagome","DRP Records",6,8,20,"1431507"
12,"spotify:track:0T5iIrXA4p5GsubkhuBIKV","Stephen Sanchez","Until I Found You","Republic Records",7,11,12,"1407600"
13,"spotify:track:0WZqHCoOBXqgCCIsUZLC2a","Arthur Nery","Pagsamo","Viva Records",1,12,43,"1374448"
14,"spotify:track:7ArVzlFsFsQXNseVXmdOyk","Denise Julia","NVMD","Denise Julia",14,16,14,"1288349"
15,"spotify:track:5rJ7bdPmr8nfmm2JQ8xHOz","NAYEON","POP!","Republic Records – NAYEON (TWICE)",10,15,5,"1267267"
16,"spotify:track:75FEaRjZTKLhTrFGsfMUXR","Kate Bush","Running Up That Hill (A Deal With God)","Parlophone UK",10,13,9,"1228214"
17,"spotify:track:4Dvkj6JhhA12EX05fT7y2e","Harry Styles","As It Was","Columbia",4,17,17,"1208813"
18,"spotify:track:2oupN96VwNrbONyMtTWGjH","Nik Makino, Flow G","MOON","Kino Sound",18,23,8,"1179773"
19,"spotify:track:5CUQnKjA6nlteCnxMKsjIu","Adie","Tahanan","O/C Records",6,20,34,"1174116"
20,"spotify:track:08MFgEQeVLF37EyZ7jcwLc","Zack Tabudlo","Pano","Universal Music Philippines Inc.",1,19,33,"1168604"
21,"spotify:track:769Ld8demNhMgVLAQcjTDn","anees","sun and moon","Anees LLC",1,18,16,"1163566"
22,"spotify:track:6I3mqTwhRpn34SLVafSH7G","Justin Bieber","Ghost","RBMG/Def Jam",6,21,45,"1069524"
23,"spotify:track:5MYPzdIWgx3pMLRGlq2fVq","Zack Tabudlo","Asan Ka Na Ba","Universal Music Philippines Inc.",6,22,18,"1018016"
24,"spotify:track:63bmIgH9sS6sX5Sc7MetGq","Zack Tabudlo","Habang Buhay","Universal Music Philippines Inc.",2,24,44,"997455"
25,"spotify:track:5NvOZCjZaGGGL597exlQWv","Ricky Montgomery","Line Without a Hook","Warner Records",10,26,47,"957324"
26,"spotify:track:1Fid2jjqsHViMX6xNH70hE","Seafret","Atlantis","Sweet Jane Recordings",26,27,5,"920107"
27,"spotify:track:68HocO7fx9z0MgDU0ZPHro","NIKI","Every Summertime","MARVEL/Hollywood Records, Inc./Interscope Records",2,29,32,"919851"
28,"spotify:track:4h4QlmocP3IuwYEj2j14p8","Nicky Youre, dazy","Sunroof","Thirty Knots/Columbia",28,30,15,"909028"
29,"spotify:track:5d9Rka4T0szdC1MobhtXrV","Ben&Ben","Paninindigan Kita","Sony Music Entertainment",25,28,13,"899317"
30,"spotify:track:6HMtHNpW6YPi1hrw9tgF8P","Lizzo","About Damn Time","Nice Life/Atlantic",18,25,12,"893847"
31,"spotify:track:2LBqCSwhJGcFQeTHMVGwy3","The Weeknd","Die For You","Universal Republic Records",31,44,48,"863020"
32,"spotify:track:4iRRAvxPPWXQp3mV1rAbPF","NOBITA","Unang Sayaw","Sony Music Entertainment",12,31,41,"845162"
33,"spotify:track:4IeuTj1pEHuL9vJSiEqEfR","mrld","Ligaya","O/C Records",18,33,34,"839684"
34,"spotify:track:7C9Knp9FzLY6RwgktmW9Ge","Because, Leslie","BMW","Viva Records",4,34,45,"818457"
35,"spotify:track:7gfrASeOt73YWvpIv1fU8E","Arthur Nery","Higa","O/C Records",10,35,112,"807841"
36,"spotify:track:5yu0lVVW68f5VIzdjIJVQ6","Arthur Miguel, Trisha Macapagal","Ang Wakas (feat. Trisha Macapagal)","Warner Music Philippines",22,32,17,"806280"
37,"spotify:track:0QzuaeCEEOV40Pn7IvKEny","dhruv","double take","Little Worry/RCA Records",1,36,57,"797713"
38,"spotify:track:3afkJSKX0EAMsJXTZnDXXJ","Troye Sivan","Strawberries & Cigarettes","EMI Recorded Music Australia Pty Ltd",22,38,136,"785751"
39,"spotify:track:1dcNEEtODRVZEevQ20Cgmy","Zack Tabudlo","Nangangamba","Universal Music Philippines Inc.",4,37,69,"759359"
40,"spotify:track:3PgjBOoA5OytNGkglObpOd","Ben&Ben","Sa Susunod na Habang Buhay","Sony Music Entertainment",2,39,126,"730952"
41,"spotify:track:152sJgmftB46Q6IsDTUDLN","Sam Concepcion","Diwata (Miss Universe Philippines 2021)","Old School Records",7,41,23,"721204"
42,"spotify:track:3pCt2wRdBDa2kCisIdHWgF","Pamungkas","To the Bone","Mas Pam Records",5,42,60,"714689"
43,"spotify:track:3AVXwaOGCEL8cmBecfcsFJ","Charlie Puth","Light Switch","Atlantic Records",20,40,27,"710827"
44,"spotify:track:5enxwA8aAbwZbf5qCHORXi","Taylor Swift","All Too Well (10 Minute Version) (Taylor's Version) (From The Vault)","Taylor Swift",1,45,37,"710161"
45,"spotify:track:55RMhrPQYA6vLu5YMgXxFD","Zack Tabudlo","Binibini","Universal Music Philippines Inc.",1,43,69,"702777"
46,"spotify:track:2eAvDnpXP5W0cVtiI0PUxV","Ruth B.","Dandelions","Columbia",20,50,57,"685910"
47,"spotify:track:0HZ3OUVrGHxttD2EuHqRm3","Hale","The Day You Said Goodnight","PolyEast Records",41,47,203,"679250"
48,"spotify:track:1qEmFfgcLObUfQm0j1W2CK","Harry Styles","Late Night Talking","Columbia",29,49,10,"669820"
49,"spotify:track:0O6u0VJ46W86TxN9wgyqDj","Post Malone, Doja Cat","I Like You (A Happier Song) (with Doja Cat)","Mercury Records/Republic Records",48,48,8,"668206"
50,"spotify:track:4IaxDf2FixiQXq0mW7key9","Jessi","ZOOM","P NATION",8,46,15,"665782"
51,"spotify:track:1BxfuPKGuaTgP7aM0Bbdwr","Taylor Swift","Cruel Summer","Taylor Swift",9,55,37,"603155"
52,"spotify:track:1R0a2iXumgCiFb7HEZ7gUE","Taylor Swift","Don’t Blame Me","Big Machine Records, LLC",52,52,10,"595296"
53,"spotify:track:3Eb5sztvEMa0Mqnb8DUAlU","IV Of Spades","Come Inside Of My Heart","Warner Music Philippines",53,66,70,"593652"
54,"spotify:track:0xaKCWpX4CBSqwh7CQa4EG","Al James","PSG","Al James",9,53,28,"588439"
55,"spotify:track:5CZ40GBx1sQ9agT82CLQCT","Olivia Rodrigo","traitor","Olivia Rodrigo PS",4,58,62,"565324"
