,title,artist/s,danceability,energy,key,loudness,mode,speechiness,acousticness,valence,tempo,duration_ms,time_signature
0,Angel Baby,Troye Sivan,0.559,0.559,11,-6.425,1,0.0358,0.0145,0.338,72.498,220780,4
1,sun and moon,anees,0.8150000000000001,0.442,6,-7.462,0,0.107,0.457,0.706,90.019,151508,4
2,Muli,Ace Banzuelo,0.482,0.881,11,-3.62,0,0.0533,0.0128,0.281,144.02,290004,4
3,Isa lang,Arthur Nery,0.429,0.464,6,-8.445,0,0.0719,0.783,0.375,121.17,269256,3
4,Pagsamo,Arthur Nery,0.644,0.315,6,-9.382,1,0.0339,0.706,0.356,60.001,297002,4
5,As It Was,Harry Styles,0.52,0.731,6,-5.338,0,0.0557,0.342,0.662,173.93,167303,4
6,Paraluman,Adie,0.519,0.246,5,-13.85,1,0.0396,0.774,0.108,90.121,312320,4
7,Until I Found You,Stephen Sanchez,0.539,0.508,10,-6.05,1,0.028800000000000003,0.727,0.227,101.358,177720,3
8,Ikaw Lang,NOBITA,0.513,0.38,11,-11.091,1,0.033600000000000005,0.12,0.323,120.952,263500,4
9,Kagome,Lo ki,0.5720000000000001,0.513,7,-6.481,0,0.0487,0.14100000000000001,0.20700000000000002,105.006,238286,4
10,Pano,Zack Tabudlo,0.375,0.457,3,-7.018,1,0.0315,0.868,0.41500000000000004,174.839,254400,3
11,Line Without a Hook,Ricky Montgomery,0.432,0.652,8,-4.969,1,0.0285,0.262,0.507,190.028,249587,3
12,Ghost,Justin Bieber,0.601,0.741,2,-5.569,1,0.0478,0.185,0.441,153.96,153190,4
13,Asan Ka Na Ba,Zack Tabudlo,0.676,0.768,5,-5.695,0,0.029400000000000003,0.149,0.493,105.999,241132,4
14,Habang Buhay,Zack Tabudlo,0.62,0.668,9,-5.719,1,0.030500000000000003,0.088,0.183,118.013,244068,4
15,Tahanan,Adie,0.394,0.366,3,-10.855,1,0.031,0.799,0.30000000000000004,109.862,293727,4
16,NVMD,Denise Julia,0.758,0.674,6,-4.533,1,0.108,0.0903,0.424,97.977,181224,4
17,ZOOM,Jessi,0.874,0.6000000000000001,6,-6.064,1,0.158,0.009420000000000001,0.457,100.012,174840,4
18,Every Summertime,NIKI,0.628,0.676,6,-4.227,1,0.0424,0.393,0.723,78.996,215687,4
19,Unang Sayaw,NOBITA,0.5,0.397,9,-11.653,1,0.0557,0.41200000000000003,0.375,180.045,278008,3
20,Ligaya,mrld,0.458,0.533,0,-5.249,1,0.0381,0.447,0.343,149.832,248800,4
21,About Damn Time,Lizzo,0.836,0.743,10,-6.305,0,0.0656,0.0995,0.722,108.966,191822,4
22,Binibini,Zack Tabudlo,0.642,0.374,5,-10.606,1,0.032,0.423,0.0979,129.863,221538,4
23,Diwata (Miss Universe Philippines 2021),Sam Concepcion,0.886,0.612,11,-8.848,0,0.13,0.192,0.706,106.971,210960,4
24,Paninindigan Kita,Ben&Ben,0.624,0.596,4,-9.288,1,0.0308,0.107,0.75,113.204,312234,4
25,Ang Wakas (feat. Trisha Macapagal),"Arthur Miguel, Trisha Macapagal",0.62,0.419,7,-6.334,1,0.0262,0.5710000000000001,0.20500000000000002,134.93,304000,4
26,STAY (with Justin Bieber),"The Kid LAROI, Justin Bieber",0.591,0.764,1,-5.484,1,0.0483,0.0383,0.47800000000000004,169.928,141806,4
27,Nangangamba,Zack Tabudlo,0.62,0.547,1,-6.772,1,0.024800000000000003,0.112,0.20800000000000002,98.032,210355,4
28,Easy On Me,Adele,0.604,0.366,5,-7.519,1,0.028200000000000003,0.578,0.13,141.981,224695,4
29,Strawberries & Cigarettes,Troye Sivan,0.578,0.537,9,-8.676,1,0.08320000000000001,0.162,0.25,83.909,201539,4
30,Sa Susunod na Habang Buhay,Ben&Ben,0.311,0.342,2,-8.889,1,0.032,0.432,0.274,177.158,288189,4
31,Higa,Arthur Nery,0.656,0.336,9,-10.538,1,0.0434,0.453,0.182,125.058,245760,4
32,BMW,"Because, Leslie",0.758,0.39,1,-9.799,1,0.0485,0.5670000000000001,0.23800000000000002,117.048,168205,4
33,Late Night Talking,Harry Styles,0.714,0.728,10,-4.595,1,0.0468,0.298,0.901,114.996,177955,4
34,double take,dhruv,0.456,0.437,8,-11.156,1,0.0867,0.839,0.209,108.678,171743,4
35,First Class,Jack Harlow,0.905,0.5630000000000001,8,-6.135,1,0.10200000000000001,0.025400000000000002,0.324,106.998,173948,4
36,To the Bone,Pamungkas,0.668,0.727,7,-6.55,0,0.027,0.514,0.9390000000000001,139.991,344571,4
37,Happy w u,"Arthur Nery, Jason Dhakal",0.596,0.182,6,-16.004,1,0.0378,0.903,0.268,111.734,280714,3
38,Give Me Your Forever,Zack Tabudlo,0.627,0.363,8,-8.127,1,0.0291,0.279,0.301,99.905,244800,4
39,PSG,Al James,0.789,0.426,2,-13.166,1,0.0824,0.20700000000000002,0.529,119.984,180000,4
40,HOT,SEVENTEEN,0.765,0.777,5,-4.376,0,0.039900000000000005,0.0539,0.64,111.944,197587,4
41,Dandelions,Ruth B.,0.609,0.6920000000000001,1,-2.958,1,0.025900000000000003,0.015700000000000002,0.454,116.959,233720,3
42,Light Switch,Charlie Puth,0.6900000000000001,0.626,6,-5.693,1,0.306,0.105,0.912,184.009,185681,4
43,All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),Taylor Swift,0.631,0.518,0,-8.771,1,0.0303,0.274,0.20500000000000002,93.023,613027,4
44,The Day You Said Goodnight,Hale,0.558,0.553,4,-6.6690000000000005,1,0.0323,0.492,0.251,134.263,291358,4
45,I Love You So,The Walters,0.5750000000000001,0.648,10,-4.891,1,0.0358,0.583,0.466,75.977,160240,4
46,When Scars Become Art,"Gatton, Brooke Young",0.524,0.114,11,-17.027,1,0.0507,0.929,0.314,119.818,287561,4
47,My Universe,"Coldplay, BTS",0.588,0.7010000000000001,9,-6.39,1,0.0402,0.00813,0.443,104.988,228000,4
48,DARARI,TREASURE,0.716,0.638,0,-6.87,1,0.0392,0.486,0.552,84.955,220716,4
49,Araw-Araw,Ben&Ben,0.47500000000000003,0.424,11,-8.39,1,0.029500000000000002,0.582,0.224,140.903,313952,4
50,Paubaya,Moira Dela Torre,0.373,0.245,5,-12.45,1,0.0354,0.766,0.17400000000000002,127.067,282491,4
51,Kathang Isip,Ben&Ben,0.491,0.314,10,-8.58,1,0.030100000000000002,0.776,0.295,126.921,318814,4
52,traitor,Olivia Rodrigo,0.38,0.339,3,-7.885,1,0.033800000000000004,0.6910000000000001,0.0849,100.607,229227,4
53,Bam Bam (feat. Ed Sheeran),"Camila Cabello, Ed Sheeran",0.756,0.6970000000000001,8,-6.377,1,0.040100000000000004,0.182,0.9560000000000001,94.996,206071,4
54,Leaves,Ben&Ben,0.447,0.16,6,-10.896,1,0.037200000000000004,0.913,0.20500000000000002,118.313,310709,3
55,Dating Tayo,TJ Monterde,0.551,0.329,7,-10.731,1,0.0431,0.648,0.331,139.699,239480,4
56,lowkey,NIKI,0.752,0.494,0,-8.18,1,0.055900000000000005,0.432,0.227,117.901,171356,4
57,FEARLESS,LE SSERAFIM,0.863,0.62,7,-7.167,1,0.135,0.050800000000000005,0.432,103.971,168437,4
58,Rainbow,South Border,0.66,0.224,5,-13.426,1,0.0307,0.425,0.382,88.011,347120,4
59,Enchanted,Taylor Swift,0.535,0.618,8,-3.9130000000000003,1,0.0273,0.0716,0.228,81.975,352200,4
60,LOVE DIVE,IVE,0.7030000000000001,0.709,1,-4.169,0,0.043300000000000005,0.0037900000000000004,0.538,117.941,177187,4
61,deja vu,Olivia Rodrigo,0.442,0.612,2,-7.222,1,0.112,0.584,0.178,180.917,215507,4
62,Your Song,Parokya Ni Edgar,0.636,0.159,11,-13.117,1,0.054900000000000004,0.892,0.658,119.766,168493,5
63,boyfriend (with Social House),"Ariana Grande, Social House",0.4,0.795,10,-3.731,0,0.461,0.11900000000000001,0.7020000000000001,190.097,186107,4
64,Binhi,Arthur Nery,0.46,0.311,5,-10.235,1,0.031900000000000005,0.961,0.22,124.193,216774,4
65,Sunsets With You,"Cliff, Yden",0.447,0.363,1,-9.743,1,0.0478,0.923,0.125,115.457,253913,3
66,Thick And Thin,LANY,0.6970000000000001,0.551,5,-6.179,0,0.028200000000000003,0.059000000000000004,0.339,99.996,212002,4
67,Woman,Doja Cat,0.8240000000000001,0.764,5,-4.175,0,0.0854,0.0888,0.881,107.998,172627,4
68,Heartbreak Anniversary,Giveon,0.449,0.465,0,-8.964,1,0.0791,0.524,0.543,89.087,198371,3
69,Heat Waves,Glass Animals,0.761,0.525,11,-6.9,1,0.0944,0.44,0.531,80.87,238805,4
70,Don't Know What to Say - Don't Know What to Do,Ric Segreto,0.673,0.365,2,-15.372,1,0.0451,0.584,0.297,135.447,165400,4
71,IF you leave me,SEVENTEEN,0.607,0.35100000000000003,10,-5.929,1,0.0328,0.877,0.601,160.122,212507,3
72,This Love (Taylor's Version),Taylor Swift,0.47000000000000003,0.494,4,-8.672,1,0.0349,0.302,0.0524,144.039,250100,4
73,Ikaw Lamang,Silent Sanctuary,0.394,0.623,9,-5.029,1,0.038400000000000004,0.5730000000000001,0.316,115.003,306467,4
74,Rosas,"Nica del Rosario, Gab Pangilinan",0.44,0.47100000000000003,3,-8.647,1,0.031100000000000003,0.297,0.203,149.894,273600,3
75,Huling Sayaw,"Kamikazee, Kyla",0.47400000000000003,0.871,1,-4.013,0,0.0405,0.00125,0.545,137.102,295413,4
76,Photograph,Ed Sheeran,0.614,0.379,4,-10.48,1,0.0476,0.607,0.201,107.989,258987,4
77,Dynamite,BTS,0.746,0.765,6,-4.41,0,0.0993,0.0112,0.737,114.044,199054,4
