Category: Arts & Entertainment

Day,Selena Gomez: (Philippines)
2022-12-30,13
2022-12-31,7
2023-01-01,0
2023-01-02,18
2023-01-03,13
2023-01-04,8
2023-01-05,10
2023-01-06,7
2023-01-07,12
2023-01-08,9
2023-01-09,9
2023-01-10,7
2023-01-11,9
2023-01-12,14
2023-01-13,11
2023-01-14,17
2023-01-15,12
2023-01-16,18
2023-01-17,18
2023-01-18,24
2023-01-19,13
2023-01-20,13
2023-01-21,28
2023-01-22,18
2023-01-23,11
2023-01-24,14
2023-01-25,12
2023-01-26,11
2023-01-27,7
2023-01-28,10
2023-01-29,9
2023-01-30,7
2023-01-31,16
2023-02-01,10
2023-02-02,7
2023-02-03,18
2023-02-04,15
2023-02-05,25
2023-02-06,15
2023-02-07,17
2023-02-08,9
2023-02-09,7
2023-02-10,14
2023-02-11,12
2023-02-12,9
2023-02-13,13
2023-02-14,10
2023-02-15,6
2023-02-16,11
2023-02-17,7
2023-02-18,16
2023-02-19,22
2023-02-20,13
2023-02-21,23
2023-02-22,29
2023-02-23,26
2023-02-24,72
2023-02-25,92
2023-02-26,100
2023-02-27,93
2023-02-28,82
2023-03-01,81
2023-03-02,81
2023-03-03,65
2023-03-04,60
2023-03-05,94
2023-03-06,81
2023-03-07,66
2023-03-08,66
2023-03-09,85
