Category: Arts & Entertainment

Day,future: (Philippines)
2022-12-30,55
2022-12-31,38
2023-01-01,55
2023-01-02,50
2023-01-03,53
2023-01-04,26
2023-01-05,35
2023-01-06,39
2023-01-07,45
2023-01-08,73
2023-01-09,84
2023-01-10,80
2023-01-11,46
2023-01-12,83
2023-01-13,57
2023-01-14,58
2023-01-15,27
2023-01-16,41
2023-01-17,67
2023-01-18,39
2023-01-19,48
2023-01-20,67
2023-01-21,88
2023-01-22,100
2023-01-23,80
2023-01-24,46
2023-01-25,57
2023-01-26,53
2023-01-27,58
2023-01-28,21
2023-01-29,56
2023-01-30,50
2023-01-31,74
2023-02-01,31
2023-02-02,79
2023-02-03,57
2023-02-04,63
2023-02-05,63
2023-02-06,30
2023-02-07,41
2023-02-08,42
2023-02-09,38
2023-02-10,70
2023-02-11,36
2023-02-12,46
2023-02-13,34
2023-02-14,65
2023-02-15,51
2023-02-16,42
2023-02-17,56
2023-02-18,40
2023-02-19,24
2023-02-20,50
2023-02-21,65
2023-02-22,27
2023-02-23,45
2023-02-24,65
2023-02-25,61
2023-02-26,70
2023-02-27,51
2023-02-28,47
2023-03-01,46
2023-03-02,54
2023-03-03,51
2023-03-04,37
2023-03-05,71
2023-03-06,49
2023-03-07,30
2023-03-08,43
2023-03-09,32
