Category: Arts & Entertainment

Day,Lady Gaga: (Philippines)
2022-12-30,66
2022-12-31,100
2023-01-01,77
2023-01-02,74
2023-01-03,27
2023-01-04,43
2023-01-05,30
2023-01-06,44
2023-01-07,56
2023-01-08,33
2023-01-09,44
2023-01-10,44
2023-01-11,28
2023-01-12,29
2023-01-13,43
2023-01-14,49
2023-01-15,28
2023-01-16,40
2023-01-17,58
2023-01-18,24
2023-01-19,47
2023-01-20,46
2023-01-21,31
2023-01-22,39
2023-01-23,49
2023-01-24,45
2023-01-25,38
2023-01-26,37
2023-01-27,56
2023-01-28,55
2023-01-29,35
2023-01-30,44
2023-01-31,56
2023-02-01,21
2023-02-02,34
2023-02-03,41
2023-02-04,42
2023-02-05,46
2023-02-06,40
2023-02-07,26
2023-02-08,27
2023-02-09,40
2023-02-10,74
2023-02-11,54
2023-02-12,43
2023-02-13,39
2023-02-14,49
2023-02-15,82
2023-02-16,69
2023-02-17,58
2023-02-18,37
2023-02-19,60
2023-02-20,65
2023-02-21,71
2023-02-22,58
2023-02-23,52
2023-02-24,44
2023-02-25,53
2023-02-26,60
2023-02-27,39
2023-02-28,27
2023-03-01,40
2023-03-02,32
2023-03-03,35
2023-03-04,37
2023-03-05,52
2023-03-06,30
2023-03-07,32
2023-03-08,54
2023-03-09,30
