Category: Arts & Entertainment

Day,Taylor Swift: (Philippines)
2022-12-30,79
2022-12-31,100
2023-01-01,88
2023-01-02,64
2023-01-03,52
2023-01-04,53
2023-01-05,57
2023-01-06,53
2023-01-07,66
2023-01-08,61
2023-01-09,55
2023-01-10,53
2023-01-11,50
2023-01-12,41
2023-01-13,53
2023-01-14,71
2023-01-15,46
2023-01-16,48
2023-01-17,45
2023-01-18,39
2023-01-19,39
2023-01-20,55
2023-01-21,63
2023-01-22,64
2023-01-23,39
2023-01-24,57
2023-01-25,46
2023-01-26,50
2023-01-27,61
2023-01-28,68
2023-01-29,68
2023-01-30,50
2023-01-31,49
2023-02-01,42
2023-02-02,50
2023-02-03,50
2023-02-04,64
2023-02-05,65
2023-02-06,82
2023-02-07,63
2023-02-08,58
2023-02-09,48
2023-02-10,65
2023-02-11,61
2023-02-12,53
2023-02-13,44
2023-02-14,51
2023-02-15,53
2023-02-16,45
2023-02-17,50
2023-02-18,56
2023-02-19,54
2023-02-20,40
2023-02-21,44
2023-02-22,50
2023-02-23,44
2023-02-24,66
2023-02-25,63
2023-02-26,64
2023-02-27,48
2023-02-28,48
2023-03-01,43
2023-03-02,49
2023-03-03,59
2023-03-04,67
2023-03-05,62
2023-03-06,52
2023-03-07,51
2023-03-08,53
2023-03-09,50
