Category: Arts & Entertainment

Day,Katy Perry: (Philippines)
2022-12-30,39
2022-12-31,81
2023-01-01,0
2023-01-02,0
2023-01-03,21
2023-01-04,24
2023-01-05,57
2023-01-06,43
2023-01-07,61
2023-01-08,28
2023-01-09,0
2023-01-10,17
2023-01-11,42
2023-01-12,26
2023-01-13,56
2023-01-14,45
2023-01-15,48
2023-01-16,26
2023-01-17,41
2023-01-18,12
2023-01-19,24
2023-01-20,60
2023-01-21,40
2023-01-22,0
2023-01-23,21
2023-01-24,33
2023-01-25,27
2023-01-26,43
2023-01-27,17
2023-01-28,27
2023-01-29,63
2023-01-30,48
2023-01-31,21
2023-02-01,48
2023-02-02,26
2023-02-03,0
2023-02-04,97
2023-02-05,24
2023-02-06,39
2023-02-07,20
2023-02-08,19
2023-02-09,11
2023-02-10,25
2023-02-11,39
2023-02-12,0
2023-02-13,41
2023-02-14,37
2023-02-15,59
2023-02-16,22
2023-02-17,55
2023-02-18,60
2023-02-19,68
2023-02-20,27
2023-02-21,20
2023-02-22,35
2023-02-23,33
2023-02-24,67
2023-02-25,100
2023-02-26,49
2023-02-27,25
2023-02-28,31
2023-03-01,9
2023-03-02,19
2023-03-03,41
2023-03-04,79
2023-03-05,30
2023-03-06,40
2023-03-07,36
2023-03-08,25
2023-03-09,26
