,track_name,artist,artist_collab,chart_history,2022-12-30,2022-12-31,2023-01-01,2023-01-02,2023-01-03,2023-01-04,2023-01-05,2023-01-06,2023-01-07,2023-01-08,2023-01-09,2023-01-10,2023-01-11,2023-01-12,2023-01-13,2023-01-14,2023-01-15,2023-01-16,2023-01-17,2023-01-18,2023-01-19,2023-01-20,2023-01-21,2023-01-22,2023-01-23,2023-01-24,2023-01-25,2023-01-26,2023-01-27,2023-01-28,2023-01-29,2023-01-30,2023-01-31,2023-02-01,2023-02-02,2023-02-03,2023-02-04,2023-02-05,2023-02-06,2023-02-07,2023-02-08,2023-02-09,2023-02-10,2023-02-11,2023-02-12,2023-02-13,2023-02-14,2023-02-15,2023-02-16,2023-02-17,2023-02-18,2023-02-19,2023-02-20,2023-02-21,2023-02-22,2023-02-23,2023-02-24,2023-02-25,2023-02-26,2023-02-27,2023-02-28,2023-03-01,2023-03-02,2023-03-03,2023-03-04,2023-03-05,2023-03-06,2023-03-07,2023-03-08,2023-03-09
0,Kill Bill,sza,0,73.0,100,84,81,59,90,61,49,71,86,48,48,55,75,51,57,81,46,41,50,49,57,67,56,68,40,40,45,46,69,65,79,51,43,33,27,31,36,40,31,20,40,43,35,60,57,39,30,30,28,24,18,37,21,38,13,46,58,32,48,20,26,35,32,24,38,48,32,17,18,12
1,Mahika,adie,1,73.0,27,0,23,26,10,41,11,34,41,0,27,0,23,17,10,30,9,15,27,28,27,23,12,14,23,0,28,10,32,20,0,15,39,100,19,44,31,20,54,14,37,34,35,21,31,28,50,16,18,37,27,30,10,19,14,0,0,28,48,0,14,26,0,0,21,13,8,0,14,12
2,Anti-Hero,taylor swift,0,73.0,79,100,88,64,52,53,57,53,66,61,55,53,50,41,53,71,46,48,45,39,39,55,63,64,39,57,46,50,61,68,68,50,49,42,50,50,64,65,82,63,58,48,65,61,53,44,51,53,45,50,56,54,40,44,50,44,66,63,64,48,48,43,49,59,67,62,52,51,53,50
3,Here With Me,d4vd,0,22.0,49,100,0,45,30,0,30,13,79,64,64,59,36,83,48,87,33,45,11,32,45,47,0,30,28,12,24,32,0,0,0,28,40,0,21,35,24,43,25,51,20,47,32,56,19,28,40,46,40,21,38,12,24,0,0,30,47,29,26,0,0,61,30,16,24,0,0,52,0,51
4,Ditto,newjeans,0,31.0,39,67,27,79,63,74,98,50,71,60,75,26,52,84,51,62,56,70,38,73,55,31,100,62,46,90,31,53,48,69,78,75,53,59,84,70,82,50,99,61,28,43,48,63,58,89,14,48,59,19,44,35,11,33,14,53,53,91,36,24,44,38,51,0,45,46,10,0,30,28
5,Made You Look,meghan trainor,0,21.0,55,85,0,63,0,0,0,0,32,0,0,0,36,76,44,0,47,0,0,86,36,0,0,0,0,0,0,0,69,0,0,0,0,0,24,30,0,0,23,0,45,24,100,0,71,0,0,34,0,33,0,0,0,0,0,31,0,54,0,0,0,0,0,0,0,67,0,0,0,0
6,Wet The Bed (feat. Ludacris),chris brown,1,73.0,32,48,34,16,17,24,0,40,33,56,23,33,0,31,19,57,31,16,31,16,30,25,19,20,26,14,23,48,44,51,54,37,34,25,26,29,33,33,65,22,39,0,38,15,37,87,59,26,72,91,100,75,0,26,73,57,52,30,27,11,44,19,36,48,0,38,19,39,25,48
7,Unholy (feat. Kim Petras),sam smith,1,73.0,74,54,64,35,26,14,32,35,30,56,44,38,39,0,0,45,32,0,22,0,0,0,16,32,15,0,29,41,42,53,20,21,40,16,48,15,30,40,44,57,53,69,59,73,100,64,38,37,57,45,54,13,29,0,0,0,0,66,36,21,44,27,20,18,0,0,27,0,0,33
8,Under The Influence,chris brown,0,73.0,32,48,34,16,17,24,0,40,33,56,23,33,0,31,19,57,31,16,31,16,30,25,19,20,26,14,23,48,44,51,54,37,34,25,26,29,33,33,65,22,39,0,38,15,37,87,59,26,72,91,100,75,0,26,73,57,52,30,27,11,44,19,36,48,0,38,19,39,25,48
9,"Babalik Sa'yo (from ""2 Good 2 Be True"")",moira dela torre,0,73.0,19,84,57,38,13,19,17,0,23,22,32,12,26,36,50,8,21,32,26,35,30,46,41,59,24,35,45,0,40,44,26,0,45,21,32,66,100,11,28,72,52,72,32,40,56,45,14,40,45,33,53,30,26,34,32,73,46,58,41,17,0,24,44,37,42,0,9,20,0,0
10,Until I Found You (with Em Beihold) - Em Beihold Version,stephen sanchez,1,44.0,0,0,0,0,0,0,0,0,0,0,0,0,20,46,0,0,43,0,0,0,0,0,0,0,0,0,100,0,0,22,0,15,95,0,0,17,0,0,39,0,0,17,0,59,23,0,30,14,0,0,0,0,0,0,0,0,22,0,30,0,0,38,0,0,0,0,0,0,0,0
