,title,artist/s,danceability,key,loudness,speechiness,liveness,valence,tempo,duration_ms,music_label,artist_collab,chart_history,mean_trends,stream1,stream2,stream3,stream4,stream5,stream6,stream7,stream8,stream9,song_familiarity,artist_familiarity,bad_good,distasteful_tasty,dull_exciting,tasteless_tasteful,unimaginative_creative,untalented_talented,unpleasant_pleasant,forgettable_memorable,boring_interesting,listen_similar,share_friends,add_playlist,stream_category
1,Mahika,"Adie, Janine Berdin",0.635,7.0,-7.406,0.0391,0.139,0.601,81.976,201951.0,1,1,72.0,23.33870967741936,10,10,10,10,10,10,10,10,10,6.5,3.0,6.05,5.85,5.2,5.65,5.45,5.7,6.15,5.95,5.55,5.9,5.15,5.5,10
5,Made You Look,Meghan Trainor,0.838,10.0,-3.562,0.0665,0.0771,0.884,144.981,134256.0,10,0,20.0,17.70967741935484,9,9,9,9,9,9,9,9,8,4.15,3.55,5.95,5.5,4.65,5.2,5.25,6.15,6.1,5.1,5.2,4.8,4.65,4.55,5
11,Midnight Rain,Taylor Swift,0.643,0.0,-11.738,0.0767,0.115,0.23,139.865,174783.0,10,0,72.0,55.596774193548384,9,9,9,9,9,9,9,9,9,3.1,1.8,5.4,5.45,4.6,5.35,4.7,5.35,5.6,4.5,4.7,4.8,4.45,4.2,9
13,Fallen,Lola Amour,0.652,6.0,-4.098,0.0406,0.147,0.615,98.079,201807.0,10,0,35.0,26.080645161290324,9,9,9,9,9,9,9,9,9,4.4,2.6,5.95,5.5,5.75,5.65,6.0,6.0,5.95,5.3,5.7,5.45,4.55,4.75,9
14,Die For You,The Weeknd,0.582,1.0,-7.163,0.0627,0.134,0.51,133.249,260253.0,5,0,72.0,39.14516129032258,9,9,9,9,9,10,10,10,10,3.55,2.15,4.15,4.05,4.35,4.3,4.2,4.75,4.25,4.15,4.15,3.45,3.0,2.9,10
15,As It Was,Harry Styles,0.52,6.0,-5.338,0.0557,0.311,0.662,173.93,167303.0,5,0,72.0,16.870967741935484,9,9,9,9,9,9,9,9,9,4.35,2.1,5.2,5.15,4.2,5.15,4.7,5.25,5.9,5.55,4.9,5.05,4.45,4.85,9
17,Jopay,Mayonnaise,0.348,6.0,-6.425,0.0314,0.0959,0.301,137.619,270594.0,5,0,50.0,18.225806451612904,9,9,9,9,9,9,9,9,8,4.05,3.5,4.9,4.9,5.8,5.2,5.4,5.5,5.1,5.65,5.25,4.2,3.75,3.5,7
22,THE SHADE,Rex Orange County,0.898,5.0,-7.973,0.062,0.0876,0.727,119.869,181507.0,1,0,72.0,16.56451612903226,9,9,9,9,9,9,9,9,9,2.35,1.3,5.6,5.55,4.5,5.7,5.2,5.8,5.9,4.35,5.5,5.6,4.9,5.0,9
23,Isa lang,Arthur Nery,0.429,6.0,-8.445,0.0719,0.0846,0.375,121.17,269256.0,10,0,72.0,38.564516129032256,9,9,9,9,9,9,9,9,9,3.75,2.2,4.95,4.6,4.55,4.7,5.15,5.05,4.85,4.3,4.5,3.7,3.8,3.65,9
24,Old Love,"yuji, putri dahlia",0.478,11.0,-10.513,0.0283,0.124,0.359,141.95,249382.0,1,1,24.0,12.35483870967742,9,9,9,9,9,9,9,9,9,4.0,2.05,4.95,4.75,4.25,4.65,4.8,5.2,5.1,4.75,4.45,4.15,3.75,3.55,9
27,Paraluman,Adie,0.519,5.0,-13.85,0.0396,0.0946,0.108,90.121,312320.0,1,0,72.0,23.33870967741936,9,9,9,9,9,9,9,9,9,1.85,3.75,3.85,3.55,3.65,3.75,3.5,4.25,3.7,2.75,3.5,3.15,2.7,2.75,9
29,Pano,Zack Tabudlo,0.375,3.0,-7.018,0.0315,0.191,0.415,174.839,254400.0,10,0,72.0,23.61290322580645,9,9,9,9,9,9,9,9,9,4.6,2.7,5.8,5.9,4.85,5.5,5.15,5.75,6.0,5.15,5.15,5.6,4.75,5.2,9
31,Creepin' (with The Weeknd & 21 Savage),"Metro Boomin, The Weeknd, 21 Savage",0.715,1.0,-6.005,0.0484,0.0822,0.172,97.95,221520.0,10,1,13.0,15.451612903225806,9,9,9,9,9,9,9,9,9,5.45,3.3,5.95,5.7,5.4,5.9,5.25,5.85,6.3,5.6,5.65,5.7,5.55,5.65,9
32,Angel Baby,Troye Sivan,0.559,11.0,-6.425,0.0358,0.138,0.338,72.498,220780.0,10,0,72.0,6.145161290322581,9,9,8,9,8,8,8,7,7,4.85,3.2,5.65,5.55,4.95,5.75,5.6,5.85,6.0,5.35,5.35,5.35,5.0,5.2,7
37,Pagsamo,Arthur Nery,0.644,6.0,-9.382,0.0339,0.0962,0.356,60.001,297002.0,10,0,72.0,38.564516129032256,8,9,8,9,9,9,8,8,8,2.05,1.65,5.65,5.75,5.65,5.65,5.5,5.45,5.95,4.95,5.5,5.25,4.9,4.95,9
38,Sure Thing,Miguel,0.684,11.0,-8.127,0.1,0.191,0.498,81.001,195373.0,10,0,12.0,16.0,8,9,10,10,9,9,9,9,9,3.95,2.25,5.4,5.3,4.95,4.95,5.3,5.2,5.2,4.8,5.2,4.75,4.35,4.4,9
43,Muli,Ace Banzuelo,0.482,11.0,-3.62,0.0533,0.103,0.281,144.02,290004.0,10,0,42.0,12.790322580645162,8,8,8,8,9,8,8,7,7,4.0,3.8,5.45,5.5,5.9,5.5,5.65,5.8,5.75,5.55,5.8,5.2,4.9,5.15,7
44,I Wanna Be Yours,Arctic Monkeys,0.464,0.0,-9.345,0.0256,0.0974,0.479,67.528,183956.0,1,0,45.0,8.919354838709678,8,8,8,9,8,8,8,8,7,6.25,3.85,6.2,5.8,5.35,5.75,6.0,6.2,6.1,6.2,5.85,5.8,5.4,5.55,8
46,OMG,NewJeans,0.804,9.0,-4.067,0.0433,0.108,0.739,126.956,212253.0,10,0,30.0,55.74193548387097,8,10,10,10,10,10,10,10,10,4.0,1.75,5.85,5.55,5.7,5.6,5.6,5.95,6.05,5.65,5.65,5.7,4.8,5.2,10
48,Yakap,Zack Tabudlo,0.738,8.0,-8.437,0.0334,0.107,0.547,113.979,178947.0,10,0,72.0,23.61290322580645,7,7,8,9,9,9,9,9,9,3.4,2.0,6.1,5.85,5.4,5.65,5.55,6.0,6.05,5.3,5.6,5.4,5.1,5.3,9
