,title,artist/s,danceability,key,loudness,speechiness,liveness,valence,tempo,duration_ms,music_label,artist_collab,chart_history,mean_trends,stream1,stream2,stream3,stream4,stream5,stream6,stream7,stream8,stream9,song_familiarity,artist_familiarity,bad_good,distasteful_tasty,dull_exciting,tasteless_tasteful,unimaginative_creative,untalented_talented,unpleasant_pleasant,forgettable_memorable,boring_interesting,listen_similar,share_friends,add_playlist,stream_category
2,Anti-Hero,Taylor Swift,0.637,4.0,-6.571,0.0519,0.142,0.533,97.008,200690.0,10,0,72.0,55.596774193548384,10,10,10,10,10,10,10,10,10,5.1,4.55,6.05,6.05,5.6,6.05,5.9,6.25,6.25,5.6,5.7,6.0,5.35,5.45,10
4,Ditto,NewJeans,0.814,6.0,-5.957,0.111,0.0993,0.183,133.854,185507.0,10,0,30.0,55.74193548387097,10,10,10,10,10,10,10,10,10,5.55,4.9,5.8,5.65,5.95,5.8,6.05,6.1,5.95,5.55,6.0,5.55,4.95,4.9,9
5,Made You Look,Meghan Trainor,0.838,10.0,-3.562,0.0665,0.0771,0.884,144.981,134256.0,10,0,20.0,17.70967741935484,9,9,9,9,9,9,9,9,8,4.15,3.55,5.95,5.5,4.65,5.2,5.25,6.15,6.1,5.1,5.2,4.8,4.65,4.55,5
6,Wet The Bed (feat. Ludacris),"Chris Brown, Ludacris",0.58,6.0,-7.405,0.0429,0.174,0.411,123.801,266307.0,10,1,72.0,35.37096774193548,9,9,9,9,9,9,9,8,8,5.6,6.85,6.05,5.65,5.7,5.85,6.45,6.35,6.05,6.1,5.85,5.6,5.15,5.4,7
8,Under The Influence,Chris Brown,0.733,9.0,-5.529,0.0427,0.105,0.31,116.992,184613.0,10,0,72.0,35.37096774193548,9,9,9,9,9,9,9,9,9,3.65,4.5,5.35,5.55,4.85,5.25,5.3,5.55,5.6,4.95,5.15,4.9,4.6,4.9,9
9,"Babalik Sa'yo (from ""2 Good 2 Be True"")",Moira Dela Torre,0.515,1.0,-7.798,0.093,0.33,0.695,157.866,229712.0,10,0,72.0,35.45161290322581,9,9,9,9,9,9,9,9,9,4.85,4.8,5.75,5.85,5.2,5.65,5.25,6.15,6.05,5.25,5.3,5.1,4.7,4.9,9
10,Until I Found You (with Em Beihold) - Em Beihold Version,"Stephen Sanchez, Em Beihold",0.551,10.0,-5.339,0.0286,0.202,0.342,101.19,176440.0,10,1,43.0,10.161290322580646,9,9,6,7,8,9,9,9,9,5.05,5.8,5.4,5.2,4.6,5.35,5.15,5.7,5.75,4.95,5.1,4.6,4.45,4.5,9
11,Midnight Rain,Taylor Swift,0.643,0.0,-11.738,0.0767,0.115,0.23,139.865,174783.0,10,0,72.0,55.596774193548384,9,9,9,9,9,9,9,9,9,3.1,1.8,5.4,5.45,4.6,5.35,4.7,5.35,5.6,4.5,4.7,4.8,4.45,4.2,9
13,Fallen,Lola Amour,0.652,6.0,-4.098,0.0406,0.147,0.615,98.079,201807.0,10,0,35.0,26.080645161290324,9,9,9,9,9,9,9,9,9,4.4,2.6,5.95,5.5,5.75,5.65,6.0,6.0,5.95,5.3,5.7,5.45,4.55,4.75,9
19,Fall In Love Alone,Stacey Ryan,0.676,7.0,-5.455,0.0711,0.127,0.522,171.883,205428.0,10,0,19.0,4.629032258064516,9,9,9,9,9,9,9,9,9,3.9,4.8,4.95,5.0,4.6,4.9,4.4,5.55,4.95,4.35,4.5,4.5,3.9,4.05,9
