,title,artist/s,danceability,key,loudness,speechiness,liveness,valence,tempo,duration_ms,music_label,artist_collab,chart_history,mean_trends,stream1,stream2,stream3,stream4,stream5,stream6,stream7,stream8,stream9,song_familiarity,artist_familiarity,bad_good,distasteful_tasty,dull_exciting,tasteless_tasteful,unimaginative_creative,untalented_talented,unpleasant_pleasant,forgettable_memorable,boring_interesting,listen_similar,share_friends,add_playlist,stream_category
7,Unholy (feat. Kim Petras),"Sam Smith, Kim Petras",0.714,2.0,-7.375,0.0864,0.266,0.238,131.121,156943.0,5,1,72.0,33.61290322580645,9,9,9,9,9,10,9,9,9,3.95,4.6,5.75,5.75,5.05,5.75,5.45,6.05,6.0,4.8,4.9,4.95,4.35,4.3,9
8,Under The Influence,Chris Brown,0.733,9.0,-5.529,0.0427,0.105,0.31,116.992,184613.0,10,0,72.0,35.37096774193548,9,9,9,9,9,9,9,9,9,3.65,4.5,5.35,5.55,4.85,5.25,5.3,5.55,5.6,4.95,5.15,4.9,4.6,4.9,9
11,Midnight Rain,Taylor Swift,0.643,0.0,-11.738,0.0767,0.115,0.23,139.865,174783.0,10,0,72.0,55.596774193548384,9,9,9,9,9,9,9,9,9,3.1,1.8,5.4,5.45,4.6,5.35,4.7,5.35,5.6,4.5,4.7,4.8,4.45,4.2,9
14,Die For You,The Weeknd,0.582,1.0,-7.163,0.0627,0.134,0.51,133.249,260253.0,5,0,72.0,39.14516129032258,9,9,9,9,9,10,10,10,10,3.55,2.15,4.15,4.05,4.35,4.3,4.2,4.75,4.25,4.15,4.15,3.45,3.0,2.9,10
19,Fall In Love Alone,Stacey Ryan,0.676,7.0,-5.455,0.0711,0.127,0.522,171.883,205428.0,10,0,19.0,4.629032258064516,9,9,9,9,9,9,9,9,9,3.9,4.8,4.95,5.0,4.6,4.9,4.4,5.55,4.95,4.35,4.5,4.5,3.9,4.05,9
22,THE SHADE,Rex Orange County,0.898,5.0,-7.973,0.062,0.0876,0.727,119.869,181507.0,1,0,72.0,16.56451612903226,9,9,9,9,9,9,9,9,9,2.35,1.3,5.6,5.55,4.5,5.7,5.2,5.8,5.9,4.35,5.5,5.6,4.9,5.0,9
23,Isa lang,Arthur Nery,0.429,6.0,-8.445,0.0719,0.0846,0.375,121.17,269256.0,10,0,72.0,38.564516129032256,9,9,9,9,9,9,9,9,9,3.75,2.2,4.95,4.6,4.55,4.7,5.15,5.05,4.85,4.3,4.5,3.7,3.8,3.65,9
27,Paraluman,Adie,0.519,5.0,-13.85,0.0396,0.0946,0.108,90.121,312320.0,1,0,72.0,23.33870967741936,9,9,9,9,9,9,9,9,9,1.85,3.75,3.85,3.55,3.65,3.75,3.5,4.25,3.7,2.75,3.5,3.15,2.7,2.75,9
33,Tahanan,Adie,0.394,3.0,-10.855,0.031,0.315,0.3,109.862,293727.0,1,0,72.0,23.33870967741936,9,8,8,9,9,9,9,9,9,3.45,5.1,4.9,4.5,4.35,4.4,4.95,5.4,4.85,4.2,4.2,4.5,3.7,3.65,9
37,Pagsamo,Arthur Nery,0.644,6.0,-9.382,0.0339,0.0962,0.356,60.001,297002.0,10,0,72.0,38.564516129032256,8,9,8,9,9,9,8,8,8,2.05,1.65,5.65,5.75,5.65,5.65,5.5,5.45,5.95,4.95,5.5,5.25,4.9,4.95,9
38,Sure Thing,Miguel,0.684,11.0,-8.127,0.1,0.191,0.498,81.001,195373.0,10,0,12.0,16.0,8,9,10,10,9,9,9,9,9,3.95,2.25,5.4,5.3,4.95,4.95,5.3,5.2,5.2,4.8,5.2,4.75,4.35,4.4,9
42,Shirt,SZA,0.848,3.0,-7.72,0.102,0.0879,0.572,120.009,181840.0,1,0,72.0,48.45161290322581,8,9,9,9,6,6,5,5,5,3.3,4.95,5.8,5.55,5.3,5.6,5.45,6.05,5.8,5.05,5.2,5.3,5.2,4.9,4
48,Yakap,Zack Tabudlo,0.738,8.0,-8.437,0.0334,0.107,0.547,113.979,178947.0,10,0,72.0,23.61290322580645,7,7,8,9,9,9,9,9,9,3.4,2.0,6.1,5.85,5.4,5.65,5.55,6.0,6.05,5.3,5.6,5.4,5.1,5.3,9
