,title,artist/s,danceability,key,loudness,speechiness,liveness,valence,tempo,duration_ms,music_label,artist_collab,chart_history,mean_trends,stream1,stream2,stream3,stream4,stream5,stream6,stream7,stream8,stream9,song_familiarity,artist_familiarity,bad_good,distasteful_tasty,dull_exciting,tasteless_tasteful,unimaginative_creative,untalented_talented,unpleasant_pleasant,forgettable_memorable,boring_interesting,listen_similar,share_friends,add_playlist,stream_category
0,Kill Bill,SZA,0.644,8.0,-5.75,0.0351,0.161,0.43,88.993,153947.0,1,0,72.0,48.45161290322581,10,10,10,10,10,10,10,10,10,4.75,4.05,5.25,4.95,4.35,4.85,5.15,5.45,5.35,5.1,5.25,5.25,4.6,4.85,10
1,Mahika,"Adie, Janine Berdin",0.635,7.0,-7.406,0.0391,0.139,0.601,81.976,201951.0,1,1,72.0,23.33870967741936,10,10,10,10,10,10,10,10,10,6.5,3.0,6.05,5.85,5.2,5.65,5.45,5.7,6.15,5.95,5.55,5.9,5.15,5.5,10
12,Umaasa,Calein,0.627,9.0,-9.868,0.0232,0.332,0.353,96.016,335625.0,1,0,15.0,11.741935483870968,9,9,10,10,10,10,10,10,10,5.7,5.9,6.05,5.85,6.15,6.1,6.3,5.95,6.15,6.3,6.05,5.25,5.2,4.8,10
16,Ikaw Lang,NOBITA,0.513,11.0,-11.091,0.0336,0.0924,0.323,120.952,263500.0,1,0,72.0,24.193548387096776,9,9,9,9,9,10,9,9,9,5.05,5.25,6.05,6.15,5.8,5.95,5.8,6.2,6.15,5.75,5.7,5.9,5.35,5.8,9
22,THE SHADE,Rex Orange County,0.898,5.0,-7.973,0.062,0.0876,0.727,119.869,181507.0,1,0,72.0,16.56451612903226,9,9,9,9,9,9,9,9,9,2.35,1.3,5.6,5.55,4.5,5.7,5.2,5.8,5.9,4.35,5.5,5.6,4.9,5.0,9
24,Old Love,"yuji, putri dahlia",0.478,11.0,-10.513,0.0283,0.124,0.359,141.95,249382.0,1,1,24.0,12.35483870967742,9,9,9,9,9,9,9,9,9,4.0,2.05,4.95,4.75,4.25,4.65,4.8,5.2,5.1,4.75,4.45,4.15,3.75,3.55,9
26,Bahala Na,Kenaniah,0.874,11.0,-11.168,0.0861,0.0959,0.762,122.001,228689.0,1,0,20.0,9.758064516129032,9,9,9,9,9,9,9,9,9,6.0,6.3,5.5,5.5,5.1,5.3,5.15,5.45,5.7,5.25,5.2,5.05,4.6,4.6,9
27,Paraluman,Adie,0.519,5.0,-13.85,0.0396,0.0946,0.108,90.121,312320.0,1,0,72.0,23.33870967741936,9,9,9,9,9,9,9,9,9,1.85,3.75,3.85,3.55,3.65,3.75,3.5,4.25,3.7,2.75,3.5,3.15,2.7,2.75,9
28,Nobody Gets Me,SZA,0.358,7.0,-8.285,0.0285,0.183,0.276,99.796,180853.0,1,0,72.0,48.45161290322581,9,9,9,9,9,9,9,9,9,5.1,4.2,5.7,5.4,4.4,5.4,5.0,5.6,5.85,5.15,5.1,5.25,4.8,5.2,9
30,Pasilyo,SunKissed Lola,0.71,2.0,-4.674,0.0351,0.181,0.404,120.032,270250.0,1,0,10.0,24.5,9,9,10,10,10,10,10,10,10,4.25,4.85,4.35,3.9,4.3,3.9,4.1,4.55,4.25,4.55,4.7,4.1,3.5,3.65,10
33,Tahanan,Adie,0.394,3.0,-10.855,0.031,0.315,0.3,109.862,293727.0,1,0,72.0,23.33870967741936,9,8,8,9,9,9,9,9,9,3.45,5.1,4.9,4.5,4.35,4.4,4.95,5.4,4.85,4.2,4.2,4.5,3.7,3.65,9
35,golden hour,JVKE,0.515,4.0,-4.801,0.0322,0.25,0.153,94.467,209260.0,1,0,26.0,9.370967741935484,9,9,9,9,9,9,9,9,9,5.15,4.9,4.35,4.05,4.65,4.0,4.4,4.75,4.3,4.9,4.6,3.9,3.2,3.35,9
42,Shirt,SZA,0.848,3.0,-7.72,0.102,0.0879,0.572,120.009,181840.0,1,0,72.0,48.45161290322581,8,9,9,9,6,6,5,5,5,3.3,4.95,5.8,5.55,5.3,5.6,5.45,6.05,5.8,5.05,5.2,5.3,5.2,4.9,4
44,I Wanna Be Yours,Arctic Monkeys,0.464,0.0,-9.345,0.0256,0.0974,0.479,67.528,183956.0,1,0,45.0,8.919354838709678,8,8,8,9,8,8,8,8,7,6.25,3.85,6.2,5.8,5.35,5.75,6.0,6.2,6.1,6.2,5.85,5.8,5.4,5.55,8
45,Kagome,Lo ki,0.572,7.0,-6.481,0.0487,0.0891,0.207,105.006,238286.0,1,0,45.0,7.596774193548387,8,8,6,7,6,5,4,4,4,4.65,5.45,5.8,5.45,5.15,5.5,5.35,5.95,6.0,5.3,5.45,5.65,4.65,5.1,5
47,double take,dhruv,0.656,8.0,-11.141,0.0744,0.221,0.196,109.239,171743.0,1,0,72.0,10.0,7,8,7,9,8,8,8,8,9,5.55,5.05,5.8,5.7,5.2,5.7,5.1,5.75,5.9,5.35,5.1,5.5,4.9,5.25,9
