artist,weeks
Taylor Swift,73
The Weeknd,73
Ariana Grande,73
SZA,73
Ben&Ben,73
BTS,73
Justin Bieber,73
Moira Dela Torre,73
Zack Tabudlo,73
NewJeans,31
Adie,73
Arthur Nery,73
Rihanna,73
Bruno Mars,73
Ed Sheeran,73
Chris Brown,73
One Direction,73
BLACKPINK,73
LANY,73
keshi,73
SunKissed Lola,11
Harry Styles,73
Maroon 5,73
NIKI,73
December Avenue,73
Eraserheads,73
Sam Smith,73
TWICE,73
Olivia Rodrigo,73
Drake,73
Joji,73
Parokya Ni Edgar,73
Rex Orange County,73
Miley Cyrus,73
Arctic Monkeys,46
Al James,73
IV Of Spades,73
mrld,65
Shanti Dope,73
Charlie Puth,73
d4vd,22
Doja Cat,73
21 Savage,18
James Arthur,73
Selena Gomez,73
Post Malone,73
ENHYPEN,73
Adele,73
Lana Del Rey,49
Katy Perry,73
Mariah Carey,73
SEVENTEEN,73
Coldplay,73
Flow G,73
Hillsong Worship,73
Billie Eilish,73
Lady Gaga,73
Air Supply,73
Skusta Clee,73
PinkPantheress,5
Janine Berdin,39
Metro Boomin,14
NOBITA,73
Shawn Mendes,73
Troye Sivan,73
Lola Amour,36
The 1975,73
Hale,73
Conan Gray,73
Stephen Sanchez,44
beabadoobee,13
Lauv,73
Calein,16
Dua Lipa,73
Sabrina Carpenter,16
Ne-Yo,73
Beyoncé,73
Khalid,73
Mayonnaise,51
Ice Spice,4
Kendrick Lamar,69
Daniel Caesar,73
TJ Monterde,73
Because,73
Kenaniah,21
Up Dharma Down,36
Westlife,73
Paramore,73
LE SSERAFIM,21
Miguel,13
Meghan Trainor,21
MYMP,73
Cigarettes After Sex,62
TOMORROW X TOGETHER,73
Eminem,73
JVKE,27
Calvin Harris,42
Imagine Dragons,73
The Script,73
Halsey,73
Cup of Joe,17
The Itchyworms,56
Carpenters,73
J. Cole,1
Rivermaya,73
Juice WRLD,27
Gloc 9,73
j-hope,1
Orange & Lemons,51
Lo ki,46
Boyce Avenue,73
New West,15
Nicki Minaj,73
Red Velvet,73
Sarah Geronimo,73
Russ,73
Ace Banzuelo,43
Stacey Ryan,20
Travis Scott,18
Stray Kids,73
iluna,8
Jung Kook,37
Marshmello,73
Regine Velasquez,73
Unique Salonga,6
Kiyo,22
Kamikazee,73
Em Beihold,14
The Chainsmokers,73
Giveon,73
Bread,73
Music Travel Love,73
dhruv,73
OneRepublic,73
Kim Petras,24
yuji,25
putri dahlia,25
Lil Uzi Vert,6
Jeremy Zucker,73
Backstreet Boys,73
Usher,73
Mac DeMarco,11
David Guetta,27
Niall Horan,3
Michael Learns To Rock,73
Coi Leray,4
XG,3
John Roa,73
APO Hiking Society,73
I Belong to the Zoo,73
Kali Uchis,2
Freestyle,45
Dilaw,1
Summer Walker,22
Anderson .Paak,21
Steve Lacy,34
Stephen Speaks,7
Ex Battalion,73
Jeff Grecia,1
5 Seconds of Summer,73
Kanye West,73
Camila Cabello,73
Little Mix,73
SB19,73
Chase Atlantic,10
Anne-Marie,73
Just Hush,17
Cueshé,25
Linkin Park,13
Frank Ocean,35
FIFTY FIFTY,1
Whitney Houston,73
Avril Lavigne,73
ITZY,73
Ruth B.,73
David Pomeranz,5
Ricky Montgomery,47
Munimuni,52
Arthur Miguel,62
PARTYNEXTDOOR,3
Sponge Cola,73
The Beatles,73
The Neighbourhood,32
Silk Sonic,19
Lewis Capaldi,5
Bebe Rexha,27
IU,73
Janine Teñoso,1
Bandang Lapis,45
Future,2
Jason Mraz,10
Bee Gees,12
Denise Julia,2
The Juans,73
Alicia Keys,13
Don Moen,10
Michael Pangilinan,1
NCT DREAM,12
EXO,1
Zild,1
