,track_name,artist_names,week1 streams,week2 streams,week3 streams,week4 streams,week5 streams,week6 streams,week7 streams,week8 streams,week9 streams,week10 streams
0,Kill Bill,SZA,2559058,3108551,3719702,4125458,3752635,3745896,3675023,3509277,3556460,3228839
1,Mahika,"Adie, Janine Berdin",2089464,2111676,2063388,2201672,2379198,2300587,2187958,2121099,2029040,2266381
2,Anti-Hero,Taylor Swift,2021029,1869979,1803232,1973852,1982842,1891874,1756118,1703489,1728940,1694597
3,Here With Me,d4vd,1939022,2060482,2090419,2388379,2307921,2345486,2288282,2201358,2240082,2240504
4,Ditto,NewJeans,1605416,2085273,2144865,2135790,2200647,2196399,1920538,1712143,1579318,1536534
5,Made You Look,Meghan Trainor,1505290,1248252,1006790,1161088,1210730,1087687,1047977,987372,935871,611353
6,Wet The Bed (feat. Ludacris),"Chris Brown, Ludacris",1482510,1325126,1266172,1189652,1079828,1036596,968721,928220,856059,785159
7,Unholy (feat. Kim Petras),"Sam Smith, Kim Petras",1397155,1270064,1227818,1358692,1296701,1575538,1385419,1258746,1274150,1138121
8,Under The Influence,Chris Brown,1392381,1225314,1127615,1152784,1148085,1135596,1086713,1077924,1106108,1083682
9,"Babalik Sa'yo (from ""2 Good 2 Be True"")",Moira Dela Torre,1383209,1321526,1277178,1367064,1278815,1324163,1318868,1248983,1194832,1158660
10,Until I Found You (with Em Beihold) - Em Beihold Version,"Stephen Sanchez, Em Beihold",1381528,1343073,709359,806007,877078,989187,992399,997542,1089052,1151014
11,Midnight Rain,Taylor Swift,1352142,1311121,1289475,1371867,1394857,1340893,1248094,1242012,1280080,1237755
12,Umaasa,Calein,1332249,1478138,1557205,1741019,1863836,1853399,1800253,1902762,1899656,2034014
13,Fallen,Lola Amour,1331304,1344197,1442231,1544715,1416215,1371008,1394098,1405451,1478429,1521983
14,Die For You,The Weeknd,1325119,1344248,1301254,1468359,1521597,1747025,1631785,1685866,1922434,1590599
15,As It Was,Harry Styles,1272158,1151308,1040749,1251272,1251052,1315903,1296729,1268345,1318830,1336843
16,Ikaw Lang,NOBITA,1242194,1311290,1288273,1474564,1418669,1567889,1345820,1349053,1431551,1472865
17,Jopay,Mayonnaise,1236439,1149490,1478803,1480834,1440706,1317843,1129575,1022016,912392,796605
18,Die For You,Joji,1184451,1105912,1061313,1111440,1062425,925110,810954,815748,818018,769890
19,Fall In Love Alone,Stacey Ryan,1181112,1174371,1146625,1254241,1324169,1287987,1297384,1227310,1270424,1235053
20,Left and Right (Feat. Jung Kook of BTS),"Charlie Puth, Jung Kook, BTS",1170374,1132447,1066694,1020261,1056938,1076261,991843,821720,841261,806467
21,ANTIFRAGILE,LE SSERAFIM,1162810,1198337,1019110,1057874,1061052,1030126,913131,700935,667286,614135
22,THE SHADE,Rex Orange County,1153813,1109917,1077000,1106181,1155936,1157833,1120118,1100826,1106769,1186575
23,Isa lang,Arthur Nery,1147343,1273059,1172182,1353724,1456111,1502496,1391389,1409924,1438631,1448811
