rank,artist_names,track_name,label_1,label_2,label_3,label_4,Category
1,SZA,Kill Bill,Top Dawg Entertainment/RCA Records,,,,Indie
2,"Adie, Janine Berdin",Mahika,O/C Records,,,,Indie
3,Taylor Swift,Anti-Hero,Taylor Swift,Universal Music Publishing,,,Major
4,d4vd,Here With Me,Darkroom/Interscope Records,,,,Major-indie
5,NewJeans,Ditto,ADOR,,,,Major
6,Meghan Trainor,Made You Look,Epic,Warner Chappell Music,,,Major
7,"Chris Brown, Ludacris",Wet The Bed (feat. Ludacris),Jive,,,,Major
8,"Sam Smith, Kim Petras",Unholy (feat. Kim Petras),EMI,Prescription Songs,Universal Music Publishing,Wolf Cousins,Major-indie
9,Chris Brown,Under The Influence,Chris Brown Entertainment/RCA Records,,,,Major
10,Moira Dela Torre,"Babalik Sa'yo (from ""2 Good 2 Be True"")",ABS-CBN Music,,,,Major
11,"Stephen Sanchez, Em Beihold",Until I Found You (with Em Beihold) - Em Beihold Version,Republic Records,,,,Major
12,Taylor Swift,Midnight Rain,Taylor Swift,Universal Music Publishing,,,Major
13,Calein,Umaasa,O/C Records,,,,Indie
14,Lola Amour,Fallen,Warner Music Philippines,,,,Major
15,The Weeknd,Die For You,Universal Republic Records,Kobalt Music Publishing,Sony Music Publishing,,Major-indie
16,Harry Styles,As It Was,Columbia,Pulse Publishing Administration,Universal Music Publishing,,Major-indie
17,NOBITA,Ikaw Lang,IndieTV,,,,Indie
18,Mayonnaise,Jopay,Sony Music Entertainment,Yellow Room Music Philippines,,,Major-indie
19,Joji,Die For You,88rising Music/Warner Records,Walt Disney Music Company,,,Major-indie
20,Stacey Ryan,Fall In Love Alone,Island Records,,,,Major
21,"Charlie Puth, Jung Kook, BTS",Left and Right (Feat. Jung Kook of BTS),Atlantic Records,,,,Major
22,LE SSERAFIM,ANTIFRAGILE,SOURCE MUSIC,,,,Major
23,Rex Orange County,THE SHADE,Rex Orange County,Pennies From Heaven,Soepermarkt Music Publishing,,Indie
24,Arthur Nery,Isa lang,Viva Records,,,,Major
25,"yuji, putri dahlia",Old Love,yuji,,,,Indie
26,Shanti Dope,City Girl,Universal Records,,,,Major
27,Kenaniah,Bahala Na,O/C Records,,,,Indie
28,Adie,Paraluman,O/C Records,,,,Indie
29,SZA,Nobody Gets Me,Top Dawg Entertainment/RCA Records,,,,Indie
30,Zack Tabudlo,Pano,Universal Music Philippines Inc.,,,,Major
31,SunKissed Lola,Pasilyo,Independent,,,,Indie
32,"Metro Boomin, The Weeknd, 21 Savage",Creepin' (with The Weeknd & 21 Savage),Republic Records,,,,Major
33,Troye Sivan,Angel Baby,EMI Recorded Music Australia Pty Ltd,BMG Publishing,Warner Chappell Music,,Major
34,Adie,Tahanan,O/C Records,,,,Indie
35,Joji,Glimpse of Us,88rising Music/Warner Records,,,,Major-indie
36,JVKE,golden hour,JVKE,,,,Indie
37,Fujii Kaze,Shinunoga E-Wa,Universal Music LLC,,,,Major
38,Arthur Nery,Pagsamo,Viva Records,,,,Major
39,Miguel,Sure Thing,Jive,Universal Music Publishing,,,Major
40,NewJeans,Hype Boy,ADOR,,,,Major
41,Stephen Sanchez,Until I Found You,Republic Records,,,,Major
42,Moira Dela Torre,Kumpas - Theme of “2 Good 2 Be True”,Star Music,,,,Major
43,SZA,Shirt,Top Dawg Entertainment/RCA Records,,,,Indie
44,Ace Banzuelo,Muli,Sony Music Entertainment,,,,Major
45,Arctic Monkeys,I Wanna Be Yours,Domino Recording Co,,,,Indie
46,Lo ki,Kagome,DRP Records,,,,Indie
47,NewJeans,OMG,ADOR,,,,Major
48,dhruv,double take,Little Worry/RCA Records,,,,Indie
49,Zack Tabudlo,Yakap,Universal Music Philippines Inc.,,,,Major
50,BLACKPINK,Shut Down,YG Entertainment,,,,Major
