rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:0uZFcsx96wzbixsULmrg8o","SunKissed Lola","Pasilyo","Independent",1,1,10,"4216952"
2,"spotify:track:1Qrg8KqiBpW07V7PNxwwwL","SZA","Kill Bill","Top Dawg Entertainment/RCA Records",1,2,11,"3509277"
3,"spotify:track:4iZ4pt7kvcaH6Yo8UoZ4s2","SZA","Snooze","Top Dawg Entertainment/RCA Records",3,3,9,"3139845"
4,"spotify:track:65FftemJ1DbbZ45DUfHJXE","NewJeans","OMG","ADOR",4,4,8,"2535991"
5,"spotify:track:78Sw5GDo6AlGwTwanjXbGh","d4vd","Here With Me","Darkroom/Interscope Records",3,6,19,"2201358"
6,"spotify:track:47sq83n5WN22ZzYnGn8aTy","Adie, Janine Berdin","Mahika","O/C Records",1,7,38,"2121099"
7,"spotify:track:37F0uwRSrdzkBiuj0D5UHI","The Weeknd","Reminder","Universal Republic Records",7,8,5,"2077865"
8,"spotify:track:0yLdNVWF3Srea0uzk55zFn","Miley Cyrus","Flowers","Columbia",2,5,6,"2066087"
9,"spotify:track:4AULw1VRyJP17zMvwgTIUs","Calein","Umaasa","O/C Records",7,10,22,"1902762"
10,"spotify:track:3r8RuvgbX9s7ammBn07D3W","NewJeans","Ditto","ADOR",3,9,10,"1712143"
11,"spotify:track:0V3wPSX9ygBnCm8psDIegu","Taylor Swift","Anti-Hero","Taylor Swift",1,11,18,"1703489"
12,"spotify:track:2LBqCSwhJGcFQeTHMVGwy3","The Weeknd","Die For You","Universal Republic Records",10,12,78,"1685866"
13,"spotify:track:6AQbmUe0Qwf5PZnt4HmTXv","PinkPantheress, Ice Spice","Boy's a liar Pt. 2","Warner Records",13,44,2,"1511586"
14,"spotify:track:5uCax9HTNlzGybIStD3vDh","James Arthur","Say You Won't Let Go","Columbia",1,13,322,"1467223"
15,"spotify:track:0kDeE8TezXDY1QadpjAQQq","Kenaniah","Bahala Na","O/C Records",13,17,20,"1430565"
16,"spotify:track:0HAG6nIiEKd75yGpovuSJQ","Arthur Nery","Isa lang","Viva Records",2,16,62,"1409924"
17,"spotify:track:4mc3rUoMwwiNTHA4al9nNd","Lola Amour","Fallen","Warner Music Philippines",10,15,34,"1405451"
18,"spotify:track:6dgUya35uo964z7GZXM07g","Sabrina Carpenter","Nonsense","Island Records",8,14,13,"1404224"
19,"spotify:track:16iRlyUMJVPqz62DlomMre","NOBITA","Ikaw Lang","IndieTV",2,19,91,"1349053"
20,"spotify:track:2dHHgzDwk4BJdRwy9uXhTO","Metro Boomin, The Weeknd, 21 Savage","Creepin' (with The Weeknd & 21 Savage)","Republic Records",17,20,12,"1321820"
21,"spotify:track:4Dvkj6JhhA12EX05fT7y2e","Harry Styles","As It Was","Columbia",4,24,47,"1268345"
22,"spotify:track:1AuxZd50Dpaz0cCWphYryh","iluna","panaginip","evosound",22,32,7,"1266553"
23,"spotify:track:0NZPBYD5qbEWRs3PrGiRkT","Sam Smith, Kim Petras","Unholy (feat. Kim Petras)","EMI",7,18,22,"1258746"
24,"spotify:track:2e7iqtA42EPXTtiiAlblC1","Moira Dela Torre","Babalik Sa'yo (from ""2 Good 2 Be True"")","ABS-CBN Music",2,21,27,"1248983"
25,"spotify:track:3rWDp9tBPQR9z6U5YyRSK4","Taylor Swift","Midnight Rain","Taylor Swift",2,26,18,"1242012"
26,"spotify:track:5xwBIieMMFUmLDgvG4DjFe","Stacey Ryan","Fall In Love Alone","Island Records",17,23,19,"1227310"
27,"spotify:track:0JXXNGljqupsJaZsgSbMZV","Miguel","Sure Thing","Jive",9,22,13,"1216535"
28,"spotify:track:08MFgEQeVLF37EyZ7jcwLc","Zack Tabudlo","Pano","Universal Music Philippines Inc.",1,30,63,"1202417"
29,"spotify:track:3W4U7TEgILGpq0EmquurtH","yuji, putri dahlia","Old Love","yuji",23,27,25,"1185906"
30,"spotify:track:2jbf9EytR7fzpSrPWAYCf9","Adie","Paraluman","O/C Records",3,29,94,"1180357"
31,"spotify:track:2vnd3JVvcLs2LxRFwC6mKu","Shanti Dope","City Girl","Universal Records",22,28,12,"1168910"
32,"spotify:track:6UN73IYd0hZxLi8wFPMQij","Coi Leray","Players","Uptown / Republic Records",32,39,3,"1158348"
33,"spotify:track:0a4MMyCrzT0En247IhqZbD","NewJeans","Hype Boy","ADOR",19,25,29,"1126010"
34,"spotify:track:5Y35SjAfXjjG0sFQ3KOxmm","SZA","Nobody Gets Me","Top Dawg Entertainment/RCA Records",15,31,11,"1110061"
35,"spotify:track:1gH1h30wkQdd9zhY3j7a8T","Rex Orange County","THE SHADE","Rex Orange County",3,34,34,"1100826"
