artist,weeks
Taylor Swift,85
The Weeknd,85
Dilaw,13
Jeff Grecia,13
SZA,85
FIFTY FIFTY,13
Sabrina Carpenter,28
PinkPantheress,17
Miley Cyrus,85
New West,27
keshi,85
BLACKPINK,85
iluna,20
mrld,77
James Arthur,85
NIKI,85
Justin Bieber,85
IV of Spades,85
Up Dharma Down,48
Unique Salonga,18
Arthur Nery,85
Coi Leray,0
Jimin,11
Ben&Ben,85
Silent Sanctuary,0
Denise Julia,0
Cean Jr.,0
Ruth B.,85
Because,85
The Walters,0
Dionela,10
Calvin De Leon,0
