rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,spotify:track:47OFMuRu5lzJHRbtEXPBbs,Dilaw,Uhaw (Tayong Lahat),Warner Music Philippines,1,6,4,3976673
4,spotify:track:7g0PwcVq4qNuum1ex9OO0N,Jeff Grecia,Elevate,Jeff Grecia,2,2,4,2929741
6,spotify:track:4iZ4pt7kvcaH6Yo8UoZ4s2,SZA,Snooze,Top Dawg Entertainment/RCA Records,3,5,14,2754346
7,spotify:track:3Kw7zkALCVxY4wmlnh2IWC,FIFTY FIFTY,Cupid - Twin Ver.,WM Korea,7,14,3,2484998
8,spotify:track:4P9Q0GojKVXpRTJCaL3kyy,Taylor Swift,All Of The Girls You Loved Before,Taylor Swift,7,7,2,2357174
14,spotify:track:37F0uwRSrdzkBiuj0D5UHI,The Weeknd,Reminder,Universal Republic Records,6,13,10,1724516
16,spotify:track:6dgUya35uo964z7GZXM07g,Sabrina Carpenter,Nonsense,Island Records,8,18,18,1556006
18,spotify:track:6AQbmUe0Qwf5PZnt4HmTXv,"PinkPantheress, Ice Spice",Boy's a Liar Pt. 2,Warner Records,11,16,7,1512406
19,spotify:track:4DHcnVTT87F0zZhRPYmZ3B,Miley Cyrus,Flowers,Columbia,2,15,11,1476060
21,spotify:track:50x1Ic8CaXkYNvjmxe3WXy,New West,Those Eyes,Republic Records,21,25,38,1413232
24,spotify:track:5SyigMsSY8uAV1m27fhnLD,Dilaw,Uhaw,Warner Music Philippines,24,67,2,1400959
26,spotify:track:2bdVgAQgosGUJoViVDNeOV,keshi,LIMBO,Island Records,22,24,6,1324787
27,spotify:track:0bYVPJvXr8ACmw313cVvhB,BLACKPINK,Tally,YG Entertainment,5,-1,9,1295733
28,spotify:track:1BxfuPKGuaTgP7aM0Bbdwr,Taylor Swift,Cruel Summer,Taylor Swift,9,30,72,1286776
31,spotify:track:3sqrvkNC6IPTIXvvbx9Arw,Taylor Swift,Enchanted,"Big Machine Records, LLC",12,32,73,1262696
32,spotify:track:1AuxZd50Dpaz0cCWphYryh,iluna,panaginip,evosound,22,29,12,1259591
38,spotify:track:0ug5NqcwcFR2xrfTkc7k8e,Taylor Swift,Style,"Big Machine Records, LLC",38,38,76,1163877
39,spotify:track:4z7xboLD3PqY9dOUscS2ly,mrld,Ikaw Pa Rin,O/C Records,35,42,25,1131169
43,spotify:track:5uCax9HTNlzGybIStD3vDh,James Arthur,Say You Won't Let Go,Columbia,1,40,327,1074865
44,spotify:track:5TTXEcfsYLh6fTarLaevTi,NIKI,lowkey,88rising Music,26,51,167,1054822
46,spotify:track:6I3mqTwhRpn34SLVafSH7G,Justin Bieber,Ghost,RBMG/Def Jam,6,44,80,1048030
49,spotify:track:4R2kfaDFhslZEMJqAFNpdd,Taylor Swift,cardigan,Taylor Swift,1,52,58,961745
53,spotify:track:5jQI2r1RdgtuT8S3iG8zFC,Taylor Swift,Lavender Haze,Taylor Swift,3,49,23,915701
56,spotify:track:3Eb5sztvEMa0Mqnb8DUAlU,IV Of Spades,Come Inside Of My Heart,Warner Music Philippines,44,79,105,888601
57,spotify:track:6FIEuf1JIzmCtach0gXpeG,Up Dharma Down,Tadhana,Viva Records,28,53,315,888375
58,spotify:track:2xCkiGqGMkAIg6fQTag51C,Unique Salonga,Sino,O/C Records,45,59,85,872572
59,spotify:track:7gfrASeOt73YWvpIv1fU8E,Arthur Nery,Higa,O/C Records,10,65,147,872147
60,spotify:track:6UN73IYd0hZxLi8wFPMQij,Coi Leray,Players,Uptown / Republic Records,32,47,8,866509
61,spotify:track:5zwwW9Oq7ubSxoCGyW1nbY,BLACKPINK,Pink Venom,YG Entertainment,1,161,32,861606
62,spotify:track:1u8c2t2Cy7UBoG4ArRcF5g,Taylor Swift,Blank Space,"Big Machine Records, LLC",61,61,133,848774
64,spotify:track:0mL82sxCRjrs3br407IdJh,The Weeknd,Is There Someone Else?,XO / Republic Records,45,62,48,847024
65,spotify:track:1dGr1c8CrMLDpV6mPbImSI,Taylor Swift,Lover,Taylor Swift,1,64,128,844437
66,spotify:track:4IeuTj1pEHuL9vJSiEqEfR,mrld,Ligaya,O/C Records,18,56,69,840189
67,spotify:track:59hBR0BCtJsfIbV9VzCVAp,Jimin,Set Me Free Pt.2,BIGHIT MUSIC,67,92,2,836597
69,spotify:track:4dKa5ZzlGqUy3Wo0yaXKNI,FIFTY FIFTY,Cupid,WM Korea,60,60,4,830154
70,spotify:track:5d9Rka4T0szdC1MobhtXrV,Ben&Ben,Paninindigan Kita,Sony Music Entertainment,25,68,48,829193
71,spotify:track:3WUEs51GpcvlgU7lehLgLh,Ben&Ben,Kathang Isip,Warner Music Philippines,2,74,276,822137
75,spotify:track:0EFa7HXaZUAzu9q1UdVPBR,Noah Alejandre,Nahuhulog Na Sa'yo,Warner Music Philippines,71,71,8,799155
77,spotify:track:5O2P9iiztwhomNh8xkR9lJ,One Direction,Night Changes,Syco Music,74,80,93,788791
78,spotify:track:4rG3h1QwgjSSWz8EIjCFrm,Ben&Ben,Araw-Araw,Sony Music Entertainment,23,78,185,785977
79,spotify:track:5ABJ0rNmVmLsyiPxOEwe9e,Silent Sanctuary,Bumalik Ka Na Sa'kin,"Ivory Music & Video, Inc.",67,82,40,784691
80,spotify:track:7ArVzlFsFsQXNseVXmdOyk,Denise Julia,NVMD,Denise Julia,14,76,49,784419
81,spotify:track:3Ua0m0YmEjrMi9XErKcNiR,Jimin,Like Crazy,BIGHIT MUSIC,81,-1,1,764007
82,spotify:track:3kdDccXEVz0snh6mcL4eFj,Cean Jr.,YK,O/C Records,67,73,8,751700
83,spotify:track:2eAvDnpXP5W0cVtiI0PUxV,Ruth B.,Dandelions,Columbia,20,84,92,750444
86,spotify:track:3PgjBOoA5OytNGkglObpOd,Ben&Ben,Sa Susunod na Habang Buhay,Sony Music Entertainment,2,87,161,735211
87,spotify:track:7C9Knp9FzLY6RwgktmW9Ge,"Because, Leslie",BMW,Viva Records,4,90,80,729377
88,spotify:track:3hUxzQpSfdDqwM3ZTFQY0K,Taylor Swift,august,Taylor Swift,6,83,51,729048
89,spotify:track:4SqWKzw0CbA05TGszDgMlc,The Walters,I Love You So,Warner Records,10,86,78,728760
90,spotify:track:4u8RkgV6P4TLi89SmlUtv8,IV Of Spades,Mundo,Warner Music Philippines,1,85,268,727066
91,spotify:track:68HocO7fx9z0MgDU0ZPHro,NIKI,Every Summertime,"MARVEL/Hollywood Records, Inc./Interscope Records",2,100,67,704132
92,spotify:track:1R0a2iXumgCiFb7HEZ7gUE,Taylor Swift,Don’t Blame Me,"Big Machine Records, LLC",51,77,45,701046
93,spotify:track:7bAVndaTleEnfizm6h2d3i,Dionela,Musika,Universal Music Philippines Inc.,93,141,4,698171
94,spotify:track:1r03A3l9m1XWR9iGFuGQbe,"Calvin De Leon, Kiyo",Ano Na? (feat. Kiyo),1325426 Records DK2,94,105,7,697112
95,spotify:track:4D7BCuvgdJlYvlX5WlN54t,Taylor Swift,"You're On Your Own, Kid",Taylor Swift,6,69,23,696120
