rank,artist_names,track_name,Category
1,Dilaw,Uhaw (Tayong Lahat),Major
2,Jeff Grecia,Elevate,Indie
3,SZA,Snooze,Major
4,FIFTY FIFTY,Cupid - Twin Ver.,Major
5,Taylor Swift,All Of The Girls You Loved Before,Major
6,The Weeknd,Reminder,Major
7,Sabrina Carpenter,Nonsense,Major
8,"PinkPantheress, Ice Spice",Boy's a Liar Pt. 2,Major
9,Miley Cyrus,Flowers,Major
10,New West,Those Eyes,Major
11,Dilaw,Uhaw,Major
12,keshi,LIMBO,Major
13,BLACKPINK,Tally,Major
14,Taylor Swift,Cruel Summer,Major
15,Taylor Swift,Enchanted,Major
16,iluna,panaginip,Indie
17,Taylor Swift,Style,Major
18,mrld,Ikaw Pa Rin,Indie
19,James Arthur,Say You Won't Let Go,Major-indie
20,NIKI,lowkey,Major
21,Justin Bieber,Ghost,Major-indie
22,Taylor Swift,cardigan,Major
23,Taylor Swift,Lavender Haze,Major
24,IV Of Spades,Come Inside Of My Heart,Major
25,Up Dharma Down,Tadhana,Indie
26,Unique Salonga,Sino,Indie
27,Arthur Nery,Higa,Indie
28,Coi Leray,Players,Major
29,BLACKPINK,Pink Venom,Major
30,Taylor Swift,Blank Space,Major
31,The Weeknd,Is There Someone Else?,Major-indie
32,Taylor Swift,Lover,Major
33,mrld,Ligaya,Major
34,Jimin,Set Me Free Pt.2,Indie
35,FIFTY FIFTY,Cupid,Major
36,Ben&Ben,Paninindigan Kita,Major
37,Ben&Ben,Kathang Isip,Major
38,Noah Alejandre,Nahuhulog Na Sa'yo,Major
39,One Direction,Night Changes,Major-indie
40,Ben&Ben,Araw-Araw,Major
41,Silent Sanctuary,Bumalik Ka Na Sa'kin,Indie
42,Denise Julia,NVMD,Indie
43,Jimin,Like Crazy,Major
44,Cean Jr.,YK,Indie
45,Ruth B.,Dandelions,Indie
46,Ben&Ben,Sa Susunod na Habang Buhay,Major
47,"Because, Leslie",BMW,Indie
48,Taylor Swift,august,Major
49,The Walters,I Love You So,Major
50,IV Of Spades,Mundo,Major
51,NIKI,Every Summertime,Major
52,Taylor Swift,Don't Blame Me,Major
53,Dionela,Musika,Indie
54,"Calvin De Leon, Kiyo",Ano Na? (feat. Kiyo),Major
55,Taylor Swift,"You're On Your Own, Kid",Major
