track_name,week1 streams,week2 streams,week3 streams,week4 streams,week5 streams,week6 streams,week7 streams,week8 streams,week9 streams,week10 streams
Uhaw (Tayong Lahat),0.0,0.23113290934406727,-0.0046323256219140685,-0.019136760860669955,0.027577482103099626,-0.05761819494085041,0.009155286201803836,-0.030571374561155107,-0.07135531730895783,-0.10735093523373229
Elevate,0.0,-0.008090817584216481,-0.1675236757136953,-0.03359075928599742,-0.01644607398637432,-0.07566751641882952,0.0037699418065515466,-0.054040056057857666,-0.05389663638413156,-0.07487954583542822
Snooze,0.0,-0.027481659893128896,-0.08959133175940737,-0.04209388075785636,-0.0017970775016427076,-0.019608314031504204,-0.018064436545478846,-0.004828053494369433,0.010271003183138117,-0.03407898608004589
Cupid - Twin Ver.,0.0,0.39445987481680067,0.23458125434675337,-0.015447482859245243,-0.06564851750536915,0.030524641158233834,-0.020665547402024642,-0.01577284206990892,-0.06687873160100077,-0.11421705335825838
All Of The Girls You Loved Before,0.0,-0.3199085006028405,0.04768840754191572,-0.03532984865525923,-0.022350258146345725,-0.08407360386062313,0.02630165954311381,0.02418232615616067,-0.06141101530701576,0.02924610294158736
Reminder,0.0,-0.043800695383516275,-0.10930932497099721,-0.024386341415588375,-0.015282832547638958,-0.03842904687119064,-0.07495695729338026,-0.028405908416202497,0.0007831470044832312,-0.0916367992631888
Nonsense,0.0,0.04823824586794645,-0.03720391278091306,-0.03673371400480008,-0.005250886330838256,-0.050537164214217056,0.03582747489340021,0.06535598809374998,0.019768935345661376,0.029359683489625255
Boy's a Liar Pt. 2,0.0,-0.07575082352225526,-0.044442854690093236,0.007739669211119793,-0.07481200605622063,-0.03956629164582248,-0.037408064183051426,-0.06884697429768549,0.03587452311882622,-0.13769641522516274
Flowers,0.0,-0.03304811457528822,-0.06438194634686001,-0.04465219097370954,-0.04522951025271216,-0.02668263744419397,0.03927858382178173,-0.04049267768503817,-0.042944193694638644,0.012494454077998096
Those Eyes,0.0,0.041821866473445324,0.01934273155040689,-0.01341204612160729,-0.028669819259451335,-0.029389494762677826,-0.04887225047028365,0.03793357444443268,0.02821259291724587,-0.05622065959627043
Uhaw,0.0,0.6019619417841635,-0.2756225484932159,-0.056737126224389645,0.005024552159481388,-0.08794848086687101,-2.27655764564183e-05,-0.08387456166374618,-0.11923072442834348,-0.08230240413482626
LIMBO,0.0,0.04331866179242394,-0.003740481487510605,-0.04766794601326796,-0.0024630804824892216,-0.023403529908205267,-0.03814653536027979,0.033461427032164925,-0.009328256838109894,-0.04321816385400046
Tally,0.0,-0.0647062319166063,-0.05894176951557528,0.39414446802167546,0.2206606933733175,-0.11942957807800769,-0.020175902081837616,-0.058981641503507265,-0.03549373608220996,-0.08144404579163211
Cruel Summer,0.0,0.01977888925500637,0.07207137179771483,0.07779209710541868,0.1468172234060725,0.009533892822205958,0.05057629853021517,0.04579901421204746,0.03738995672153855,0.025834846905166353
Enchanted,0.0,0.06411994652711339,-0.04790944137653874,0.003922500519821126,0.0200092812916568,0.003431292471309133,0.1848349596841985,-0.03652031317618021,0.01811429291148836,0.051879706630273636
panaginip,0.0,0.06607462263544273,-0.05498138988306678,0.00019385526104276352,0.0689053397561048,-0.03718827647563083,-0.038558057566844606,-0.027088747897874965,-0.07976661657876727,-0.10493877119039763
Style,0.0,-0.03457753697340871,-0.07717822456264634,0.0689701064602335,0.00480590096433775,0.022874848710130458,0.005073588984869648,0.08337634594541732,0.08409406036373013,0.03559421979674249
Ikaw Pa Rin,0.0,-0.024820340727159218,-0.036737609612244815,-0.015255494236604106,0.1318305971761098,-0.13460103014438907,-0.2546717117510918,0.03544007509022995,0.028685648831220156,-0.14283677587931798
Say You Won't Let Go,0.0,-0.06367311243737583,-0.10895695158605956,-0.06731395411076224,-0.030448240859968223,-0.013586768869553234,0.006864453606494569,0.040451497313787055,-0.013482277213662686,-0.07155636144581223
lowkey,0.0,-0.04697569826947101,-0.115944854671029,-0.1080143803131488,0.05497899008604534,0.0016262029118598864,0.10648541658708033,0.06095507102991493,0.18903351773511234,-0.1403166821752101
Ghost,0.0,-0.037649685600603,-0.11741452271131858,-0.068455801319102,-0.024008248765398643,-0.04458876544994672,0.04704217810949274,0.10134820496668095,-0.03383517674054504,-0.026068020388240187
cardigan,0.0,-0.0729881621427717,0.08420513062097545,0.01629799445905422,0.02038628793863051,-0.038412694295607674,-0.006144841051646588,0.19686735040058467,0.09337597650032392,0.042514902710606206
Lavender Haze,0.0,-0.085298585455296,-0.023254731116425287,-0.02683363585803955,-0.018391985550679335,-0.14873598722487869,0.04083700222012121,-0.019123485263132012,-0.059484249968713376,0.5262530075782361
Come Inside Of My Heart,0.0,0.027752613377657775,0.07594972746046591,-0.07569528120623958,-0.0591349901568301,0.04459852434364886,0.05047241571686878,-0.08398208382211791,0.0442109552360439,-0.02605792011595176
Tadhana,0.0,0.0008341072182356246,0.024128460178424405,0.07059102605074408,0.11634030776111537,0.010075707941385348,-0.0765092892635364,0.07264228543282858,-0.06420073728080411,-0.06255593938918114
Sino,0.0,-0.03159853857332118,-0.07942485207100591,0.10033346788603992,0.026899270270838604,0.06992711824683329,0.07328313595719371,-0.04065139725245659,-0.09408379780379572,-0.030396543567353107
Higa,0.0,0.011130004460257359,-0.07276147752349027,0.16394497174353573,0.048549769108322094,-0.043979069133585624,-0.042825264159704335,-0.004533483719427744,0.036475939564277526,-0.10749885377574764
Players,0.0,-0.09362395543496949,-0.06727291015975645,0.039811725648012164,-0.07091131556283736,-0.08024468064061219,-0.10379331058565788,-0.10752911207527571,-0.018295423551060064,-0.01803571533387982
