rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,stream_category
1,spotify:track:47OFMuRu5lzJHRbtEXPBbs,Dilaw,Uhaw (Tayong Lahat),Warner Music Philippines,1,1,11,4528268,10
2,spotify:track:7FbrGaHYVDmfr7KoLIZnQ7,FIFTY FIFTY,Cupid - Twin Ver.,WM Korea,2,2,10,3909180,10
3,spotify:track:1daDRI9ahBonbWD8YcxOIB,Miley Cyrus,Angels Like You,RCA Records Label,3,4,6,3332191,10
4,spotify:track:0uZFcsx96wzbixsULmrg8o,SunKissed Lola,Pasilyo,Independent,1,3,22,3311250,10
5,spotify:track:47sq83n5WN22ZzYnGn8aTy,"Adie, Janine Berdin",Mahika,O/C Records,1,5,50,2503627,10
6,spotify:track:1Qrg8KqiBpW07V7PNxwwwL,SZA,Kill Bill,Top Dawg Entertainment/RCA Records,1,6,23,2317045,10
7,spotify:track:4iZ4pt7kvcaH6Yo8UoZ4s2,SZA,Snooze,Top Dawg Entertainment/RCA Records,3,8,21,2233959,10
8,spotify:track:4W4fNrZYkobj539TOWsLO2,"The Weeknd, Ariana Grande",Die For You (with Ariana Grande) - Remix,XO / Republic Records,1,7,12,2232997,10
9,spotify:track:4AULw1VRyJP17zMvwgTIUs,Calein,Umaasa,O/C Records,7,9,34,2097478,10
10,spotify:track:7g0PwcVq4qNuum1ex9OO0N,Jeff Grecia,Elevate,Jeff Grecia,2,10,11,2018215,10
11,spotify:track:1BxfuPKGuaTgP7aM0Bbdwr,Taylor Swift,Cruel Summer,Taylor Swift,9,12,79,1928673,10
12,spotify:track:78Sw5GDo6AlGwTwanjXbGh,d4vd,Here With Me,Darkroom/Interscope Records,3,11,31,1828078,10
13,spotify:track:0V3wPSX9ygBnCm8psDIegu,Taylor Swift,Anti-Hero,Taylor Swift,1,13,30,1636854,10
14,spotify:track:6dgUya35uo964z7GZXM07g,Sabrina Carpenter,Nonsense,Island Records,8,22,25,1576615,10
15,spotify:track:0bYVPJvXr8ACmw313cVvhB,BLACKPINK,Tally,YG Entertainment,5,14,16,1575771,10
16,spotify:track:16iRlyUMJVPqz62DlomMre,NOBITA,Ikaw Lang,IndieTV,2,17,103,1560476,10
17,spotify:track:4mc3rUoMwwiNTHA4al9nNd,Lola Amour,Fallen,Warner Music Philippines,10,16,46,1536705,9
18,spotify:track:4P9Q0GojKVXpRTJCaL3kyy,Taylor Swift,All Of The Girls You Loved Before,Taylor Swift,7,21,9,1524987,9
19,spotify:track:3sqrvkNC6IPTIXvvbx9Arw,Taylor Swift,Enchanted,"Big Machine Records, LLC",12,18,80,1500583,9
20,spotify:track:65FftemJ1DbbZ45DUfHJXE,NewJeans,OMG,ADOR,4,15,20,1490843,9
21,spotify:track:2LBqCSwhJGcFQeTHMVGwy3,The Weeknd,Die For You,Universal Republic Records,10,23,90,1471790,9
22,spotify:track:0kDeE8TezXDY1QadpjAQQq,Kenaniah,Bahala Na,O/C Records,13,19,32,1461761,9
23,spotify:track:50x1Ic8CaXkYNvjmxe3WXy,New West,Those Eyes,Republic Records,18,27,45,1378108,9
24,spotify:track:69CrOS7vEHIrhC2ILyEi0s,JISOO,FLOWER,YG Entertainment,8,20,7,1343664,9
25,spotify:track:0JmnkIqdlnUzPaf8sqBRs3,Kali Uchis,Moonlight,Geffen Records,25,30,6,1334600,9
26,spotify:track:3rWDp9tBPQR9z6U5YyRSK4,Taylor Swift,Midnight Rain,Taylor Swift,2,25,30,1319728,9
27,spotify:track:0HAG6nIiEKd75yGpovuSJQ,Arthur Nery,Isa lang,Viva Records,2,26,74,1291789,9
28,spotify:track:5SyigMsSY8uAV1m27fhnLD,Dilaw,Uhaw,Warner Music Philippines,9,24,9,1287705,9
29,spotify:track:2bdVgAQgosGUJoViVDNeOV,keshi,LIMBO,Island Records,22,35,13,1269905,9
30,spotify:track:2jbf9EytR7fzpSrPWAYCf9,Adie,Paraluman,O/C Records,3,28,106,1250884,9
31,spotify:track:0ug5NqcwcFR2xrfTkc7k8e,Taylor Swift,Style,"Big Machine Records, LLC",31,41,83,1240480,9
32,spotify:track:7bAVndaTleEnfizm6h2d3i,Dionela,Musika,Universal Music Philippines Inc.,31,31,11,1237181,9
33,spotify:track:1AuxZd50Dpaz0cCWphYryh,iluna,panaginip,evosound,22,32,19,1221852,9
34,spotify:track:37F0uwRSrdzkBiuj0D5UHI,The Weeknd,Reminder,Universal Republic Records,6,33,17,1219439,9
35,spotify:track:5xwBIieMMFUmLDgvG4DjFe,Stacey Ryan,Fall In Love Alone,Island Records,17,29,31,1203106,9
36,spotify:track:4DHcnVTT87F0zZhRPYmZ3B,Miley Cyrus,Flowers,Columbia,2,34,18,1182232,9
37,spotify:track:5CUQnKjA6nlteCnxMKsjIu,Adie,Tahanan,O/C Records,6,37,76,1153335,9
38,spotify:track:4R2kfaDFhslZEMJqAFNpdd,Taylor Swift,cardigan,Taylor Swift,1,54,65,1146569,9
39,spotify:track:7C9Knp9FzLY6RwgktmW9Ge,"Because, Leslie",BMW,Viva Records,4,52,87,1144957,9
40,spotify:track:4Dvkj6JhhA12EX05fT7y2e,Harry Styles,As It Was,Columbia,4,38,59,1137527,9
41,spotify:track:08MFgEQeVLF37EyZ7jcwLc,Zack Tabudlo,Pano,Universal Music Philippines Inc.,1,42,75,1101905,9
42,spotify:track:2LlOeW5rVcvl3QcPNPcDus,Daniel Caesar,Always,Republic Records,40,40,6,1100223,9
43,spotify:track:1Y3LN4zO1Edc2EluIoSPJN,"Stephen Sanchez, Em Beihold",Until I Found You (with Em Beihold) - Em Beihold Version,Republic Records,11,45,29,1092253,9
44,spotify:track:6FIEuf1JIzmCtach0gXpeG,Up Dharma Down,Tadhana,Viva Records,28,49,322,1088866,9
45,spotify:track:3W4U7TEgILGpq0EmquurtH,"yuji, putri dahlia",Old Love,yuji,23,36,37,1074325,9
46,spotify:track:6AQbmUe0Qwf5PZnt4HmTXv,"PinkPantheress, Ice Spice",Boy's a Liar Pt. 2,Warner Records,11,39,14,1072070,9
47,spotify:track:1gH1h30wkQdd9zhY3j7a8T,Rex Orange County,THE SHADE,Rex Orange County,3,43,46,1057992,9
48,spotify:track:0mL82sxCRjrs3br407IdJh,The Weeknd,Is There Someone Else?,XO / Republic Records,44,44,55,1050540,9
49,spotify:track:0QzuaeCEEOV40Pn7IvKEny,dhruv,double take,Little Worry/RCA Records,1,53,99,1040105,9
50,spotify:track:6Rv8Ltr2MuAIM3LHF4L8qs,Flow G,Rapstar,Flow G,50,63,8,1004751,9
51,spotify:track:2e7iqtA42EPXTtiiAlblC1,Moira Dela Torre,"Babalik Sa'yo (from ""2 Good 2 Be True"")",ABS-CBN Music,2,47,39,986019,9
52,spotify:track:5TTXEcfsYLh6fTarLaevTi,NIKI,lowkey,88rising Music,26,61,174,983360,9
53,spotify:track:34ob61cxp34Sf7KHK6RnSU,"PDL, Skusta Clee, Yuridope",Sa Susunod Na Lang,Panty Droppaz League,5,67,179,971200,9
54,spotify:track:2xCkiGqGMkAIg6fQTag51C,Unique Salonga,Sino,O/C Records,45,51,92,968307,9
55,spotify:track:51vRumtqbkNW9wrKfESwfu,"LE SSERAFIM, Nile Rodgers",UNFORGIVEN (feat. Nile Rodgers),SOURCE MUSIC,55,56,3,958136,9
56,spotify:track:639Wg7NFfgbwjSwDphqgvz,Rob Deniel,Ang Pag-ibig,Vicor Records,56,58,5,929053,8
57,spotify:track:0WZqHCoOBXqgCCIsUZLC2a,Arthur Nery,Pagsamo,Viva Records,1,65,85,913388,8
58,spotify:track:5hCJIUsAqjKFlvKrvCcUIb,"Bosx1ne, John Roa, Skusta Clee, Emcee Rhenn, Flow G, Bullet-D, Kent Mnl",Need You,Ex Battalion Music,58,82,24,913257,8
59,spotify:track:7gfrASeOt73YWvpIv1fU8E,Arthur Nery,Higa,O/C Records,10,64,154,909065,8
60,spotify:track:3U8MbjNAP56IrzpbEFn1qN,Al James,Pa-umaga,ProducedbyJimP,46,46,107,908001,8
61,spotify:track:4u8RkgV6P4TLi89SmlUtv8,IV Of Spades,Mundo,Warner Music Philippines,1,72,275,900383,8
62,spotify:track:4IeuTj1pEHuL9vJSiEqEfR,mrld,Ligaya,O/C Records,18,48,76,898396,8
63,spotify:track:70t7Q6AYG6ZgTYmJWcnkUM,IVE,I AM,Starship Entertainment,35,50,6,891871,8
64,spotify:track:6I3mqTwhRpn34SLVafSH7G,Justin Bieber,Ghost,RBMG/Def Jam,6,76,87,891646,8
65,spotify:track:1u8c2t2Cy7UBoG4ArRcF5g,Taylor Swift,Blank Space,"Big Machine Records, LLC",61,68,140,889441,8
66,spotify:track:5ABJ0rNmVmLsyiPxOEwe9e,Silent Sanctuary,Bumalik Ka Na Sa'kin,"Ivory Music & Video, Inc.",66,80,47,886754,8
67,spotify:track:5odlY52u43F5BjByhxg7wg,JVKE,golden hour,JVKE,30,62,37,882217,8
68,spotify:track:3WUEs51GpcvlgU7lehLgLh,Ben&Ben,Kathang Isip,Warner Music Philippines,2,75,283,873177,8
69,spotify:track:2dHHgzDwk4BJdRwy9uXhTO,"Metro Boomin, The Weeknd, 21 Savage",Creepin' (with The Weeknd & 21 Savage),Republic Records,16,57,24,867237,8
70,spotify:track:1dGr1c8CrMLDpV6mPbImSI,Taylor Swift,Lover,Taylor Swift,1,70,135,866987,8
71,spotify:track:3Eb5sztvEMa0Mqnb8DUAlU,IV Of Spades,Come Inside Of My Heart,Warner Music Philippines,44,59,112,858950,8
72,spotify:track:6Hc5L8x8AbFkFwwqdTvfoj,Shoti,LDR,7th Street Records,72,-1,1,856337,8
73,spotify:track:5XeFesFbtLpXzIVDNQP22n,Arctic Monkeys,I Wanna Be Yours,Domino Recording Co,37,69,40,853185,8
74,spotify:track:3h8uWt8HNyDNubPSEBgTPG,Zack Tabudlo,Yakap,Universal Music Philippines Inc.,41,60,32,848372,7
75,spotify:track:5O2P9iiztwhomNh8xkR9lJ,One Direction,Night Changes,Syco Music,74,77,100,839878,7
76,spotify:track:5uCax9HTNlzGybIStD3vDh,James Arthur,Say You Won't Let Go,Columbia,1,78,334,837989,7
77,spotify:track:7KA4W4McWYRpgf0fWsJZWB,"Tyler, The Creator, Kali Uchis",See You Again (feat. Kali Uchis),Columbia,71,71,5,836208,7
78,spotify:track:3kdDccXEVz0snh6mcL4eFj,Cean Jr.,YK,O/C Records,67,94,15,835593,7
79,spotify:track:0PhsD58bUDnIFacJ7itwzb,PLAYERTWO,THAT'S MY BABY,Warner Music Philippines,79,95,19,829953,7
80,spotify:track:5d9Rka4T0szdC1MobhtXrV,Ben&Ben,Paninindigan Kita,Sony Music Entertainment,25,66,55,804837,7
81,spotify:track:4rG3h1QwgjSSWz8EIjCFrm,Ben&Ben,Araw-Araw,Sony Music Entertainment,23,87,192,793339,7
82,spotify:track:1oYQtNQUxSODedcc5hPmp9,Ace Banzuelo,Muli,Sony Music Entertainment,2,83,53,792341,7
83,spotify:track:4z7xboLD3PqY9dOUscS2ly,mrld,Ikaw Pa Rin,O/C Records,35,88,32,790953,7
84,spotify:track:3hUxzQpSfdDqwM3ZTFQY0K,Taylor Swift,august,Taylor Swift,6,97,58,789328,7
85,spotify:track:1K0rybxoxW5svDYwXezXyN,Sugarcane,Leonora,Warner Music Philippines,85,108,3,788284,7
86,spotify:track:3AOf6YEpxQ894FmrwI9k96,SEVENTEEN,Super,PLEDIS Entertainment,40,55,4,784504,7
87,spotify:track:2vnd3JVvcLs2LxRFwC6mKu,Shanti Dope,City Girl,Universal Records,22,85,24,777620,7
88,spotify:track:2eAvDnpXP5W0cVtiI0PUxV,Ruth B.,Dandelions,Columbia,20,86,99,776279,7
89,spotify:track:4D7BCuvgdJlYvlX5WlN54t,Taylor Swift,"You're On Your Own, Kid",Taylor Swift,6,98,30,772728,7
90,spotify:track:4SqWKzw0CbA05TGszDgMlc,The Walters,I Love You So,Warner Records,10,90,85,771001,7
91,spotify:track:0tr6XR58KBdDYd8qvHVTs8,Taylor Swift,Back To December,"Big Machine Records, LLC",54,79,44,760188,7
92,spotify:track:08hFNg8Oz3lvaAms7qrIif,Hale,The Day You Said Goodnight,PolyEast Records,41,91,245,750221,7
93,spotify:track:73RbfOTJIjHzi2pcVHjeHM,Doechii,What It Is (Solo Version),Top Dawg Entertainment/Capitol Records,93,-1,1,749555,6
94,spotify:track:1qrpoAMXodY6895hGKoUpA,Taylor Swift,You Belong With Me (Taylor’s Version),Taylor Swift,11,100,48,742431,6
95,spotify:track:2HbKqm4o0w5wEeEFXm2sD4,"Kendrick Lamar, Jay Rock",Money Trees,Aftermath,95,99,3,737867,6
96,spotify:track:011GTFfE8rqTRMhz5g8IAW,"Al James, Rjay Ty, Lexus",Repeat,Al James,39,109,67,736982,6
