,lval,op,rval,Estimate,Std. Err,z-value,p-value
0,chart_success,~,intrinsic,0.3798657703565156,0.8307029869020148,0.4572822974583396,0.6474681520536196
1,chart_success,~,extrinsic,0.46647768878927515,0.8504762561617184,0.5484899612529873,0.5833555204127157
2,stream1,~,chart_success,1.0,-,-,-
3,stream2,~,chart_success,1.1852378155835865,0.1131087628748018,10.478744400069406,0.0
4,stream3,~,chart_success,1.191488946316618,0.11342408239490248,10.50472634336834,0.0
5,stream4,~,chart_success,1.2258445211972415,0.11569207912363545,10.59575150237066,0.0
6,stream5,~,chart_success,1.1551044216029498,0.11149748881587915,10.359914235378575,0.0
7,stream6,~,chart_success,1.1913479148454893,0.11341617748475397,10.50421501813648,0.0
8,stream7,~,chart_success,1.2359658524346284,0.11593623086598667,10.660738607697612,0.0
9,stream8,~,chart_success,1.2009237438556204,0.11395383189572378,10.538686798562562,0.0
10,stream9,~,chart_success,1.0374613548240101,0.10503997572246782,9.876824015604019,0.0
11,stream_category,~,chart_success,0.9609372772116024,0.1011361558738254,9.50142181002943,0.0
12,week2streams,~,chart_success,0.05760208764202564,0.27237879515273045,0.21147787077006144,0.8325143982970447
13,week3streams,~,chart_success,0.11960424823596602,0.20821938461714132,0.5744145697832659,0.5656872958796835
14,week4streams,~,chart_success,-0.48929096819478063,0.23222123925434193,-2.107003518557466,0.03511727457947611
15,week5streams,~,chart_success,0.5751973333459007,0.2172782667577195,2.647284249485655,0.008114111747890895
16,week6streams,~,chart_success,0.33500841235285467,0.2451975563196584,1.3662795721942091,0.17185123020243465
17,week7streams,~,chart_success,-0.21573483320948728,0.2766548302526628,-0.7797978188621597,0.43550989040642607
18,week8streams,~,chart_success,0.005731223137160351,0.2290000986404674,0.025027164491022363,0.9800332962610019
19,week9streams,~,chart_success,0.21358614974522577,0.26406539119633715,0.8088381017170553,0.4186082767870891
20,week10streams,~,chart_success,0.09494994166502423,0.22176857009603893,0.4281487752005486,0.668542807814563
21,danceability,~,intrinsic,1.0,-,-,-
22,key_0,~,intrinsic,0.1727761357346547,0.08680072606521444,1.9904918261035671,0.046536783523234426
23,key_1,~,intrinsic,0.11276286374350342,0.08030855202560827,1.4041202449540142,0.16028304601199972
24,key_2,~,intrinsic,0.06636720890257022,0.07696313102190623,0.8623247004181471,0.3885088640683241
25,key_3,~,intrinsic,0.12904925714227444,0.08184613923818562,1.5767299269320854,0.11485768121888351
26,key_4,~,intrinsic,0.2872262186810848,0.10424971612319103,2.755175067708738,0.005866073845207875
27,key_5,~,intrinsic,0.01427950420346605,0.07521565043522113,0.1898475133918347,0.8494286225881358
28,key_6,~,intrinsic,0.4043929629313172,0.1266601037838015,3.192741446180957,0.0014092907122864595
29,key_7,~,intrinsic,0.20404262233305917,0.09099629802276284,2.242317838905659,0.024940837628631973
30,key_8,~,intrinsic,0.23589220408832695,0.09574718166172214,2.463698669682811,0.013751166382907076
31,key_9,~,intrinsic,0.07725733119364804,0.07760374230534177,0.9955361545410236,0.3194755691749871
32,key_10,~,intrinsic,0.08586874973998002,0.07817461920947875,1.0984223601880994,0.27202010293248047
33,key_11,~,intrinsic,0.17253232961411477,0.08677001598246963,1.9883865141500439,0.04676895913193335
34,loudness,~,intrinsic,1.460429436646243,0.3827210859139696,3.815910568801823,0.0001356816437616537
35,speechiness,~,intrinsic,-0.26075290428923265,0.30482043695154043,-0.8554311741565775,0.39231249158331827
36,liveness,~,intrinsic,-0.14586543848820438,0.2555648700313339,-0.5707569998558472,0.568164374784141
37,valence,~,intrinsic,0.43177821148855394,0.1904641942994216,2.2669783844385187,0.023391546207171876
38,tempo,~,intrinsic,4.86872156901916,1.2722904075547465,3.8267376222482694,0.0001298527956923312
39,duration_ms,~,intrinsic,-0.7600801576773522,0.3879452619576907,-1.9592458839161884,0.050083997972625305
40,music_label,~,extrinsic,1.0,-,-,-
41,artist_collab,~,extrinsic,0.1273875873771472,0.09395276369922127,1.3558684423973701,0.17514102988974245
42,chart_history,~,extrinsic,0.5626973491378269,0.2824021130619385,1.9925394432598293,0.04631190194668333
43,mean_trends,~,extrinsic,-0.051288685130755726,0.19218087772180292,-0.26687715103858195,0.7895637496173884
44,chart_success,~~,chart_success,0.13442752844822659,0.0735493180042238,1.8277195777488913,0.06759164835069909
45,intrinsic,~~,intrinsic,0.5106957915608328,0.2760579594481644,1.84995858326221,0.06431951920393009
46,intrinsic,~~,extrinsic,0.4920888723321339,0.2838543587301818,1.7335963221835047,0.08298973349436922
47,extrinsic,~~,extrinsic,0.6153824685983718,0.6043934623061911,1.0181818748489297,0.30859153143199247
48,artist_collab,~~,artist_collab,0.13418123474514643,0.027384058262071888,4.899976236396389,9.584824769426348e-07
49,key_3,~~,key_3,0.13418124131061,0.026963094429619486,4.976477816961276,6.47516930962766e-07
50,week7streams,~~,week7streams,1.932913536670939,0.3866747002301494,4.998810461391622,5.768507029824121e-07
51,key_0,~~,key_0,0.13418123879004004,0.027064649087125563,4.957804490763237,7.129425290131053e-07
52,loudness,~~,loudness,0.25796514648976027,0.07753224192888553,3.3271983379900845,0.0008772391157179094
53,chart_history,~~,chart_history,0.24249656032191247,0.09239334540600769,2.6246106714036137,0.008674809565833996
54,tempo,~~,tempo,2.620855188345127,0.8241584512498314,3.180037994353435,0.0014725574360681115
55,stream9,~~,stream9,0.13418123599590484,0.029157103531704094,4.60200842122059,4.1843628153515056e-06
56,key_6,~~,key_6,0.13518216829730192,0.02834766846663651,4.768722635924519,1.8539770694214752e-06
57,key_11,~~,key_11,0.13418123517615005,0.02706399762969734,4.9579236965331015,7.125053413936655e-07
58,key_10,~~,key_10,0.1341812374982085,0.026892231189445722,4.989591103391988,6.050723320161211e-07
59,key_1,~~,key_1,0.13418124099612921,0.026932967763388424,4.982044391466865,6.291599630170452e-07
60,week2streams,~~,week2streams,1.879266086866718,0.3758597741339632,4.999912776491782,5.735625541181122e-07
61,key_5,~~,key_5,0.13418124093563433,0.02683779258356544,4.999712271895367,5.741593014363389e-07
62,week6streams,~~,week6streams,1.5081224902029846,0.301846446848251,4.996323481509045,5.843361192692242e-07
63,valence,~~,valence,0.5817839965334396,0.11778971473761898,4.939174849217065,7.845384257798571e-07
64,danceability,~~,danceability,1.4941680147772383,0.3066461905955745,4.872612348030028,1.1013218927935498e-06
65,liveness,~~,liveness,1.520616780245526,0.3042846002813997,4.997350437170582,5.812338643718107e-07
66,key_4,~~,key_4,0.1341812381778641,0.02747912242133835,4.883024869410872,1.0447068885532929e-06
67,week3streams,~~,week3streams,1.09653723688761,0.21933571941320495,4.999355507694815,5.752225931132671e-07
68,week5streams,~~,week5streams,1.1514675382835253,0.23094925933231353,4.985803122328657,6.170495387980424e-07
69,speechiness,~~,speechiness,2.1064736126907997,0.42181042582879075,4.993887025307443,5.917602194926985e-07
70,music_label,~~,music_label,5.415622063801794,1.121020881839479,4.830973402485143,1.358671556817015e-06
71,stream7,~~,stream7,0.13418124060257203,0.030260233608361692,4.434243381421219,9.239620154755102e-06
72,week8streams,~~,week8streams,1.3286636967566325,0.2657328042595387,4.999998778675212,5.733067753865839e-07
73,mean_trends,~~,mean_trends,0.9212389814181471,0.1843176646108892,4.998104676282469,5.789655577181918e-07
74,week10streams,~~,week10streams,1.2448608830562427,0.24898999330190613,4.999642220729009,5.743679307723681e-07
75,key_2,~~,key_2,0.134181240780738,0.02686965685519465,4.9937831919056785,5.9207862079802e-07
76,week9streams,~~,week9streams,1.760563843847474,0.35220294004353225,4.998719896048766,5.771216609051777e-07
77,stream1,~~,stream1,0.1341812331768572,0.02897869725441621,4.63034041848718,3.6506504701439013e-06
78,stream2,~~,stream2,0.1343804238332631,0.029990869448248438,4.4807111731344165,7.439473063142188e-06
79,week4streams,~~,week4streams,1.3339929403809228,0.26727255852357745,4.991133200299175,6.002608385902164e-07
80,key_8,~~,key_8,0.13418123641449303,0.027265813138776754,4.921226289002275,8.600361944832713e-07
81,stream8,~~,stream8,0.13418123857618452,0.030044965670747992,4.466014041825263,7.96903817046335e-06
82,stream3,~~,stream3,0.1341812379044983,0.029988585103253227,4.474410427768651,7.662243830086624e-06
83,stream4,~~,stream4,0.13612047113547673,0.030578703295699977,4.451479508948528,8.528067186874821e-06
84,key_9,~~,key_9,0.13418124080575006,0.026881544485216038,4.991574828394021,5.988897229247669e-07
85,stream_category,~~,stream_category,0.13445302981493587,0.028855979799354753,4.659451203707972,3.1705354235356253e-06
86,key_7,~~,key_7,0.13418123849281505,0.027156090129408585,4.941110367819957,7.767891945231753e-07
87,stream6,~~,stream6,0.13418124167486747,0.029987748078166655,4.474535444296566,7.65776233890847e-06
88,stream5,~~,stream5,0.13474567450825256,0.02988874265584686,4.508241649883699,6.5367101271807115e-06
89,duration_ms,~~,duration_ms,2.708271656728821,0.5460727470680388,4.959543707802763,7.065894931379546e-07
