,title,artist/s,danceability,key,loudness,speechiness,liveness,valence,tempo,duration_ms,music_label,artist_collab,chart_history,mean_trends,stream1,stream2,stream3,stream4,stream5,stream6,stream7,stream8,stream9,stream_category
0,Uhaw (Tayong Lahat),Dilaw,0.635,5.0,-6.662,0.0716,0.105,0.316,135.927,241186.0,3,0.0,12.0,48.507936507936506,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
1,Elevate,Jeff Grecia,0.894,0.0,-10.993,0.14,0.0996,0.6,121.08,218651.0,1,0.0,12.0,15.444444444444445,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
2,Snooze,SZA,0.559,5.0,-7.231,0.132,0.11,0.392,143.008,201800.0,3,0.0,84.0,63.6031746031746,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
3,Cupid - Twin Ver.,FIFTY FIFTY,0.783,11.0,-8.332,0.0331,0.347,0.726,120.018,174253.0,3,0.0,12.0,67.92063492063492,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
4,All Of The Girls You Loved Before,Taylor Swift,0.718,2.0,-9.66,0.0398,0.126,0.396,95.96,221407.0,3,0.0,84.0,28.714285714285715,10.0,10.0,10.0,10.0,10.0,9.0,9.0,9.0,9.0,9.0
5,Reminder,The Weeknd,0.706,8.0,-6.923,0.193,0.164,0.388,160.053,218880.0,3,0.0,84.0,48.77777777777778,10.0,10.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
6,Nonsense,Sabrina Carpenter,0.74,8.0,-4.912,0.034,0.224,0.732,138.992,163648.0,3,0.0,27.0,13.031746031746032,10.0,10.0,10.0,9.0,9.0,9.0,9.0,10.0,10.0,10.0
7,Boy's a Liar Pt. 2,"PinkPantheress, Ice Spice",0.696,5.0,-8.254,0.05,0.248,0.857,132.962,131013.0,3,1.0,16.0,16.38095238095238,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
8,Flowers,Miley Cyrus,0.707,0.0,-4.325,0.0668,0.0322,0.646,117.999,200455.0,3,0.0,84.0,46.19047619047619,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
9,Those Eyes,New West,0.593,4.0,-8.296,0.0284,0.3,0.226,119.988,220750.0,3,0.0,26.0,31.174603174603174,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
10,Uhaw,Dilaw,0.695,2.0,-9.196,0.0419,0.0643,0.184,122.0,267049.0,3,0.0,12.0,48.507936507936506,9.0,10.0,10.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
