,lval,op,rval,Estimate,Std. Err,z-value,p-value
0,chart_success,~,intrinsic,0.033846162827130995,3.414103257610969,0.009913631859747868,0.9920901957605568
1,chart_success,~,extrinsic,0.47475260639799766,1.342827527713855,0.35354697204182556,0.7236784208186791
2,chart_success,~,crowdsource,-0.45522786258837583,1.0336933596604245,-0.44038965553332077,0.6596549157981859
3,stream1,~,chart_success,1.0,-,-,-
4,stream2,~,chart_success,1.0913152860669926,0.09914289996631999,11.007498130745798,0.0
5,stream3,~,chart_success,1.080020981500071,0.09855006838854741,10.959109406509778,0.0
6,stream4,~,chart_success,1.0791227234333884,0.09883300576455946,10.918647217845038,0.0
7,stream5,~,chart_success,1.0165832985728935,0.09555836613465203,10.638349520645631,0.0
8,stream6,~,chart_success,1.0587218684762536,0.0975026081255079,10.858395368281643,0.0
9,stream7,~,chart_success,0.9329939144936163,0.0915330449252565,10.192973644056982,0.0
10,stream8,~,chart_success,0.934039776207383,0.0915810846454498,10.199046886300353,0.0
11,stream9,~,chart_success,0.820543566358429,0.0865457774688125,9.481035243396336,0.0
12,stream_category,~,chart_success,0.8848700662350772,0.08940519544856246,9.89730028311691,0.0
13,week2streams,~,chart_success,0.506708906098734,0.21010420798818008,2.4117027971416376,0.01587821876801576
14,week3streams,~,chart_success,-0.315421429087018,0.15799838473696012,-1.9963585679065234,0.04589490722477807
15,week4streams,~,chart_success,0.18181562452582692,0.1691973335229731,1.0745773632423468,0.2825639911017137
16,week5streams,~,chart_success,0.21610054789794053,0.1781581134613892,1.212970566976515,0.22514107378901715
17,week6streams,~,chart_success,0.24357922841032634,0.18644440157295383,1.306444314519735,0.19140150420740998
18,week7streams,~,chart_success,-0.0453078194750022,0.17161223235575593,-0.2640127621020283,0.7917700848181066
19,week8streams,~,chart_success,0.08524436084877263,0.1800440342005563,0.47346395689702764,0.6358822097397419
20,week9streams,~,chart_success,0.3477426300099715,0.17641765133829854,1.9711328621032882,0.04870868077717749
21,week10streams,~,chart_success,-0.03556906642456228,0.17366970488557285,-0.20480869963931328,0.8377215897650039
22,danceability,~,intrinsic,1.0,-,-,-
23,key_0,~,intrinsic,0.05724910406082158,0.0999448072084878,0.5728071888800131,0.5667752510467949
24,key_1,~,intrinsic,0.05577464186371462,0.09986965156902998,0.5584743812248576,0.5765204936588733
25,key_2,~,intrinsic,0.046290069634510066,0.09943195962066405,0.4655451809523069,0.6415410896778655
26,key_3,~,intrinsic,0.17333418769445677,0.11136015733294366,1.5565188829130974,0.1195847560151806
27,key_4,~,intrinsic,0.0776244665129245,0.10117610242426937,0.7672213561523525,0.4429499174761642
28,key_5,~,intrinsic,0.08063062781274946,0.10138774171886543,0.7952699847633659,0.426456469407676
29,key_6,~,intrinsic,0.004241001536837236,0.09846443441629897,0.04307140504015473,0.965644613610533
30,key_7,~,intrinsic,0.16698597914472096,0.11048255811077971,1.5114239025473544,0.13068048324208004
31,key_8,~,intrinsic,0.10608877855331805,0.1034786517377376,1.0252238193165726,0.30525759166136845
