rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:1Qrg8KqiBpW07V7PNxwwwL","SZA","Kill Bill","Top Dawg Entertainment/RCA Records",1,1,8,"3752635"
2,"spotify:track:0yLdNVWF3Srea0uzk55zFn","Miley Cyrus","Flowers","Columbia",2,3,3,"3381188"
3,"spotify:track:4iZ4pt7kvcaH6Yo8UoZ4s2","SZA","Snooze","Top Dawg Entertainment/RCA Records",3,4,6,"3373903"
4,"spotify:track:0uZFcsx96wzbixsULmrg8o","SunKissed Lola","Pasilyo","Independent",2,2,7,"3120519"
5,"spotify:track:65FftemJ1DbbZ45DUfHJXE","NewJeans","OMG","ADOR",5,6,5,"2622908"
6,"spotify:track:47sq83n5WN22ZzYnGn8aTy","Adie, Janine Berdin","Mahika","O/C Records",1,7,35,"2379198"
7,"spotify:track:78Sw5GDo6AlGwTwanjXbGh","d4vd","Here With Me","Darkroom/Interscope Records",3,5,16,"2307921"
8,"spotify:track:3r8RuvgbX9s7ammBn07D3W","NewJeans","Ditto","ADOR",3,9,7,"2200647"
9,"spotify:track:0V3wPSX9ygBnCm8psDIegu","Taylor Swift","Anti-Hero","Taylor Swift",1,10,15,"1982842"
10,"spotify:track:4AULw1VRyJP17zMvwgTIUs","Calein","Umaasa","O/C Records",7,11,19,"1863836"
11,"spotify:track:0JXXNGljqupsJaZsgSbMZV","Miguel","Sure Thing","Jive",9,12,10,"1530148"
12,"spotify:track:2LBqCSwhJGcFQeTHMVGwy3","The Weeknd","Die For You","Universal Republic Records",10,16,75,"1521597"
13,"spotify:track:0kDeE8TezXDY1QadpjAQQq","Kenaniah","Bahala Na","O/C Records",13,19,17,"1518577"
14,"spotify:track:6dgUya35uo964z7GZXM07g","Sabrina Carpenter","Nonsense","Island Records",8,8,10,"1506044"
15,"spotify:track:0HAG6nIiEKd75yGpovuSJQ","Arthur Nery","Isa lang","Viva Records",2,23,59,"1456111"
16,"spotify:track:0p7s2EXYWLca0UOdQyQrNN","Mayonnaise","Jopay","Sony Music Entertainment",5,14,27,"1440706"
17,"spotify:track:16iRlyUMJVPqz62DlomMre","NOBITA","Ikaw Lang","IndieTV",2,15,88,"1418669"
18,"spotify:track:4mc3rUoMwwiNTHA4al9nNd","Lola Amour","Fallen","Warner Music Philippines",10,13,31,"1416215"
19,"spotify:track:3rWDp9tBPQR9z6U5YyRSK4","Taylor Swift","Midnight Rain","Taylor Swift",2,20,15,"1394857"
20,"spotify:track:2dHHgzDwk4BJdRwy9uXhTO","Metro Boomin, The Weeknd, 21 Savage","Creepin' (with The Weeknd & 21 Savage)","Republic Records",17,17,9,"1390599"
21,"spotify:track:5Y35SjAfXjjG0sFQ3KOxmm","SZA","Nobody Gets Me","Top Dawg Entertainment/RCA Records",15,18,8,"1380951"
22,"spotify:track:0a4MMyCrzT0En247IhqZbD","NewJeans","Hype Boy","ADOR",19,25,26,"1334958"
23,"spotify:track:5xwBIieMMFUmLDgvG4DjFe","Stacey Ryan","Fall In Love Alone","Island Records",17,27,16,"1324169"
