track_name,week1 streams,week2 streams,week3 streams,week4 streams,week5 streams,week6 streams,week7 streams,week8 streams,week9 streams,week10 streams
Kill Bill,,0.21472471511001312,0.19660317620653478,0.10908293191228768,-0.09037129938057786,-0.0017958048144837147,-0.018920172903892696,-0.045100670118255026,0.013445219627860716,-0.0921199732318092
Mahika,,0.010630477481306189,-0.022867144391469196,0.06701793361209818,0.08063235577324868,-0.03304096590531769,-0.04895663584989396,-0.030557716372983434,-0.0434015574001968,0.11697206560738094
Anti-Hero,,-0.07473915515314233,-0.03569398372922905,0.0946189952263492,0.004554546136184445,-0.04587758379134599,-0.07175742147732878,-0.02996894286147056,0.014940513264247723,-0.019863615857114714
Here With Me,,0.0626398256440619,0.014529124738774657,0.142536017898804,-0.033687283299677295,0.016276553660198978,-0.024388975248626488,-0.03798657682925444,0.017590959762110447,0.00018838596087111803
Ditto,,0.29889885238467784,0.028577553154910618,-0.0042310355197180405,0.030366749539982862,-0.0019303413950533255,-0.1255969429962407,-0.1085086574699381,-0.07757821630553052,-0.027090174366403708
Made You Look,,-0.17075646553155865,-0.19344010664513256,0.1532573823736827,0.042754726601256676,-0.10162711752413833,-0.03650866471696357,-0.05783046765339317,-0.05215967234233909,-0.34675505491675673
Wet The Bed (feat. Ludacris),,-0.10616049807421202,-0.044489354219900634,-0.06043412743292376,-0.0923160722631492,-0.040036005734246594,-0.06547874002986698,-0.04180873543569308,-0.07774126823382388,-0.08282139431978408
Unholy (feat. Kim Petras),,-0.09096413783724788,-0.033262890688973146,0.1065907162136408,-0.045625498641340356,0.21503569442762838,-0.12066925710455734,-0.0914329888647406,0.012237576127352101,-0.10676058548836476
Under The Influence,,-0.11998655540401659,-0.0797338478137033,0.02232056153917772,-0.004076218962095202,-0.010878114425325602,-0.04304611851397855,-0.00808769196650816,0.02614655578686431,-0.02027469288713213
"Babalik Sa'yo (from ""2 Good 2 Be True"")",,-0.04459412858071343,-0.03355817441351894,0.07037860032039389,-0.06455367122534128,0.035460954086400376,-0.003998752419452911,-0.05298862357718892,-0.043356074502215014,-0.030273712120197693
Until I Found You (with Em Beihold) - Em Beihold Version,,-0.02783512169134461,-0.4718388352680756,0.1362469497109362,0.08817665355263671,0.12782101477861718,0.0032471110113658774,0.005182391356702398,0.0917354858241557,0.056895354859088476
Midnight Rain,,-0.030337789965846795,-0.016509536495868837,0.06389577153492709,0.016758184284628275,-0.038687836817680954,-0.06920686438067769,-0.004873030396748912,0.030650267469235493,-0.03306433972876699
Umaasa,,0.10950580559640133,0.053490946041574006,0.1180409772637514,0.0705431704076751,-0.00559974160816723,-0.028674883282013175,0.05694144100856935,-0.0016323639004772739,0.07072754224975464
Fallen,,0.00968448979346559,0.07293127421055101,0.07105935179593281,-0.08318686618567184,-0.031921000695515844,0.016841623097749947,0.008143616876288506,0.05192496928032364,0.029459649398111187
Die For You,,0.014435684644171554,-0.03198368158256515,0.1284184332958822,0.036256800959438396,0.14815223741897499,-0.0659635666347076,0.03314223381143955,0.14032431996374561,-0.1726119076129532
As It Was,,-0.09499606180993236,-0.0960290382764647,0.20228028083620542,-0.00017582108446445588,0.05183717383450093,-0.014570982815602651,-0.021888922049248527,0.03980383886087768,0.013658318357938404
Ikaw Lang,,0.05562416176539253,-0.017552944047464658,0.14460521954585714,-0.037906120046332314,0.1051830976781758,-0.1416356642593959,0.002402252901576807,0.06115252699486229,0.028859607516602548
Jopay,,-0.07032211051252835,0.28648618082801947,0.0013734080874869825,-0.02709824328722865,-0.08527971702762394,-0.14286072013130546,-0.09522076887324882,-0.10726250861043274,-0.1269048829888907
Die For You,,-0.06630835720515238,-0.04032780185041851,0.04723111843537198,-0.04410044626790466,-0.12924677036026078,-0.1233972176281739,0.005911556019206898,0.002782722115163061,-0.05883489116376417
Fall In Love Alone,,-0.005707333428159211,-0.02362626461314188,0.09385457320396817,0.055753240405950644,-0.02732430679165576,0.007295881091967438,-0.054011765213691554,0.03512885904946583,-0.027841885858579496
Left and Right (Feat. Jung Kook of BTS),,-0.032405880513408536,-0.05806276143607603,-0.04352982204831002,0.03594864451351176,0.018282056279554704,-0.0784363644134648,-0.17152210581715055,0.023780606532638915,-0.0413593403236332
ANTIFRAGILE,,0.030552712824967188,-0.1495631028667228,0.038037110812375596,0.003004138489082875,-0.029146545126911727,-0.11357348518530741,-0.23238286729943458,-0.04800587786313992,-0.07965250282487568
THE SHADE,,-0.0380442931393562,-0.029657172563353873,0.02709470752089138,0.04497907666105272,0.0016410943166402792,-0.03257378222938889,-0.017223185414393827,0.005398673359822581,0.07210718767872981
Isa lang,,0.10957141848601504,-0.07923984669995654,0.15487526681010277,0.07563358557578947,0.03185540113356744,-0.07394828338977277,0.013321220736975725,0.020360671922741824,0.0070761717215881426
Old Love,,0.030128125257750993,-0.0013943758187805466,0.07807551402506907,-0.04096216625075755,0.041848784697300356,-0.028578962538761465,-0.03330314543745683,0.009008302513015432,-0.012313333985186192
