,Value
DoF,206.0
DoF Baseline,231.0
chi2,22.853246619013113
chi2 p-value,1.0
chi2 Baseline,71.26709888259244
CFI,-0.1465812747391948
GFI,0.6793296348899758
AGFI,0.6404133284445845
NFI,0.6793296348899758
TLI,-0.28572948769298034
RMSEA,0.0
AIC,33.03567631694655
BIC,122.90075757206942
LogLik,30.482161841526725
