Category: All categories

Day,Taylor Swift: (Philippines)
2023-03-24,33
2023-03-25,35
2023-03-26,34
2023-03-27,29
2023-03-28,24
2023-03-29,23
2023-03-30,22
2023-03-31,23
2023-04-01,30
2023-04-02,25
2023-04-03,20
2023-04-04,22
2023-04-05,30
2023-04-06,33
2023-04-07,31
2023-04-08,36
2023-04-09,100
2023-04-10,39
2023-04-11,28
2023-04-12,25
2023-04-13,24
2023-04-14,24
2023-04-15,33
2023-04-16,31
2023-04-17,19
2023-04-18,21
2023-04-19,20
2023-04-20,21
2023-04-21,28
2023-04-22,35
2023-04-23,27
2023-04-24,20
2023-04-25,20
2023-04-26,17
2023-04-27,19
2023-04-28,27
2023-04-29,30
2023-04-30,30
2023-05-01,26
2023-05-02,21
2023-05-03,21
2023-05-04,29
2023-05-05,26
2023-05-06,49
2023-05-07,36
2023-05-08,29
2023-05-09,26
2023-05-10,24
2023-05-11,28
2023-05-12,29
2023-05-13,32
2023-05-14,31
2023-05-15,24
2023-05-16,30
2023-05-17,30
2023-05-18,32
2023-05-19,32
2023-05-20,32
2023-05-21,30
2023-05-22,25
2023-05-23,26
2023-05-24,25
2023-05-25,28
2023-05-26,34
2023-05-27,49
2023-05-28,45
2023-05-29,42
2023-05-30,38
2023-05-31,33
2023-06-01,33
