,title,artist/s,danceability,key,loudness,speechiness,liveness,valence,tempo,duration_ms,streams1
0,Uhaw (Tayong Lahat),Dilaw,0.635,5,-6.662,0.0716,0.105,0.316,135.927,241186,3976673
1,Elevate,Jeff Grecia,0.894,0,-10.993,0.14,0.0996,0.6,121.08,218651,2929741
2,Snooze,SZA,0.559,5,-7.231,0.132,0.11,0.392,143.008,201800,2754346
3,Cupid - Twin Ver.,FIFTY FIFTY,0.783,11,-8.332,0.0331,0.347,0.726,120.018,174253,2484998
4,All Of The Girls You Loved Before,Taylor Swift,0.718,2,-9.66,0.0398,0.126,0.396,95.96,221407,2357174
5,Reminder,The Weeknd,0.706,8,-6.923,0.193,0.164,0.388,160.053,218880,1724516
6,Nonsense,Sabrina Carpenter,0.74,8,-4.912,0.034,0.224,0.732,138.992,163648,1556006
7,Boy's a Liar Pt. 2,"PinkPantheress, Ice Spice",0.696,5,-8.254,0.05,0.248,0.857,132.962,131013,1512406
8,Flowers,Miley Cyrus,0.707,0,-4.325,0.0668,0.0322,0.646,117.999,200455,1476060
9,Those Eyes,New West,0.593,4,-8.296,0.0284,0.3,0.226,119.988,220750,1413232
10,Uhaw,Dilaw,0.695,2,-9.196,0.0419,0.0643,0.184,122,267049,1400959
11,LIMBO,keshi,0.577,8,-11.792,0.0368,0.137,0.0841,129.923,212785,1324787
12,Tally,BLACKPINK,0.693,7,-5.997,0.0308,0.0942,0.447,129.942,184248,1295733
13,Cruel Summer,Taylor Swift,0.552,9,-5.707,0.157,0.105,0.564,169.994,178427,1286776
14,Enchanted,Taylor Swift,0.535,8,-3.913,0.0273,0.169,0.228,81.975,352200,1262696
15,panaginip,iluna,0.379,5,-12.412,0.037,0.0552,0.126,129.299,332406,1259591
16,Style,Taylor Swift,0.588,7,-5.595,0.0402,0.118,0.487,94.933,231000,1163877
17,Ikaw Pa Rin,mrld,0.412,4,-11.538,0.0307,0.168,0.306,108.926,191009,1131169
18,Say You Won't Let Go,James Arthur,0.358,10,-7.398,0.059,0.0902,0.494,85.043,211467,1074865
19,lowkey,NIKI,0.752,0,-8.18,0.0559,0.0869,0.227,117.901,171356,1054822
20,Ghost,Justin Bieber,0.601,2,-5.569,0.0478,0.415,0.441,153.96,153190,1048030
21,cardigan,Taylor Swift,0.613,0,-8.588,0.0424,0.25,0.551,130.033,239560,961745
22,Lavender Haze,Taylor Swift,0.733,10,-10.489,0.08,0.157,0.0976,96.985,202396,915701
23,Come Inside Of My Heart,IV Of Spades,0.676,10,-9.411,0.03,0.241,0.689,113.007,246396,888601
24,Tadhana,Up Dharma Down,0.685,6,-13.2,0.0369,0.0809,0.508,155.977,222447,888375
25,Sino,Unique Salonga,0.676,11,-10.563,0.0232,0.109,0.226,104.982,280427,872572
26,Higa,Arthur Nery,0.656,9,-10.538,0.0434,0.106,0.182,125.058,245760,872147
27,Players,Coi Leray,0.954,6,-5.817,0.16,0.0504,0.624,105.001,139560,866509
28,Pink Venom,BLACKPINK,0.794,0,-7.227,0.0761,0.276,0.69,90.016,186964,861606
29,Blank Space,Taylor Swift,0.76,5,-5.412,0.054,0.0913,0.57,95.997,231827,848774
30,Is There Someone Else?,The Weeknd,0.702,9,-7.83,0.0313,0.156,0.608,134.951,199111,847024
31,Lover,Taylor Swift,0.359,7,-7.582,0.0919,0.118,0.453,68.534,221307,844437
32,Ligaya,mrld,0.458,0,-5.249,0.0381,0.114,0.343,149.832,248800,840189
33,Set Me Free Pt.2,Jimin,0.585,0,-4.165,0.0565,0.124,0.564,132.09,200930,836597
34,Cupid,FIFTY FIFTY,0.774,2,-8.2,0.0328,0.4,0.961,120.023,174253,830154
35,Paninindigan Kita,Ben&Ben,0.624,4,-9.288,0.0308,0.357,0.75,113.204,312234,829193
36,Kathang Isip,Ben&Ben,0.491,10,-8.58,0.0301,0.152,0.295,126.921,318814,822137
37,Nahuhulog Na Sa'yo,Noah Alejandre,0.765,6,-7.549,0.0317,0.104,0.639,107.93,217037,799155
38,Night Changes,One Direction,0.672,8,-7.747,0.0353,0.115,0.37,120.001,226600,788791
