rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,spotify:track:1Qrg8KqiBpW07V7PNxwwwL,SZA,Kill Bill,Top Dawg Entertainment/RCA Records,1,2,4,2559058
2,spotify:track:47sq83n5WN22ZzYnGn8aTy,"Adie, Janine Berdin",Mahika,O/C Records,1,1,31,2089464
3,spotify:track:0V3wPSX9ygBnCm8psDIegu,Taylor Swift,Anti-Hero,Taylor Swift | Universal Music Publishing,1,3,11,2021029
4,spotify:track:78Sw5GDo6AlGwTwanjXbGh,d4vd,Here With Me,Darkroom/Interscope Records,3,4,12,1939022
5,spotify:track:3r8RuvgbX9s7ammBn07D3W,NewJeans,Ditto,ADOR,5,17,3,1605416
6,spotify:track:0QHEIqNKsMoOY5urbzN48u,Meghan Trainor,Made You Look,Epic | Warner Chappell Music,4,6,11,1505290
7,spotify:track:2xRGPubKBTHX6iyrpQvtCy,"Chris Brown, Ludacris",Wet The Bed (feat. Ludacris),Jive,4,5,7,1482510
8,spotify:track:3nqQXoyQOWXiESFLlDF1hG,"Sam Smith, Kim Petras",Unholy (feat. Kim Petras),EMI | Prescription Songs | Universal Music Publishing | Wolf Cousins,7,13,15,1397155
9,spotify:track:5IgjP7X4th6nMNDh4akUHb,Chris Brown,Under The Influence,Chris Brown Entertainment/RCA Records,3,8,23,1392381
10,spotify:track:2e7iqtA42EPXTtiiAlblC1,Moira Dela Torre,"Babalik Sa'yo (from ""2 Good 2 Be True"")",ABS-CBN Music,2,7,20,1383209
11,spotify:track:1Y3LN4zO1Edc2EluIoSPJN,"Stephen Sanchez, Em Beihold",Until I Found You (with Em Beihold) - Em Beihold Version,Republic Records,11,15,10,1381528
12,spotify:track:3rWDp9tBPQR9z6U5YyRSK4,Taylor Swift,Midnight Rain,Taylor Swift | Universal Music Publishing,2,11,11,1352142
13,spotify:track:4AULw1VRyJP17zMvwgTIUs,Calein,Umaasa,O/C Records,13,18,15,1332249
14,spotify:track:4mc3rUoMwwiNTHA4al9nNd,Lola Amour,Fallen,Warner Music Philippines,10,10,27,1331304
15,spotify:track:2LBqCSwhJGcFQeTHMVGwy3,The Weeknd,Die For You,Universal Republic Records | Kobalt Music Publishing | Sony Music Publishing,10,12,71,1325119
16,spotify:track:4Dvkj6JhhA12EX05fT7y2e,Harry Styles,As It Was,Columbia | Pulse Publishing Administration | Universal Music Publishing,4,24,40,1272158
17,spotify:track:16iRlyUMJVPqz62DlomMre,NOBITA,Ikaw Lang,IndieTV,2,14,84,1242194
18,spotify:track:0p7s2EXYWLca0UOdQyQrNN,Mayonnaise,Jopay,Sony Music Entertainment | Yellow Room Music Philippines,5,9,23,1236439
19,spotify:track:26hOm7dTtBi0TdpDGl141t,Joji,Die For You,88rising Music/Warner Records | Walt Disney Music Company,4,16,9,1184451
20,spotify:track:5xwBIieMMFUmLDgvG4DjFe,Stacey Ryan,Fall In Love Alone,Island Records,17,19,12,1181112
21,spotify:track:5Odq8ohlgIbQKMZivbWkEo,"Charlie Puth, Jung Kook, BTS",Left and Right (Feat. Jung Kook of BTS),Atlantic Records,1,23,28,1170374
22,spotify:track:4fsQ0K37TOXa3hEQfjEic1,LE SSERAFIM,ANTIFRAGILE,SOURCE MUSIC,22,30,12,1162810
23,spotify:track:1gH1h30wkQdd9zhY3j7a8T,Rex Orange County,THE SHADE,Rex Orange County | Pennies From Heaven | Soepermarkt Music Publishing,3,21,27,1153813
24,spotify:track:0HAG6nIiEKd75yGpovuSJQ,Arthur Nery,Isa lang,Viva Records,2,20,55,1147343
25,spotify:track:3W4U7TEgILGpq0EmquurtH,"yuji, putri dahlia",Old Love,yuji,23,25,18,1139666
26,spotify:track:3L9rTnMdVeqX3CqAaGQh4E,Shanti Dope,City Girl,Universal Records,26,34,5,1127974
27,spotify:track:0kDeE8TezXDY1QadpjAQQq,Kenaniah,Bahala Na,O/C Records,26,27,13,1077053
28,spotify:track:2jbf9EytR7fzpSrPWAYCf9,Adie,Paraluman,O/C Records,3,28,87,1037732
29,spotify:track:5Y35SjAfXjjG0sFQ3KOxmm,SZA,Nobody Gets Me,Top Dawg Entertainment/RCA Records,22,38,4,1032409
30,spotify:track:08MFgEQeVLF37EyZ7jcwLc,Zack Tabudlo,Pano,Universal Music Philippines Inc.,1,29,56,1027731
31,spotify:track:0uZFcsx96wzbixsULmrg8o,SunKissed Lola,Pasilyo,Independent,31,57,3,1013117
32,spotify:track:2dHHgzDwk4BJdRwy9uXhTO,"Metro Boomin, The Weeknd, 21 Savage",Creepin' (with The Weeknd & 21 Savage),Republic Records,31,31,5,1010903
33,spotify:track:2m6Ko3CY1qXNNja8AlugNc,Troye Sivan,Angel Baby,EMI Recorded Music Australia Pty Ltd | BMG Publishing | Warner Chappell Music,1,32,69,1001915
34,spotify:track:5CUQnKjA6nlteCnxMKsjIu,Adie,Tahanan,O/C Records,6,36,57,973117
35,spotify:track:4ewazQLXFTDC8XvCbhvtXs,Joji,Glimpse of Us,88rising Music/Warner Records,1,37,30,964789
36,spotify:track:5odlY52u43F5BjByhxg7wg,JVKE,golden hour,JVKE,36,45,18,955248
37,spotify:track:0o9zmvc5f3EFApU52PPIyW,Fujii Kaze,Shinunoga E-Wa,Universal Music LLC,24,39,19,949281
38,spotify:track:0WZqHCoOBXqgCCIsUZLC2a,Arthur Nery,Pagsamo,Viva Records,1,35,66,947268
39,spotify:track:0JXXNGljqupsJaZsgSbMZV,Miguel,Sure Thing,Jive | Universal Music Publishing,39,52,6,916066
40,spotify:track:0a4MMyCrzT0En247IhqZbD,NewJeans,Hype Boy,ADOR,19,54,22,910661
41,spotify:track:6VhuP99TE6gYNQRJIlAWFD,Stephen Sanchez,Until I Found You,Republic Records,7,43,35,903493
42,spotify:track:4tyEfRWLgYkWQaowoHXoba,Moira Dela Torre,Kumpas - Theme of “2 Good 2 Be True”,Star Music,8,42,31,899825
43,spotify:track:2wSTnntOPRi7aQneobFtU4,SZA,Shirt,Top Dawg Entertainment/RCA Records,27,46,10,898649
44,spotify:track:1oYQtNQUxSODedcc5hPmp9,Ace Banzuelo,Muli,Sony Music Entertainment,2,40,34,898304
45,spotify:track:5XeFesFbtLpXzIVDNQP22n,Arctic Monkeys,I Wanna Be Yours,Domino Recording Co,37,44,21,895131
46,spotify:track:2BDrpeAnTxCurLt38yDSrE,Lo ki,Kagome,DRP Records,6,41,43,889547
47,spotify:track:65FftemJ1DbbZ45DUfHJXE,NewJeans,OMG,ADOR,47,-1,1,853302
48,spotify:track:0QzuaeCEEOV40Pn7IvKEny,dhruv,double take,Little Worry/RCA Records,1,49,80,829695
49,spotify:track:3h8uWt8HNyDNubPSEBgTPG,Zack Tabudlo,Yakap,Universal Music Philippines Inc.,41,48,13,813697
50,spotify:track:7gRFDGEzF9UkBV233yv2dc,BLACKPINK,Shut Down,YG Entertainment,1,56,16,800298
51,spotify:track:5jQI2r1RdgtuT8S3iG8zFC,Taylor Swift,Lavender Haze,Taylor Swift,3,51,11,789459
52,spotify:track:5d9Rka4T0szdC1MobhtXrV,Ben&Ben,Paninindigan Kita,Sony Music Entertainment,25,47,36,788844
53,spotify:track:4z7xboLD3PqY9dOUscS2ly,mrld,Ikaw Pa Rin,O/C Records,51,53,13,785691
54,spotify:track:7gfrASeOt73YWvpIv1fU8E,Arthur Nery,Higa,O/C Records,10,50,135,784434
55,spotify:track:3sqrvkNC6IPTIXvvbx9Arw,Taylor Swift,Enchanted,"Big Machine Records, LLC",12,55,61,754868
