rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,stream_category
1,spotify:track:1Qrg8KqiBpW07V7PNxwwwL,SZA,Kill Bill,Top Dawg Entertainment/RCA Records,1,1,6,3719702,10
2,spotify:track:0uZFcsx96wzbixsULmrg8o,SunKissed Lola,Pasilyo,Independent,2,8,5,2488074,10
3,spotify:track:4iZ4pt7kvcaH6Yo8UoZ4s2,SZA,Snooze,Top Dawg Entertainment/RCA Records,3,28,4,2352363,10
4,spotify:track:3r8RuvgbX9s7ammBn07D3W,NewJeans,Ditto,ADOR,3,3,5,2144865,10
5,spotify:track:78Sw5GDo6AlGwTwanjXbGh,d4vd,Here With Me,Darkroom/Interscope Records,3,4,14,2090419,10
6,spotify:track:47sq83n5WN22ZzYnGn8aTy,"Adie, Janine Berdin",Mahika,O/C Records,1,2,33,2063388,10
7,spotify:track:65FftemJ1DbbZ45DUfHJXE,NewJeans,OMG,ADOR,6,6,3,1908234,10
8,spotify:track:0V3wPSX9ygBnCm8psDIegu,Taylor Swift,Anti-Hero,Taylor Swift,1,5,13,1803232,10
9,spotify:track:0JXXNGljqupsJaZsgSbMZV,Miguel,Sure Thing,Jive,9,9,8,1675113,10
10,spotify:track:6dgUya35uo964z7GZXM07g,Sabrina Carpenter,Nonsense,Island Records,10,58,8,1662128,10
11,spotify:track:0yLdNVWF3Srea0uzk55zFn,Miley Cyrus,Flowers,Columbia,11,-1,1,1647930,10
12,spotify:track:4AULw1VRyJP17zMvwgTIUs,Calein,Umaasa,O/C Records,7,7,17,1557205,10
13,spotify:track:0p7s2EXYWLca0UOdQyQrNN,Mayonnaise,Jopay,Sony Music Entertainment,5,27,25,1478803,9
14,spotify:track:4mc3rUoMwwiNTHA4al9nNd,Lola Amour,Fallen,Warner Music Philippines,10,11,29,1442231,9
15,spotify:track:5Y35SjAfXjjG0sFQ3KOxmm,SZA,Nobody Gets Me,Top Dawg Entertainment/RCA Records,15,24,6,1392623,9
16,spotify:track:2LBqCSwhJGcFQeTHMVGwy3,The Weeknd,Die For You,Universal Republic Records,10,10,73,1301254,9
