artist_names,title,label_name,label_name_2,label_name_3,label_name_4,label_name_5,label_category
Troye Sivan,Angel Baby,EMI Recorded Music Australia Pty Ltd,BMG Publishing,Warner Chappell Music,,,major
anees,sun and moon,Anees LLC,,,,,indie
Ace Banzuelo,Muli,Sony Music Entertainment,,,,,major
Arthur Nery,Isa lang,Viva Records,,,,,major
Arthur Nery,Pagsamo,Viva Records,,,,,major
Harry Styles,As It Was,Columbia,Pulse Publishing Administration,Universal Music Publishing,,,major-indie
Adie,Paraluman,O/C Records,,,,,indie
Stephen Sanchez,Until I Found You,Republic Records,,,,,major
NOBITA,Ikaw Lang,IndieTV,,,,,indie
Lo ki,Kagome,DRP Records,,,,,indie
Zack Tabudlo,Pano,Universal Music Philippines Inc.,,,,,major
Ricky Montgomery,Line Without a Hook,Warner Records,,,,,major
Justin Bieber,Ghost,RBMG/Def Jam,BMG Publishing,Warner Chappell Music,,,major
Zack Tabudlo,Asan Ka Na Ba,Universal Music Philippines Inc.,,,,,major
Zack Tabudlo,Habang Buhay,Universal Music Philippines Inc.,,,,,major
Adie,Tahanan,O/C Records,,,,,indie
Denise Julia,NVMD,Denise Julia,,,,,indie
Lizzo,About Damn Time,Nice Life/Atlantic,Sony Music Publishing,Universal Music Publishing,,,major
Jessi,ZOOM,P NATION,,,,,major
NIKI,Every Summertime,MARVEL/Hollywood Records,Inc./Interscope Records,,,,major
NOBITA,Unang Sayaw,Sony Music Entertainment,,,,,major
mrld,Ligaya,O/C Records,,,,,indie
Zack Tabudlo,Binibini,Universal Music Philippines Inc.,,,,,major
Sam Concepcion,Diwata (Miss Universe Philippines 2021),Old School Records,,,,,major
Ben&Ben,Paninindigan Kita,Sony Music Entertainment,,,,,major
"Arthur Miguel, Trisha Macapagal",Ang Wakas (feat. Trisha Macapagal),Warner Music Philippines,,,,,major
"The Kid LAROI, Justin Bieber",STAY (with Justin Bieber),Columbia,Pulse Publishing Administration,Universal Music Publishing,,,major-indie
Zack Tabudlo,Nangangamba,Universal Music Philippines Inc.,,,,,major
Adele,Easy On Me,Columbia,,,,,major
Troye Sivan,Strawberries & Cigarettes,EMI Recorded Music Australia Pty Ltd,Sony Music Publishing,,,,major
Ben&Ben,Sa Susunod na Habang Buhay,Sony Music Entertainment,,,,,major
Arthur Nery,Higa,O/C Records,,,,,indie
"Because, Leslie",BMW,Viva Records,,,,,major
Harry Styles,Late Night Talking,Columbia,Universal Music Publishing,,,,major
dhruv,double take,Little Worry/RCA Records,,,,,indie
