artist,history
Taylor Swift,mainstream
Zack Tabudlo,mainstream
Justin Bieber,mainstream
BTS,mainstream
Ben&Ben,mainstream
Arthur Nery,mainstream
Harry Styles,mainstream
Moria Dela Torre,mainstream
LANY,mainstream
Ariana Grande,mainstream
SEVENTEEN,mainstream
Ed Sheeran,mainstream
The Weeknd,mainstream
Troye Sivan,mainstream
Olivia Rodrigo,mainstream
Adie,mainstream
TWICE,mainstream
Maroon 5,mainstream
Bruno Mars,mainstream
Dua Lipa,mainstream
NOBITA,mainstream
December Avenue,mainstream
NIKI,mainstream
Doja Cat,mainstream
Lauv,mainstream
Parokya Ni Edgar,mainstream
One Direction,mainstream
Coldplay,mainstream
Ace Banzuelo,newcomer
Adele,mainstream
anees,newcomer
BLACKPINK,mainstream
Post Malone,mainstream
Silent Sanctuary,mainstream
Charlie Puth,mainstream
AI James,mainstream
Skusta Clee,mainstream
Arthur Miguel,newcomer
Katy Perry,mainstream
Shawn Mendes,mainstream
Billie Eilish,mainstream
Eraserheads,mainstream
Rihanna,mainstream
Lo ki,newcomer
Stephen Sanchez,newcomer
Kendrick Lamar,newcomer
Flow G,mainstream
Drake,mainstream
ENHYPEN,mainstream
Ricky Montgomery,newcomer
Conan Gray,mainstream
NCT DREAM,newcomer
Hale,mainstream
Air Supply,mainstream
Hillsong Worship,mainstream
Sam Smith,mainstream
Khalid,mainstream
TOMORROW X TOGETHER,mainstream
mrld,newcomer
IV Of Spades,mainstream
Chris Brown,mainstream
TJ Monterde,mainstream
Camila Cabello,mainstream
Because,mainstream
Lady Gaga,mainstream
Jack Harlow,newcomer
Mariah Carey,mainstream
Lizzo,newcomer
Westlife,mainstream
Daniel Caesar,mainstream
Jessi,newcomer
Kamikazee,mainstream
The Script,mainstream
keshi,mainstream
Boyce Avenue,mainstream
Denise Julia,newcomer
The Kid LAROI,mainstream
Rex Orange Country,mainstream
Little Mix,mainstream
Sam Concepcion,newcomer
Red Velvet,mainstream
Joji,mainstream
Jeremy Zucker,mainstream
Paramore,mainstream
Ruth B.,mainstream
John Roa,mainstream
The Chainsmokers,mainstream
Imagine Dragons,mainstream
SZA,mainstream
Marshmello,mainstream
Gatton,newcomer
Calvin Harris,newcomer
The 1975,mainstream
Music Travel Love,mainstream
TREASURE,newcomer
I Belong to the Zoo,mainstream
Carpenters,mainstream
Stephen Speaks,newcomer
Gloc 9,mainstream
Rivermaya,mainstream
MYMP,mainstream
Bruno Major,newcomer
Giveon,mainstream
SB19,mainstream
Halsey,mainstream
Ne-Yo,mainstream
Shanti Dope,mainstream
Megan Thee Stallion,mainstream
Demi Levato,mainstream
IU,mainstream
APO Hiking Society,mainstream
5 Seconds of Summer,mainstream
Stray Kids,mainstream
Kanye West,mainstream
Pink Sweat$,mainstream
Regine Velasquez,mainstream
Ex Battalion,mainstream
James Arthur,mainstream
Freestyle,newcomer
dhruv,mainstream
Anne-Marie,mainstream
The Juans,mainstream
South Border,mainstream
Lana Del Ray,newcomer
Selena Gomez,mainstream
Beyoncé,mainstream
Lil Nas X,mainstream
Alisson Shore,mainstream
Eminem,mainstream
ITZY,mainstream
Yeng Constantino,mainstream
Sponge Cola,mainstream
88rising,mainstream
Mayonnaise,newcomer
David Pomeranz,newcomer
The Itchyworms,newcomer
IVE,newcomer
Pamungkas,mainstream
The Beatles,mainstream
Avril Lavinge,mainstream
Tate McRae,newcomer
LE SSERAFIM,newcomer
Cigarettes After Sex,newcomer
Michael Learns To Rock,mainstream
Panic! At The Disco,newcomer
Russ,mainstream
Munimuni,newcomer
Sarah Geronimo,mainstream
Mitski,newcomer
NIcki Minaj,mainstream
Lin-Manuel Miranda,newcomer
Usher,mainstream
Why Don't We,newcomer
The Walters,mainstream
HONNE,mainstream
Elton John,mainstream
Orange & Lemons,newcomer
Bandang Lapis,newcomer
Unique Salonga,newcomer
Miley Cyrus,mainstream
aespa,newcomer
Backstreet Boys,mainstream
(G)I-DLE,newcomer
Don Moen,mainstream
ZAYN,mainstream
Juice WRLD,newcomer
OneRepublic,mainstream
Bazzi,mainstream
Bread,mainstream
EXO,mainstream
Jonas Brothers,newcomer
Jason Mraz,mainstream
Bee Gees,mainstream
Hillsong UNITED,newcomer
Whitney Houston,mainstream
Frank Ocean,newcomer
Anderson .Paak,newcomer
Janine Teñoso,newcomer
Jason Derulo,mainstream
Kehlani,newcomer
Jamie Miller,mainstream
Melanie Martinez,newcomer
Arctic Monkeys,mainstream
Bugoy Na Koykoy,newcomer
XXXTENTACION,newcomer
Queen,mainstream
Ava Max,newcomer
Nina,newcomer
ALLMO$T,newcomer
John Mayer,newcomer
KZ Tandingan,newcomer
Alessia Cara,newcomer
Britney Spears,newcomer
Linkin Park,newcomer
Kenny Rogers,mainstream
Calum Scott,newcomer
Joseph Vincent,mainstream
Dan + Shay,newcomer
Young Thug,newcomer
Kiyo,mainstream
