,title,artist/s,danceability,energy,key,loudness,mode,speechiness,acousticness,valence,tempo,duration_ms,time_signature,artist1,artist2,artist3,popularity
40,HOT,SEVENTEEN,0.765,0.777,5,-4.376,0,0.0399,0.0539,0.64,111.944,197587,4,SEVENTEEN,,,41
41,Dandelions,Ruth B.,0.609,0.692,1,-2.958,1,0.0259,0.0157,0.454,116.959,233720,3,Ruth B.,,,42
42,Light Switch,Charlie Puth,0.69,0.626,6,-5.693,1,0.306,0.105,0.912,184.009,185681,4,Charlie Puth,,,43
43,All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),Taylor Swift,0.631,0.518,0,-8.771,1,0.0303,0.274,0.205,93.023,613027,4,Taylor Swift,,,44
44,The Day You Said Goodnight,Hale,0.558,0.553,4,-6.669,1,0.0323,0.492,0.251,134.263,291358,4,Hale,,,45
45,I Love You So,The Walters,0.575,0.648,10,-4.891,1,0.0358,0.583,0.466,75.977,160240,4,The Walters,,,46
46,When Scars Become Art,"Gatton, Brooke Young",0.524,0.114,11,-17.027,1,0.0507,0.929,0.314,119.818,287561,4,Gatton,Brooke Young,,47
47,My Universe,"Coldplay, BTS",0.588,0.701,9,-6.39,1,0.0402,0.00813,0.443,104.988,228000,4,Coldplay,BTS,,48
48,DARARI,TREASURE,0.716,0.638,0,-6.87,1,0.0392,0.486,0.552,84.955,220716,4,TREASURE,,,49
49,Araw-Araw,Ben&Ben,0.475,0.424,11,-8.39,1,0.0295,0.582,0.224,140.903,313952,4,Ben&Ben,,,50
50,Paubaya,Moira Dela Torre,0.373,0.245,5,-12.45,1,0.0354,0.766,0.174,127.067,282491,4,Moira Dela Torre,,,51
51,Kathang Isip,Ben&Ben,0.491,0.314,10,-8.58,1,0.0301,0.776,0.295,126.921,318814,4,Ben&Ben,,,52
52,traitor,Olivia Rodrigo,0.38,0.339,3,-7.885,1,0.0338,0.691,0.0849,100.607,229227,4,Olivia Rodrigo,,,53
53,Bam Bam (feat. Ed Sheeran),"Camila Cabello, Ed Sheeran",0.756,0.697,8,-6.377,1,0.0401,0.182,0.956,94.996,206071,4,Camila Cabello,Ed Sheeran,,54
54,Leaves,Ben&Ben,0.447,0.16,6,-10.896,1,0.0372,0.913,0.205,118.313,310709,3,Ben&Ben,,,55
55,Dating Tayo,TJ Monterde,0.551,0.329,7,-10.731,1,0.0431,0.648,0.331,139.699,239480,4,TJ Monterde,,,56
56,lowkey,NIKI,0.752,0.494,0,-8.18,1,0.0559,0.432,0.227,117.901,171356,4,NIKI,,,57
57,FEARLESS,LE SSERAFIM,0.863,0.62,7,-7.167,1,0.135,0.0508,0.432,103.971,168437,4,LE SSERAFIM,,,58
58,Rainbow,South Border,0.66,0.224,5,-13.426,1,0.0307,0.425,0.382,88.011,347120,4,South Border,,,59
59,Enchanted,Taylor Swift,0.535,0.618,8,-3.913,1,0.0273,0.0716,0.228,81.975,352200,4,Taylor Swift,,,60
60,LOVE DIVE,IVE,0.703,0.709,1,-4.169,0,0.0433,0.00379,0.538,117.941,177187,4,IVE,,,61
61,deja vu,Olivia Rodrigo,0.442,0.612,2,-7.222,1,0.112,0.584,0.178,180.917,215507,4,Olivia Rodrigo,,,62
62,Your Song,Parokya Ni Edgar,0.636,0.159,11,-13.117,1,0.0549,0.892,0.658,119.766,168493,5,Parokya Ni Edgar,,,63
63,boyfriend (with Social House),"Ariana Grande, Social House",0.4,0.795,10,-3.731,0,0.461,0.119,0.702,190.097,186107,4,Ariana Grande,Social House,,64
64,Binhi,Arthur Nery,0.46,0.311,5,-10.235,1,0.0319,0.961,0.22,124.193,216774,4,Arthur Nery,,,65
65,Sunsets With You,"Cliff, Yden",0.447,0.363,1,-9.743,1,0.0478,0.923,0.125,115.457,253913,3,Cliff,Yden,,66
66,Thick And Thin,LANY,0.697,0.551,5,-6.179,0,0.0282,0.059,0.339,99.996,212002,4,LANY,,,67
67,Woman,Doja Cat,0.824,0.764,5,-4.175,0,0.0854,0.0888,0.881,107.998,172627,4,Doja Cat,,,68
68,Heartbreak Anniversary,Giveon,0.449,0.465,0,-8.964,1,0.0791,0.524,0.543,89.087,198371,3,Giveon,,,69
69,Heat Waves,Glass Animals,0.761,0.525,11,-6.9,1,0.0944,0.44,0.531,80.87,238805,4,Glass Animals,,,70
70,Don't Know What to Say - Don't Know What to Do,Ric Segreto,0.673,0.365,2,-15.372,1,0.0451,0.584,0.297,135.447,165400,4,Ric Segreto,,,71
71,IF you leave me,SEVENTEEN,0.607,0.351,10,-5.929,1,0.0328,0.877,0.601,160.122,212507,3,SEVENTEEN,,,72
72,This Love (Taylor's Version),Taylor Swift,0.47,0.494,4,-8.672,1,0.0349,0.302,0.0524,144.039,250100,4,Taylor Swift,,,73
73,Ikaw Lamang,Silent Sanctuary,0.394,0.623,9,-5.029,1,0.0384,0.573,0.316,115.003,306467,4,Silent Sanctuary,,,74
74,Rosas,"Nica del Rosario, Gab Pangilinan",0.44,0.471,3,-8.647,1,0.0311,0.297,0.203,149.894,273600,3,Nica del Rosario,Gab Pangilinan,,75
75,Huling Sayaw,"Kamikazee, Kyla",0.474,0.871,1,-4.013,0,0.0405,0.00125,0.545,137.102,295413,4,Kamikazee,Kyla,,76
76,Photograph,Ed Sheeran,0.614,0.379,4,-10.48,1,0.0476,0.607,0.201,107.989,258987,4,Ed Sheeran,,,77
77,Dynamite,BTS,0.746,0.765,6,-4.41,0,0.0993,0.0112,0.737,114.044,199054,4,BTS,,,78
78,Huling Sandali (Tayo Sa Huling Buwan Ng Taon Official Soundtrack),December Avenue,0.465,0.592,4,-4.905,1,0.0293,0.0208,0.117,139.867,343018,4,December Avenue,,,79
79,drivers license,Olivia Rodrigo,0.561,0.431,10,-8.81,1,0.0578,0.768,0.137,143.875,242013,4,Olivia Rodrigo,,,80
80,Lover,Taylor Swift,0.359,0.543,7,-7.582,1,0.0919,0.492,0.453,68.534,221307,4,Taylor Swift,,,81
81,Malibu Nights,LANY,0.559,0.422,11,-11.89,1,0.195,0.701,0.191,74.002,286928,4,LANY,,,82
82,good 4 u,Olivia Rodrigo,0.563,0.664,9,-5.044,1,0.154,0.335,0.688,166.928,178147,4,Olivia Rodrigo,,,83
83,Need You,"Bosx1ne, John Roa, Skusta Clee, Emcee Rhenn, Flow G, Bullet-D, Kent Mnl",0.637,0.596,1,-6.864,1,0.127,0.484,0.291,74.635,354072,4,Bosx1ne,John Roa,Skusta Clee,84
84,Pelikula,"Janine Teñoso, Arthur Nery",0.676,0.259,6,-12.127,1,0.0598,0.801,0.314,75.031,204693,4,Janine Teñoso,Arthur Nery,,85
85,INDUSTRY BABY (feat. Jack Harlow),"Lil Nas X, Jack Harlow",0.741,0.691,10,-7.395,0,0.0672,0.0221,0.892,150.087,212353,4,Lil Nas X,Jack Harlow,,86
86,Darl+ing,SEVENTEEN,0.71,0.686,0,-4.926,1,0.0713,0.296,0.483,96.06,176547,4,SEVENTEEN,,,87
87,Ang Huling El Bimbo,Eraserheads,0.524,0.503,6,-11.79,1,0.0245,0.184,0.436,89.497,447333,4,Eraserheads,,,88
88,Running Up That Hill (A Deal With God),Kate Bush,0.629,0.547,10,-13.123,0,0.055,0.72,0.197,108.375,298933,4,Kate Bush,,,89
89,Iris,The Goo Goo Dolls,0.315,0.715,11,-8.072,0,0.0362,0.00125,0.497,155.925,289533,3,The Goo Goo Dolls,,,90
90,Sino,Unique Salonga,0.676,0.43,11,-10.563,1,0.0232,0.169,0.226,104.982,280427,4,Unique Salonga,,,91
91,positions,Ariana Grande,0.737,0.802,0,-4.771,1,0.0878,0.468,0.682,144.015,172325,4,Ariana Grande,,,92
92,Sunroof,"Nicky Youre, dazy",0.768,0.714,10,-5.11,1,0.0401,0.352,0.842,131.443,163026,4,Nicky Youre,dazy,,93
93,Leave The Door Open,"Bruno Mars, Anderson .Paak, Silk Sonic",0.586,0.616,5,-7.964,1,0.0324,0.182,0.719,148.088,242096,4,Bruno Mars,Anderson .Paak, Silk Sonic,94
94,Titig,"MC Einstein, Flow G, Jekkpot, Yuridope",0.797,0.447,8,-8.452,1,0.28,0.146,0.645,79.003,259115,4,MC Einstein,Flow G, Jekkpot,95
95,DON QUIXOTE,SEVENTEEN,0.733,0.837,1,-4.537,1,0.0992,0.0671,0.606,76.453,172360,4,SEVENTEEN,,,96
96,this is what falling in love feels like,JVKE,0.424,0.438,11,-5.53,1,0.0553,0.617,0.325,128.983,120308,5,JVKE,,,97
97,The Feels,TWICE,0.808,0.903,9,-2.179,1,0.0729,0.0899,0.922,120.044,198053,4,TWICE,,,98
98,At My Worst,Pink Sweat$,0.813,0.415,0,-5.926,1,0.0349,0.777,0.667,91.921,170345,4,Pink Sweat$,,,99
99,favorite crime,Olivia Rodrigo,0.369,0.272,9,-10.497,1,0.0364,0.866,0.218,172.929,152667,4,Olivia Rodrigo,,,100
100,Happier Than Ever,Billie Eilish,0.332,0.225,0,-8.697,1,0.0348,0.767,0.297,81.055,298899,3,Billie Eilish,,,101
101,Sanctuary,Joji,0.552,0.638,1,-7.474,1,0.11,0.387,0.332,167.834,180019,4,Joji,,,102
102,Pasalubong - feat. Moira Dela Torre,"Ben&Ben, Moira Dela Torre",0.355,0.399,7,-8.091,1,0.0266,0.3,0.2,69.448,243612,4,Ben&Ben,Moira Dela Torre,,103
103,Watermelon Sugar,Harry Styles,0.548,0.816,0,-4.209,1,0.0465,0.122,0.557,95.39,174000,4,Harry Styles,,,104
104,13,LANY,0.784,0.539,8,-8.148,0,0.0628,0.69,0.697,133.963,234818,4,LANY,,,105
105,Save Your Tears,The Weeknd,0.68,0.826,0,-5.487,1,0.0309,0.0212,0.644,118.051,215627,4,The Weeknd,,,106
106,'bout you,SEVENTEEN,0.71,0.888,1,-3.09,1,0.105,0.0873,0.943,145.074,162427,4,SEVENTEEN,,,107
107,When I Met You,APO Hiking Society,0.547,0.431,10,-9.315,1,0.0507,0.835,0.379,71.911,259413,4,APO Hiking Society,,,108
108,Good Boy Gone Bad,TOMORROW X TOGETHER,0.475,0.695,1,-5.919,1,0.102,0.0159,0.552,100.009,191038,4,TOMORROW X TOGETHER,,,109
109,Lagi,Skusta Clee,0.595,0.34,5,-7.713,1,0.0279,0.895,0.448,94.989,214500,4,Skusta Clee,,,110
110,Make It With You,Ben&Ben,0.558,0.458,4,-10.711,1,0.0485,0.7,0.342,86.877,209783,4,Ben&Ben,,,111
111,TAKE ALL THE LOVE,Arthur Nery,0.491,0.486,5,-6.588,1,0.0347,0.285,0.262,82.411,206182,3,Arthur Nery,,,112
112,Leave Before You Love Me (with Jonas Brothers),"Marshmello, Jonas Brothers",0.721,0.738,7,-4.77,1,0.0403,0.00226,0.637,119.976,154983,4,Marshmello,Jonas Brothers,,113
113,Just the Way You Are,Bruno Mars,0.635,0.841,5,-5.379,1,0.0422,0.0134,0.424,109.021,220734,4,Bruno Mars,,,114
114,Payphone,"Maroon 5, Wiz Khalifa",0.743,0.752,4,-4.813,1,0.0414,0.0188,0.545,110.015,231173,4,Maroon 5,Wiz Khalifa,,115
115,ELEVEN,IVE,0.828,0.731,9,-3.033,1,0.111,0.0617,0.587,119.978,178453,4,IVE,,,116
116,Domino,SEVENTEEN,0.767,0.687,10,-5.916,1,0.156,0.0231,0.838,110.019,214893,4,SEVENTEEN,,,117
117,Daylight,Harry Styles,0.686,0.445,0,-7.189,1,0.0398,0.484,0.626,145.5,164533,3,Harry Styles,,,118
118,Iba (ft. Moira Dela Torre),"Zack Tabudlo, Moira Dela Torre",0.563,0.799,2,-4.599,1,0.0358,0.529,0.469,140.045,255857,4,Zack Tabudlo,Moira Dela Torre,,119
119,Tagpuan,Moira Dela Torre,0.566,0.121,8,-8.206,1,0.0345,0.862,0.293,135.268,260240,4,Moira Dela Torre,,,120
120,Die For You,The Weeknd,0.582,0.525,1,-7.163,0,0.0627,0.111,0.51,133.249,260253,4,The Weeknd,,,121
121,comethru,Jeremy Zucker,0.795,0.178,0,-11.991,1,0.0574,0.607,0.608,93.982,181613,4,Jeremy Zucker,,,122
122,MIDDLE OF THE NIGHT,Elley Duhé,0.41,0.611,4,-8.271,0,0.0467,0.0228,0.0899,185.727,184448,3,Elley Duhé,,,123
123,Teenage Mona Lisa,Alfie Castley,0.547,0.496,9,-7.6,1,0.0511,0.192,0.357,78.957,198608,4,Alfie Castley,,,124
124,The Man,Taylor Swift,0.777,0.658,0,-5.191,1,0.054,0.0767,0.633,110.048,190360,4,Taylor Swift,,,125
125,Nothing,Bruno Major,0.555,0.27,2,-15.892,1,0.0884,0.931,0.274,139.691,162797,3,Bruno Major,,,126
126,Halik,Kamikazee,0.525,0.908,11,-3.33,1,0.0413,0.0139,0.628,126.041,222680,4,Kamikazee,,,127
127,Before It Sinks In,Moira Dela Torre,0.542,0.392,1,-8.135,1,0.0355,0.605,0.185,140.006,263720,4,Moira Dela Torre,,,128
128,Cruel Summer,Taylor Swift,0.552,0.702,9,-5.707,1,0.157,0.117,0.564,169.994,178427,4,Taylor Swift,,,129
129,Crazier,Arthur Miguel,0.603,0.152,7,-15.808,1,0.0314,0.852,0.314,83.239,233340,4,Arthur Miguel,,,130
130,Levitating (feat. DaBaby),"Dua Lipa, DaBaby",0.702,0.825,6,-3.787,0,0.0601,0.00883,0.915,102.977,203064,4,Dua Lipa,DaBaby,,131
131,Blank Space,Taylor Swift,0.76,0.703,5,-5.412,1,0.054,0.103,0.57,95.997,231827,4,Taylor Swift,,,132
132,Urong Sulong,"Alisson Shore, Kiyo",0.746,0.35,2,-8.649,1,0.074,0.572,0.612,80.026,267000,4,Alisson Shore,Kiyo,,133
133,Sweetest Pie,"Megan Thee Stallion, Dua Lipa",0.814,0.628,7,-7.178,1,0.221,0.167,0.677,123.977,201334,4,Megan Thee Stallion,Dua Lipa,,134
134,Wait a Minute!,WILLOW,0.764,0.705,3,-5.279,0,0.0278,0.0371,0.672,101.003,196520,4,WILLOW,,,135
135,rainbow,Gatton,0.704,0.146,3,-13.399,1,0.0433,0.898,0.521,133.975,202836,4,Gatton,,,136
136,Yellow,Coldplay,0.429,0.661,11,-7.227,1,0.0281,0.00239,0.285,173.372,266773,4,Coldplay,,,137
137,Shadow,SEVENTEEN,0.686,0.84,10,-5.221,1,0.0694,0.119,0.704,152.122,212653,4,SEVENTEEN,,,138
138,Bulong,December Avenue,0.5,0.728,9,-5.472,0,0.0313,0.0319,0.351,134.877,270233,4,December Avenue,,,139
139,Pagtingin,Ben&Ben,0.669,0.42,2,-8.464,1,0.0253,0.506,0.523,95.049,227370,4,Ben&Ben,,,140
140,One Right Now (with The Weeknd),"Post Malone, The Weeknd",0.687,0.781,1,-4.806,1,0.053,0.0361,0.688,97.014,193507,4,Post Malone,The Weeknd,,141
141,Cooped Up (with Roddy Ricch),"Post Malone, Roddy Ricch",0.669,0.773,0,-5.619,1,0.153,0.038,0.377,93.923,185857,4,Post Malone,Roddy Ricch,,142
142,Don't Blame Me,Taylor Swift,0.615,0.534,9,-6.719,0,0.0386,0.106,0.193,135.917,236413,4,Taylor Swift,,,143
143,Potion (with Dua Lipa & Young Thug),"Calvin Harris, Dua Lipa, Young Thug",0.824,0.697,11,-4.869,0,0.0473,0.158,0.757,99.988,214460,4,Calvin Harris,Dua Lipa,Young Thug,144
144,Sana - Single Version,I Belong to the Zoo,0.66,0.373,7,-7.874,1,0.029,0.701,0.348,126.887,277099,4,I Belong to the Zoo,,,145
145,Cold Heart - PNAU Remix,"Elton John, Dua Lipa, PNAU",0.795,0.8,1,-6.32,1,0.0309,0.0354,0.934,116.032,202735,4,Elton John,Dua Lipa,PNAU,146
146,Save Your Tears (Remix) (with Ariana Grande) - Bonus Track,"The Weeknd, Ariana Grande",0.65,0.825,0,-4.645,1,0.0325,0.0215,0.593,118.091,191014,4,The Weeknd,Ariana Grande,,147
147,Kung Wala Ka,Hale,0.5,0.339,7,-7.301,1,0.0263,0.71,0.152,136.427,242800,4,Hale,,,148
148,Here's Your Perfect,Jamie Miller,0.558,0.454,6,-5.335,1,0.0551,0.499,0.424,113.12,158594,4,Jamie Miller,,,149
149,I GUESS I'M IN LOVE,Clinton Kane,0.422,0.34,0,-6.577,1,0.0351,0.877,0.223,77.213,204094,4,Clinton Kane,,,150
150,Mundo,IV Of Spades,0.705,0.401,6,-8.9,1,0.0376,0.176,0.481,140.031,349713,4,IV Of Spades,,,151
151,Maybe The Night,Ben&Ben,0.572,0.522,2,-9.095,1,0.0367,0.113,0.498,74.05,217197,4,Ben&Ben,,,152
152,Wish You Were Sober,Conan Gray,0.701,0.728,2,-5.226,1,0.0468,0.0178,0.696,91.071,168880,4,Conan Gray,,,153
153,"Dito, Sa Ilalim Ng Buwan",Arthur Miguel,0.564,0.364,4,-11.39,1,0.0246,0.82,0.0739,80.038,245225,4,Arthur Miguel,,,154
154,Come Inside Of My Heart,IV Of Spades,0.676,0.565,10,-9.411,1,0.03,0.00321,0.689,113.007,246396,4,IV Of Spades,,,155
155,Heather,Conan Gray,0.357,0.425,5,-7.301,1,0.0333,0.584,0.27,102.078,198040,3,Conan Gray,,,156
156,With you,"Jimin, HA SUNG WOON",0.532,0.426,3,-6.117,1,0.0288,0.639,0.137,149.898,201905,3,Jimin,HA SUNG WOON,,157
157,"10,000 Hours (with Justin Bieber)","Dan + Shay, Justin Bieber",0.654,0.63,10,-4.644,1,0.0259,0.149,0.43,89.991,167693,4,Dan + Shay,Justin Bieber,,158
158,Stuck with U (with Justin Bieber),"Ariana Grande, Justin Bieber",0.597,0.45,8,-6.658,1,0.0418,0.223,0.537,178.765,228482,3,Ariana Grande,Justin Bieber,,159
159,Paper Rings,Taylor Swift,0.811,0.719,9,-6.553,1,0.0497,0.0129,0.865,103.979,222400,4,Taylor Swift,,,160
160,I Like Me Better,Lauv,0.752,0.505,9,-7.621,1,0.253,0.535,0.419,91.97,197437,4,Lauv,,,161
161,Favorite Girl,Justin Bieber,0.581,0.681,7,-4.469,1,0.0435,0.0472,0.634,176.034,256800,4,Justin Bieber,,,162
162,Honest (feat. Don Toliver),"Justin Bieber, Don Toliver",0.81,0.655,8,-6.779,0,0.0698,0.127,0.809,150.002,193322,4,Justin Bieber,Don Toliver,,163
163,Cheating on You,Charlie Puth,0.749,0.535,4,-6.785,1,0.0336,0.0131,0.601,123.042,196607,4,Charlie Puth,,,164
164,Shivers,Ed Sheeran,0.788,0.859,2,-2.724,1,0.0856,0.281,0.822,141.02,207853,4,Ed Sheeran,,,165
165,2002,Anne-Marie,0.697,0.683,1,-2.881,0,0.117,0.0372,0.603,96.133,186987,4,Anne-Marie,,,166
166,Kundiman,Silent Sanctuary,0.335,0.571,11,-4.711,1,0.0243,0.564,0.454,93.572,339053,4,Silent Sanctuary,,,167
167,Ikaw At Ako,"Moira Dela Torre, Jason Marvin",0.445,0.355,4,-7.351,1,0.0289,0.887,0.366,135.525,269877,4,Moira Dela Torre,Jason Marvin,,168
168,Peaches (feat. Daniel Caesar & Giveon),"Justin Bieber, Daniel Caesar, Giveon",0.677,0.696,0,-6.181,1,0.119,0.321,0.464,90.03,198082,4,Justin Bieber,Daniel Caesar, Giveon,169
169,Imahe,Magnus Haven,0.604,0.446,9,-8.01,1,0.0341,0.63,0.199,143.946,321817,4,Magnus Haven,,,170
170,Wildest Dreams (Taylor's Version),Taylor Swift,0.583,0.67,8,-7.289,1,0.0646,0.0374,0.498,140.061,220433,4,Taylor Swift,,,171
171,happier,Olivia Rodrigo,0.395,0.443,6,-9.72,1,0.133,0.765,0.338,168.924,175933,3,Olivia Rodrigo,,,172
172,KLWKN,Music Hero,0.493,0.394,2,-6.997,1,0.0366,0.575,0.375,152.03,256573,4,Music Hero,,,173
173,abcdefu,GAYLE,0.695,0.54,4,-5.692,1,0.0493,0.299,0.415,121.932,168602,4,GAYLE,,,174
174,An Art Gallery Could Never Be As Unique As You,mrld,0.48,0.299,7,-12.077,1,0.0525,0.838,0.196,121.75,158677,4,mrld,,,175
175,Pa-umaga,Al James,0.911,0.299,0,-17.179,1,0.0752,0.17,0.565,130.038,189019,4,Al James,,,176
176,Say You Won't Let Go,James Arthur,0.358,0.557,10,-7.398,1,0.059,0.695,0.494,85.043,211467,4,James Arthur,,,177
177,Eroplanong Papel,December Avenue,0.471,0.647,0,-3.549,1,0.0347,0.00753,0.15,138.998,303880,4,December Avenue,,,178
178,Kiss It Better,Rihanna,0.619,0.806,3,-4.8,0,0.0483,0.272,0.877,95,253080,4,Rihanna,,,179
179,That That (prod. & feat. SUGA of BTS),"PSY, SUGA",0.905,0.962,4,-3.197,1,0.0856,0.0299,0.906,129.969,174647,4,PSY,SUGA,,180
180,March,SEVENTEEN,0.662,0.933,11,-3.099,0,0.0614,0.012,0.622,119.985,196187,4,SEVENTEEN,,,181
181,Kung 'Di Rin Lang Ikaw,"December Avenue, Moira Dela Torre",0.502,0.482,4,-4.736,1,0.0288,0.161,0.132,133.894,267759,4,December Avenue,Moira Dela Torre,,182
182,Akin Ka Na Lang,The Itchyworms,0.699,0.655,7,-5.179,1,0.0412,0.419,0.919,128.644,183760,4,The Itchyworms,,,183
183,Sa Ngalan Ng Pag-Ibig,December Avenue,0.518,0.762,7,-3.907,1,0.0305,0.0851,0.271,155.985,285138,4,December Avenue,,,184
184,Falling,Harry Styles,0.567,0.267,4,-6.502,1,0.0299,0.839,0.0592,110.011,240133,4,Harry Styles,,,185
185,Best Part (feat. H.E.R.),"Daniel Caesar, H.E.R.",0.524,0.364,7,-10.209,1,0.0367,0.808,0.436,75.24,209831,4,Daniel Caesar,H.E.R.,,186
186,Out of My League,Stephen Speaks,0.538,0.315,0,-10.057,1,0.0291,0.96,0.4,91.921,218800,3,Stephen Speaks,,,187
187,Butter,BTS,0.759,0.459,8,-5.187,1,0.0948,0.00323,0.695,109.997,164442,4,BTS,,,188
188,I Quit Drinking,"Kelsea Ballerini, LANY",0.607,0.418,1,-6.997,1,0.0363,0.394,0.386,95.002,171200,4,Kelsea Ballerini,LANY,,189
189,Matilda,Harry Styles,0.507,0.294,2,-10,1,0.04,0.896,0.386,114.199,245964,4,Harry Styles,,,190
190,Night Changes,One Direction,0.672,0.52,8,-7.747,1,0.0353,0.859,0.37,120.001,226600,4,One Direction,,,191
