,title,artist/s,danceability,energy,key,loudness,mode,speechiness,acousticness,valence,tempo,duration_ms,time_signature,artist1,artist2,artist3,popularity
0,Angel Baby,Troye Sivan,0.559,0.559,11,-6.425,1,0.0358,0.0145,0.338,72.498,220780,4,Troye Sivan,,,1
1,sun and moon,anees,0.815,0.442,6,-7.462,0,0.107,0.457,0.706,90.019,151508,4,anees,,,2
2,Muli,Ace Banzuelo,0.482,0.881,11,-3.62,0,0.0533,0.0128,0.281,144.02,290004,4,Ace Banzuelo,,,3
3,Isa lang,Arthur Nery,0.429,0.464,6,-8.445,0,0.0719,0.783,0.375,121.17,269256,3,Arthur Nery,,,4
4,Pagsamo,Arthur Nery,0.644,0.315,6,-9.382,1,0.0339,0.706,0.356,60.001,297002,4,Arthur Nery,,,5
5,As It Was,Harry Styles,0.52,0.731,6,-5.338,0,0.0557,0.342,0.662,173.93,167303,4,Harry Styles,,,6
6,Paraluman,Adie,0.519,0.246,5,-13.85,1,0.0396,0.774,0.108,90.121,312320,4,Adie,,,7
7,Until I Found You,Stephen Sanchez,0.539,0.508,10,-6.05,1,0.0288,0.727,0.227,101.358,177720,3,Stephen Sanchez,,,8
8,Ikaw Lang,NOBITA,0.513,0.38,11,-11.091,1,0.0336,0.12,0.323,120.952,263500,4,NOBITA,,,9
9,Kagome,Lo ki,0.572,0.513,7,-6.481,0,0.0487,0.141,0.207,105.006,238286,4,Lo ki,,,10
10,Pano,Zack Tabudlo,0.375,0.457,3,-7.018,1,0.0315,0.868,0.415,174.839,254400,3,Zack Tabudlo,,,11
11,Line Without a Hook,Ricky Montgomery,0.432,0.652,8,-4.969,1,0.0285,0.262,0.507,190.028,249587,3,Ricky Montgomery,,,12
12,Ghost,Justin Bieber,0.601,0.741,2,-5.569,1,0.0478,0.185,0.441,153.96,153190,4,Justin Bieber,,,13
13,Asan Ka Na Ba,Zack Tabudlo,0.676,0.768,5,-5.695,0,0.0294,0.149,0.493,105.999,241132,4,Zack Tabudlo,,,14
14,Habang Buhay,Zack Tabudlo,0.62,0.668,9,-5.719,1,0.0305,0.088,0.183,118.013,244068,4,Zack Tabudlo,,,15
15,Tahanan,Adie,0.394,0.366,3,-10.855,1,0.031,0.799,0.3,109.862,293727,4,Adie,,,16
16,NVMD,Denise Julia,0.758,0.674,6,-4.533,1,0.108,0.0903,0.424,97.977,181224,4,Denise Julia,,,17
17,ZOOM,Jessi,0.874,0.6,6,-6.064,1,0.158,0.00942,0.457,100.012,174840,4,Jessi,,,18
18,Every Summertime,NIKI,0.628,0.676,6,-4.227,1,0.0424,0.393,0.723,78.996,215687,4,NIKI,,,19
19,Unang Sayaw,NOBITA,0.5,0.397,9,-11.653,1,0.0557,0.412,0.375,180.045,278008,3,NOBITA,,,20
20,Ligaya,mrld,0.458,0.533,0,-5.249,1,0.0381,0.447,0.343,149.832,248800,4,mrld,,,21
21,About Damn Time,Lizzo,0.836,0.743,10,-6.305,0,0.0656,0.0995,0.722,108.966,191822,4,Lizzo,,,22
22,Binibini,Zack Tabudlo,0.642,0.374,5,-10.606,1,0.032,0.423,0.0979,129.863,221538,4,Zack Tabudlo,,,23
23,Diwata (Miss Universe Philippines 2021),Sam Concepcion,0.886,0.612,11,-8.848,0,0.13,0.192,0.706,106.971,210960,4,Sam Concepcion,,,24
24,Paninindigan Kita,Ben&Ben,0.624,0.596,4,-9.288,1,0.0308,0.107,0.75,113.204,312234,4,Ben&Ben,,,25
25,Ang Wakas (feat. Trisha Macapagal),"Arthur Miguel, Trisha Macapagal",0.62,0.419,7,-6.334,1,0.0262,0.571,0.205,134.93,304000,4,Arthur Miguel,Trisha Macapagal,,26
26,STAY (with Justin Bieber),"The Kid LAROI, Justin Bieber",0.591,0.764,1,-5.484,1,0.0483,0.0383,0.478,169.928,141806,4,The Kid LAROI,Justin Bieber,,27
27,Nangangamba,Zack Tabudlo,0.62,0.547,1,-6.772,1,0.0248,0.112,0.208,98.032,210355,4,Zack Tabudlo,,,28
28,Easy On Me,Adele,0.604,0.366,5,-7.519,1,0.0282,0.578,0.13,141.981,224695,4,Adele,,,29
29,Strawberries & Cigarettes,Troye Sivan,0.578,0.537,9,-8.676,1,0.0832,0.162,0.25,83.909,201539,4,Troye Sivan,,,30
30,Sa Susunod na Habang Buhay,Ben&Ben,0.311,0.342,2,-8.889,1,0.032,0.432,0.274,177.158,288189,4,Ben&Ben,,,31
31,Higa,Arthur Nery,0.656,0.336,9,-10.538,1,0.0434,0.453,0.182,125.058,245760,4,Arthur Nery,,,32
32,BMW,"Because, Leslie",0.758,0.39,1,-9.799,1,0.0485,0.567,0.238,117.048,168205,4,Because,Leslie,,33
33,Late Night Talking,Harry Styles,0.714,0.728,10,-4.595,1,0.0468,0.298,0.901,114.996,177955,4,Harry Styles,,,34
34,double take,dhruv,0.456,0.437,8,-11.156,1,0.0867,0.839,0.209,108.678,171743,4,dhruv,,,35
35,First Class,Jack Harlow,0.905,0.563,8,-6.135,1,0.102,0.0254,0.324,106.998,173948,4,Jack Harlow,,,36
36,To the Bone,Pamungkas,0.668,0.727,7,-6.55,0,0.027,0.514,0.939,139.991,344571,4,Pamungkas,,,37
37,Happy w u,"Arthur Nery, Jason Dhakal",0.596,0.182,6,-16.004,1,0.0378,0.903,0.268,111.734,280714,3,Arthur Nery,Jason Dhakal,,38
38,Give Me Your Forever,Zack Tabudlo,0.627,0.363,8,-8.127,1,0.0291,0.279,0.301,99.905,244800,4,Zack Tabudlo,,,39
39,PSG,Al James,0.789,0.426,2,-13.166,1,0.0824,0.207,0.529,119.984,180000,4,Al James,,,40
